Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Admiral Schofield,Shared Games with Bol Bol,Shared Games with Caleb Houstan,Shared Games with Chuma Okeke,Shared Games with Cole Anthony,Shared Games with Franz Wagner,Shared Games with Jalen Suggs,Shared Games with Jonathan Isaac,Shared Games with Kevon Harris,Shared Games with Markelle Fultz,Shared Games with Michael Carter-Williams,Shared Games with Mo Bamba,Shared Games with Moritz Wagner,Shared Games with Paolo Banchero,Shared Games with R.J. Hampton,Shared Games with Terrence Ross,Shared Games with Wendell Carter Jr.,Admiral Schofield,Bol Bol,Caleb Houstan,Chuma Okeke,Cole Anthony,Franz Wagner,Jalen Suggs,Jay Scrubb,Jonathan Isaac,Kevon Harris,Markelle Fultz,Michael Carter-Williams,Mo Bamba,Moritz Wagner,Paolo Banchero,R.J. Hampton,Terrence Ross,Wendell Carter Jr.,co_inf with Admiral Schofield,co_inf with Bol Bol,co_inf with Caleb Houstan,co_inf with Chuma Okeke,co_inf with Cole Anthony,co_inf with Franz Wagner,co_inf with Jalen Suggs,co_inf with Jay Scrubb,co_inf with Jonathan Isaac,co_inf with Kevon Harris,co_inf with Markelle Fultz,co_inf with Michael Carter-Williams,co_inf with Mo Bamba,co_inf with Moritz Wagner,co_inf with Paolo Banchero,co_inf with R.J. Hampton,co_inf with Terrence Ross,co_inf with Wendell Carter Jr.,Shared Games with Goga Bitadze,Derrick White,Goga Bitadze,co_inf with Goga Bitadze,co_inf with Derrick White,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-07,28-054,ORL,,HOU,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,,59.0,3.2777777777777777,0.0,60.8,3.3777777777777778
11,12,,2022-11-09,28-056,ORL,,DAL,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,,53.0,2.9444444444444446,0.0,48.1,2.6722222222222225
12,13,,2022-11-11,28-058,ORL,,PHO,W (+17),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,,64.0,3.555555555555556,0.0,62.8,3.488888888888889
13,14,,2022-11-14,28-061,ORL,,CHO,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,,54.0,3.0,0.0,49.8,2.7666666666666666
14,15,,2022-11-16,28-063,ORL,,MIN,L (-18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,,71.0,3.9444444444444446,0.0,64.3,3.572222222222222
15,16,1,2022-11-18,28-065,ORL,@,CHI,W (+1),0,23:32,3.0,5.0,.600,1.0,1.0,1.000,0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,7.0,6.3,+1,4.0,2.0,0.5,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,5.0,72.0,4.0,6.299999999999999,54.29999999999999,3.016666666666666
16,17,,2022-11-19,28-066,ORL,@,IND,L (-1),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,,55.0,3.055555555555556,0.0,60.40000000000001,3.355555555555556
17,18,2,2022-11-21,28-068,ORL,@,IND,L (-21),0,22:31,6.0,11.0,.545,3.0,6.0,.500,3,3.0,1.000,1.0,2.0,3.0,0.0,0.0,0.0,1.0,5.0,18.0,11.0,-9,5.0,3.0,0.6,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,6.0,24.0,1.3333333333333333,9.8,29.6,1.6444444444444446
18,19,3,2022-11-25,28-072,ORL,,PHI,L (-8),0,27:13,3.0,8.0,.375,1.0,3.0,.333,0,0.0,,1.0,2.0,3.0,3.0,1.0,0.0,3.0,2.0,7.0,3.2,+3,5.0,2.0,0.4,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,3.0,48.0,2.6666666666666665,3.1999999999999984,56.0,3.111111111111111
19,20,4,2022-11-27,28-074,ORL,,PHI,L (-30),1,29:08,4.0,9.0,.444,1.0,5.0,.200,2,2.0,1.000,0.0,3.0,3.0,5.0,1.0,0.0,0.0,2.0,11.0,10.9,-7,4.0,3.0,0.75,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,9.0,43.0,2.388888888888889,10.099999999999998,47.0,2.611111111111111
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,,0.0,0.0,0.0,0.0,0.0
21,21,5,2022-11-28,28-075,ORL,@,BRK,L (-7),1,35:40,7.0,12.0,.583,4.0,6.0,.667,1,1.0,1.000,1.0,3.0,4.0,3.0,1.0,2.0,3.0,2.0,19.0,15.7,-2,6.0,3.0,0.5,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,13.0,53.0,2.9444444444444446,15.3,60.1,3.338888888888889
22,22,6,2022-11-30,28-077,ORL,,ATL,L (-17),1,16:32,0.0,3.0,.000,0.0,2.0,.000,0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,-3.1,-21,1.0,0.0,0.0,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,-3.0,61.0,3.388888888888889,-3.1,63.9,3.55
23,23,,2022-12-02,28-079,ORL,@,CLE,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,,62.0,3.4444444444444446,0.0,66.6,3.6999999999999997
24,24,,2022-12-03,28-080,ORL,@,TOR,L (-13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,,32.0,1.7777777777777777,0.0,50.400000000000006,2.8000000000000003
25,25,,2022-12-05,28-082,ORL,,MIL,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,,60.0,3.333333333333333,0.0,63.6,3.533333333333333
26,26,,2022-12-07,28-084,ORL,,LAC,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,,73.0,4.055555555555555,0.0,81.89999999999999,4.55
27,27,,2022-12-09,28-086,ORL,,TOR,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,,62.0,3.4444444444444446,0.0,78.39999999999999,4.355555555555555
