Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bryce McGowens,Shared Games with Cody Martin,Shared Games with Dennis Smith Jr.,Shared Games with Gordon Hayward,Shared Games with Jalen McDaniels,Shared Games with James Bouknight,Shared Games with JT Thor,Shared Games with Kai Jones,Shared Games with Kelly Oubre Jr.,Shared Games with Kobi Simmons,Shared Games with LaMelo Ball,Shared Games with Mark Williams,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Terry Rozier,Shared Games with Théo Maledon,Shared Games with Xavier Sneed,Bryce McGowens,Cody Martin,Dennis Smith Jr.,Gordon Hayward,Jalen McDaniels,James Bouknight,JT Thor,Kai Jones,Kelly Oubre Jr.,Kobi Simmons,LaMelo Ball,Mark Williams,Nick Richards,P.J. Washington,Terry Rozier,Théo Maledon,Xavier Sneed,co_inf with Bryce McGowens,co_inf with Cody Martin,co_inf with Dennis Smith Jr.,co_inf with Gordon Hayward,co_inf with Jalen McDaniels,co_inf with James Bouknight,co_inf with JT Thor,co_inf with Kai Jones,co_inf with Kelly Oubre Jr.,co_inf with Kobi Simmons,co_inf with LaMelo Ball,co_inf with Mark Williams,co_inf with Nick Richards,co_inf with P.J. Washington,co_inf with Terry Rozier,co_inf with Théo Maledon,co_inf with Xavier Sneed
10,11,11,2022-11-07,32-247,CHO,,WAS,L (-8),1,22.316666666666666,1.0,5.0,.200,0.0,0.0,,4,6,.667,7,3,10,5,2,0,2,4,6,9.8,-6,5.0,1.0,0.2,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
11,12,12,2022-11-09,32-249,CHO,,POR,L (-10),1,32.2,7.0,10.0,.700,0.0,0.0,,2,5,.400,5,7,12,4,0,1,1,2,16,17.9,-1,10.0,7.0,0.7,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
12,13,13,2022-11-10,32-250,CHO,@,MIA,L (-5),1,38.833333333333336,4.0,4.0,1.000,0.0,0.0,,5,7,.714,2,13,15,5,0,0,3,4,13,15.2,+4,4.0,4.0,1.0,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
13,14,14,2022-11-12,32-252,CHO,@,MIA,L (-17),1,26.7,4.0,6.0,.667,0.0,0.0,,1,1,1.000,1,4,5,5,0,0,3,2,9,8.0,-16,6.0,4.0,0.6666666666666666,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
14,15,15,2022-11-14,32-254,CHO,@,ORL,W (+7),1,31.466666666666665,8.0,9.0,.889,0.0,0.0,,2,2,1.000,4,6,10,2,3,1,2,5,18,20.6,+10,9.0,8.0,0.8888888888888888,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
15,16,16,2022-11-16,32-256,CHO,,IND,L (-12),1,29.216666666666665,5.0,7.0,.714,0.0,0.0,,2,2,1.000,2,8,10,3,0,2,3,3,12,12.2,-22,7.0,5.0,0.7142857142857143,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
16,17,17,2022-11-18,32-258,CHO,@,CLE,L (-10),1,28.183333333333334,0.0,4.0,.000,0.0,0.0,,2,4,.500,2,4,6,4,1,1,2,6,2,1.1,-8,4.0,0.0,0.0,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
17,18,18,2022-11-20,32-260,CHO,@,WAS,L (-4),1,30.566666666666666,2.0,8.0,.250,0.0,0.0,,5,8,.625,4,4,8,4,0,1,2,4,9,6.9,+1,8.0,2.0,0.25,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
18,19,19,2022-11-23,32-263,CHO,,PHI,W (+6),1,26.483333333333334,4.0,6.0,.667,0.0,0.0,,3,6,.500,1,12,13,6,1,0,2,1,11,14.3,-5,6.0,4.0,0.6666666666666666,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
19,20,20,2022-11-25,32-265,CHO,,MIN,W (+2),1,28.333333333333332,1.0,4.0,.250,0.0,0.0,,1,4,.250,6,6,12,5,1,0,3,2,3,6.1,+2,4.0,1.0,0.25,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
21,21,21,2022-11-28,32-268,CHO,@,BOS,L (-35),1,27.3,2.0,5.0,.400,0.0,0.0,,0,2,.000,2,2,4,5,0,0,2,1,4,3.6,-17,5.0,2.0,0.4,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
22,22,22,2022-12-02,32-272,CHO,,WAS,W (+1),1,35.46666666666667,5.0,10.0,.500,0.0,0.0,,7,9,.778,5,5,10,3,0,1,1,5,17,16.0,0,10.0,5.0,0.5,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
23,23,23,2022-12-03,32-273,CHO,,MIL,L (-9),1,30.283333333333335,6.0,9.0,.667,0.0,0.0,,1,1,1.000,4,7,11,3,2,0,1,5,13,15.1,+2,9.0,6.0,0.6666666666666666,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
24,24,24,2022-12-05,32-275,CHO,,LAC,L (-2),1,27.883333333333333,4.0,4.0,1.000,0.0,0.0,,0,2,.000,2,10,12,4,0,0,1,3,8,11.0,+14,4.0,4.0,1.0,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
25,25,25,2022-12-07,32-277,CHO,@,BRK,L (-6),1,33.95,5.0,8.0,.625,0.0,0.0,,3,8,.375,4,7,11,5,0,0,2,1,13,13.4,+5,8.0,5.0,0.625,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
26,26,26,2022-12-09,32-279,CHO,,NYK,L (-19),1,29.683333333333334,5.0,7.0,.714,0.0,0.0,,3,6,.500,3,6,9,3,2,1,2,4,13,14.0,-7,7.0,5.0,0.7142857142857143,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
27,27,27,2022-12-11,32-281,CHO,@,PHI,L (-18),1,25.583333333333332,2.0,5.0,.400,0.0,0.0,,3,3,1.000,5,7,12,5,1,1,2,3,7,11.9,-11,5.0,2.0,0.4,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
28,28,28,2022-12-14,32-284,CHO,,DET,L (-7),1,34.266666666666666,5.0,8.0,.625,0.0,0.0,,2,4,.500,11,7,18,3,0,0,1,3,12,17.3,-10,8.0,5.0,0.625,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
29,29,29,2022-12-16,32-286,CHO,,ATL,L (-19),1,21.383333333333333,4.0,4.0,1.000,0.0,0.0,,0,0,,3,4,7,2,2,0,0,4,8,11.9,-15,4.0,4.0,1.0,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
30,30,30,2022-12-18,32-288,CHO,@,DEN,L (-4),1,19.05,3.0,7.0,.429,0.0,0.0,,5,6,.833,5,4,9,4,0,2,2,5,11,11.8,-4,7.0,3.0,0.4285714285714285,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
31,31,31,2022-12-19,32-289,CHO,@,SAC,W (+6),1,25.133333333333333,7.0,8.0,.875,0.0,0.0,,1,2,.500,0,4,4,3,0,3,1,3,15,15.0,-4,8.0,7.0,0.875,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
32,32,32,2022-12-21,32-291,CHO,@,LAC,L (-21),1,26.433333333333334,7.0,9.0,.778,0.0,0.0,,4,6,.667,2,1,3,1,2,0,3,3,18,13.9,-13,9.0,7.0,0.7777777777777778,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
33,33,33,2022-12-23,32-293,CHO,@,LAL,W (+4),1,30.566666666666666,5.0,7.0,.714,0.0,0.0,,1,2,.500,3,5,8,3,1,2,1,2,11,14.0,-2,7.0,5.0,0.7142857142857143,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
34,34,34,2022-12-26,32-296,CHO,@,POR,L (-11),1,27.166666666666668,5.0,7.0,.714,0.0,0.0,,4,5,.800,6,2,8,2,1,0,0,1,14,17.5,-20,7.0,5.0,0.7142857142857143,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
35,35,35,2022-12-27,32-297,CHO,@,GSW,L (-5),1,29.333333333333332,3.0,4.0,.750,0.0,0.0,,1,4,.250,2,11,13,4,1,4,0,3,7,14.3,-6,4.0,3.0,0.75,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
36,36,36,2022-12-29,32-299,CHO,,OKC,W (+8),1,26.183333333333334,6.0,7.0,.857,0.0,0.0,,2,5,.400,4,5,9,2,1,1,2,3,14,14.5,+9,7.0,6.0,0.8571428571428571,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
