Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bryce McGowens,Shared Games with Cody Martin,Shared Games with Dennis Smith Jr.,Shared Games with Gordon Hayward,Shared Games with Jalen McDaniels,Shared Games with James Bouknight,Shared Games with Kai Jones,Shared Games with Kelly Oubre Jr.,Shared Games with Kobi Simmons,Shared Games with LaMelo Ball,Shared Games with Mark Williams,Shared Games with Mason Plumlee,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Terry Rozier,Shared Games with Théo Maledon,Bryce McGowens,Cody Martin,Dennis Smith Jr.,Gordon Hayward,Jalen McDaniels,James Bouknight,Kai Jones,Kelly Oubre Jr.,Kobi Simmons,LaMelo Ball,Mark Williams,Mason Plumlee,Nick Richards,P.J. Washington,Terry Rozier,Théo Maledon,Xavier Sneed,co_inf with Bryce McGowens,co_inf with Cody Martin,co_inf with Dennis Smith Jr.,co_inf with Gordon Hayward,co_inf with Jalen McDaniels,co_inf with James Bouknight,co_inf with Kai Jones,co_inf with Kelly Oubre Jr.,co_inf with Kobi Simmons,co_inf with LaMelo Ball,co_inf with Mark Williams,co_inf with Mason Plumlee,co_inf with Nick Richards,co_inf with P.J. Washington,co_inf with Terry Rozier,co_inf with Théo Maledon,co_inf with Xavier Sneed,Shared Games with Reggie Jackson,Shared Games with Svi Mykhailiuk,De'Andre Hunter,Svi Mykhailiuk,co_inf with De'Andre Hunter,co_inf with Svi Mykhailiuk,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,10.0,2022-11-07,20-073,CHO,WAS,0,10.0,1.0,2.0,.500,0.0,1.0,.000,1,1.0,1.000,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,2.6,+12,1.0,1.0,1.0,42,7,51,44,43,29,36,35,4,32,42,43,53,60,51,33,46.0,7.0,54.0,50.0,80.0,34.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.9130434782608696,1.0,0.9444444444444444,0.88,0.5375,0.8529411764705882,0.782608695652174,0.7291666666666666,0.8,0.8888888888888888,0.9767441860465116,0.5443037974683544,0.8153846153846154,0.821917808219178,0.8095238095238095,0.75,0.0,30,19,67.0,32.0,0.0,0.59375,18,3.0,45.0,2.5,2.2,70.9,3.938888888888889,7.0,0.2,-4.7,-4.3,-0.4,0.028797537920422,0.506,0.517,0.197,-0.7,-0.6,L (-8),L (-8)
12.0,11.0,2022-11-09,20-075,CHO,POR,0,8.083333333333334,0.0,1.0,.000,0.0,1.0,.000,2,2.0,1.000,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,-9,0.0,0.0,,42,7,51,44,43,29,36,35,4,32,42,43,53,60,51,33,46.0,7.0,54.0,50.0,80.0,34.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.9130434782608696,1.0,0.9444444444444444,0.88,0.5375,0.8529411764705882,0.782608695652174,0.7291666666666666,0.8,0.8888888888888888,0.9767441860465116,0.5443037974683544,0.8153846153846154,0.821917808219178,0.8095238095238095,0.75,0.0,30,19,67.0,32.0,0.0,0.59375,18,-1.0,25.0,1.3888888888888888,0.1999999999999999,45.4,2.522222222222222,7.0,0.2,-4.7,-4.3,-0.4,0.028797537920422,0.506,0.517,0.197,-0.7,-0.6,L (-10),L (-10)
13.0,12.0,2022-11-10,20-076,CHO,MIA,0,2.6333333333333333,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.7,-11,1.0,0.0,0.0,42,7,51,44,43,29,36,35,4,32,42,43,53,60,51,33,46.0,7.0,54.0,50.0,80.0,34.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.9130434782608696,1.0,0.9444444444444444,0.88,0.5375,0.8529411764705882,0.782608695652174,0.7291666666666666,0.8,0.8888888888888888,0.9767441860465116,0.5443037974683544,0.8153846153846154,0.821917808219178,0.8095238095238095,0.75,0.0,30,19,67.0,32.0,0.0,0.59375,18,-2.0,35.0,1.9444444444444444,-1.7,49.400000000000006,2.744444444444445,7.0,0.2,-4.7,-4.3,-0.4,0.028797537920422,0.506,0.517,0.197,-0.7,-0.6,L (-5),L (-5)
14.0,13.0,2022-11-12,20-078,CHO,MIA,0,5.383333333333334,1.0,4.0,.250,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.6,-2,3.0,1.0,0.3333333333333333,42,7,51,44,43,29,36,35,4,32,42,43,53,60,51,33,46.0,7.0,54.0,50.0,80.0,34.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.9130434782608696,1.0,0.9444444444444444,0.88,0.5375,0.8529411764705882,0.782608695652174,0.7291666666666666,0.8,0.8888888888888888,0.9767441860465116,0.5443037974683544,0.8153846153846154,0.821917808219178,0.8095238095238095,0.75,0.0,30,19,67.0,32.0,0.0,0.59375,18,0.0,52.0,2.888888888888889,0.5999999999999996,76.3,4.238888888888889,7.0,0.2,-4.7,-4.3,-0.4,0.028797537920422,0.506,0.517,0.197,-0.7,-0.6,L (-17),L (-17)
15.0,,2022-11-14,20-080,CHO,ORL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,42,7,51,44,43,29,36,35,4,32,42,43,53,60,51,33,46.0,7.0,54.0,50.0,80.0,34.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.9130434782608696,1.0,0.9444444444444444,0.88,0.5375,0.8529411764705882,0.782608695652174,0.7291666666666666,0.8,0.8888888888888888,0.9767441860465116,0.5443037974683544,0.8153846153846154,0.821917808219178,0.8095238095238095,0.75,0.0,30,19,67.0,32.0,0.0,0.59375,18,,42.0,2.333333333333333,0.0,65.59999999999998,3.644444444444444,7.0,0.2,-4.7,-4.3,-0.4,0.028797537920422,0.506,0.517,0.197,-0.7,-0.6,W (+7),W (+7)
16.0,14.0,2022-11-16,20-082,CHO,IND,0,2.9333333333333336,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1,+8,0.0,0.0,,42,7,51,44,43,29,36,35,4,32,42,43,53,60,51,33,46.0,7.0,54.0,50.0,80.0,34.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.9130434782608696,1.0,0.9444444444444444,0.88,0.5375,0.8529411764705882,0.782608695652174,0.7291666666666666,0.8,0.8888888888888888,0.9767441860465116,0.5443037974683544,0.8153846153846154,0.821917808219178,0.8095238095238095,0.75,0.0,30,19,67.0,32.0,0.0,0.59375,18,1.0,46.0,2.555555555555556,-0.1,75.39999999999999,4.188888888888888,7.0,0.2,-4.7,-4.3,-0.4,0.028797537920422,0.506,0.517,0.197,-0.7,-0.6,L (-12),L (-12)
17.0,,2022-11-18,20-084,CHO,CLE,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,42,7,51,44,43,29,36,35,4,32,42,43,53,60,51,33,46.0,7.0,54.0,50.0,80.0,34.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.9130434782608696,1.0,0.9444444444444444,0.88,0.5375,0.8529411764705882,0.782608695652174,0.7291666666666666,0.8,0.8888888888888888,0.9767441860465116,0.5443037974683544,0.8153846153846154,0.821917808219178,0.8095238095238095,0.75,0.0,30,19,67.0,32.0,0.0,0.59375,18,,63.0,3.5,0.0,81.5,4.527777777777778,7.0,0.2,-4.7,-4.3,-0.4,0.028797537920422,0.506,0.517,0.197,-0.7,-0.6,L (-10),L (-10)
18.0,,2022-11-20,20-086,CHO,WAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,42,7,51,44,43,29,36,35,4,32,42,43,53,60,51,33,46.0,7.0,54.0,50.0,80.0,34.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.9130434782608696,1.0,0.9444444444444444,0.88,0.5375,0.8529411764705882,0.782608695652174,0.7291666666666666,0.8,0.8888888888888888,0.9767441860465116,0.5443037974683544,0.8153846153846154,0.821917808219178,0.8095238095238095,0.75,0.0,30,19,67.0,32.0,0.0,0.59375,18,,50.0,2.7777777777777777,0.0,64.1,3.561111111111111,7.0,0.2,-4.7,-4.3,-0.4,0.028797537920422,0.506,0.517,0.197,-0.7,-0.6,L (-4),L (-4)
19.0,,2022-11-23,20-089,CHO,PHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,42,7,51,44,43,29,36,35,4,32,42,43,53,60,51,33,46.0,7.0,54.0,50.0,80.0,34.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.9130434782608696,1.0,0.9444444444444444,0.88,0.5375,0.8529411764705882,0.782608695652174,0.7291666666666666,0.8,0.8888888888888888,0.9767441860465116,0.5443037974683544,0.8153846153846154,0.821917808219178,0.8095238095238095,0.75,0.0,30,19,67.0,32.0,0.0,0.59375,18,,33.0,1.8333333333333333,0.0,52.39999999999999,2.9111111111111105,7.0,0.2,-4.7,-4.3,-0.4,0.028797537920422,0.506,0.517,0.197,-0.7,-0.6,W (+6),W (+6)
20.0,,2022-11-25,20-091,CHO,MIN,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,42,7,51,44,43,29,36,35,4,32,42,43,53,60,51,33,46.0,7.0,54.0,50.0,80.0,34.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.9130434782608696,1.0,0.9444444444444444,0.88,0.5375,0.8529411764705882,0.782608695652174,0.7291666666666666,0.8,0.8888888888888888,0.9767441860465116,0.5443037974683544,0.8153846153846154,0.821917808219178,0.8095238095238095,0.75,0.0,30,19,67.0,32.0,0.0,0.59375,18,,52.0,2.888888888888889,0.0,76.4,4.2444444444444445,7.0,0.2,-4.7,-4.3,-0.4,0.028797537920422,0.506,0.517,0.197,-0.7,-0.6,W (+2),W (+2)
21.0,,2022-11-28,20-094,CHO,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,42,7,51,44,43,29,36,35,4,32,42,43,53,60,51,33,46.0,7.0,54.0,50.0,80.0,34.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.9130434782608696,1.0,0.9444444444444444,0.88,0.5375,0.8529411764705882,0.782608695652174,0.7291666666666666,0.8,0.8888888888888888,0.9767441860465116,0.5443037974683544,0.8153846153846154,0.821917808219178,0.8095238095238095,0.75,0.0,30,19,67.0,32.0,0.0,0.59375,18,,51.0,2.833333333333333,0.0,66.19999999999999,3.677777777777777,7.0,0.2,-4.7,-4.3,-0.4,0.028797537920422,0.506,0.517,0.197,-0.7,-0.6,,
22.0,,2022-12-02,20-098,CHO,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,42,7,51,44,43,29,36,35,4,32,42,43,53,60,51,33,46.0,7.0,54.0,50.0,80.0,34.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.9130434782608696,1.0,0.9444444444444444,0.88,0.5375,0.8529411764705882,0.782608695652174,0.7291666666666666,0.8,0.8888888888888888,0.9767441860465116,0.5443037974683544,0.8153846153846154,0.821917808219178,0.8095238095238095,0.75,0.0,30,19,67.0,32.0,0.0,0.59375,18,,53.0,2.9444444444444446,0.0,72.2,4.011111111111111,7.0,0.2,-4.7,-4.3,-0.4,0.028797537920422,0.506,0.517,0.197,-0.7,-0.6,L (-35),L (-35)
23.0,,2022-12-03,20-099,CHO,MIL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,42,7,51,44,43,29,36,35,4,32,42,43,53,60,51,33,46.0,7.0,54.0,50.0,80.0,34.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.9130434782608696,1.0,0.9444444444444444,0.88,0.5375,0.8529411764705882,0.782608695652174,0.7291666666666666,0.8,0.8888888888888888,0.9767441860465116,0.5443037974683544,0.8153846153846154,0.821917808219178,0.8095238095238095,0.75,0.0,30,19,67.0,32.0,0.0,0.59375,18,,16.0,0.8888888888888888,0.0,30.300000000000004,1.6833333333333336,7.0,0.2,-4.7,-4.3,-0.4,0.028797537920422,0.506,0.517,0.197,-0.7,-0.6,W (+1),W (+1)
24.0,,2022-12-05,20-101,CHO,LAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,42,7,51,44,43,29,36,35,4,32,42,43,53,60,51,33,46.0,7.0,54.0,50.0,80.0,34.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.9130434782608696,1.0,0.9444444444444444,0.88,0.5375,0.8529411764705882,0.782608695652174,0.7291666666666666,0.8,0.8888888888888888,0.9767441860465116,0.5443037974683544,0.8153846153846154,0.821917808219178,0.8095238095238095,0.75,0.0,30,19,67.0,32.0,0.0,0.59375,18,,54.0,3.0,0.0,73.39999999999999,4.0777777777777775,7.0,0.2,-4.7,-4.3,-0.4,0.028797537920422,0.506,0.517,0.197,-0.7,-0.6,L (-9),L (-9)
25.0,15.0,2022-12-07,20-103,CHO,BRK,0,8.066666666666666,0.0,0.0,,0.0,0.0,,0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,-0.8,+5,0.0,0.0,,42,7,51,44,43,29,36,35,4,32,42,43,53,60,51,33,46.0,7.0,54.0,50.0,80.0,34.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.9130434782608696,1.0,0.9444444444444444,0.88,0.5375,0.8529411764705882,0.782608695652174,0.7291666666666666,0.8,0.8888888888888888,0.9767441860465116,0.5443037974683544,0.8153846153846154,0.821917808219178,0.8095238095238095,0.75,0.0,30,19,67.0,32.0,0.0,0.59375,18,1.0,42.0,2.333333333333333,-0.8,62.2,3.455555555555556,7.0,0.2,-4.7,-4.3,-0.4,0.028797537920422,0.506,0.517,0.197,-0.7,-0.6,L (-2),L (-2)
26.0,16.0,2022-12-09,20-105,CHO,NYK,0,3.033333333333333,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,+1,0.0,0.0,,42,7,51,44,43,29,36,35,4,32,42,43,53,60,51,33,46.0,7.0,54.0,50.0,80.0,34.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.9130434782608696,1.0,0.9444444444444444,0.88,0.5375,0.8529411764705882,0.782608695652174,0.7291666666666666,0.8,0.8888888888888888,0.9767441860465116,0.5443037974683544,0.8153846153846154,0.821917808219178,0.8095238095238095,0.75,0.0,30,19,67.0,32.0,0.0,0.59375,18,1.0,35.0,1.9444444444444444,1.0,49.7,2.761111111111111,7.0,0.2,-4.7,-4.3,-0.4,0.028797537920422,0.506,0.517,0.197,-0.7,-0.6,L (-6),L (-6)
