Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bryce McGowens,Shared Games with Cody Martin,Shared Games with Dennis Smith Jr.,Shared Games with Gordon Hayward,Shared Games with James Bouknight,Shared Games with JT Thor,Shared Games with Kai Jones,Shared Games with Kelly Oubre Jr.,Shared Games with Kobi Simmons,Shared Games with LaMelo Ball,Shared Games with Mark Williams,Shared Games with Mason Plumlee,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Terry Rozier,Shared Games with Théo Maledon,Shared Games with Xavier Sneed,Bryce McGowens,Cody Martin,Dennis Smith Jr.,Gordon Hayward,James Bouknight,JT Thor,Kai Jones,Kelly Oubre Jr.,Kobi Simmons,LaMelo Ball,Mark Williams,Mason Plumlee,Nick Richards,P.J. Washington,Terry Rozier,Théo Maledon,Xavier Sneed,co_inf with Bryce McGowens,co_inf with Cody Martin,co_inf with Dennis Smith Jr.,co_inf with Gordon Hayward,co_inf with James Bouknight,co_inf with JT Thor,co_inf with Kai Jones,co_inf with Kelly Oubre Jr.,co_inf with Kobi Simmons,co_inf with LaMelo Ball,co_inf with Mark Williams,co_inf with Mason Plumlee,co_inf with Nick Richards,co_inf with P.J. Washington,co_inf with Terry Rozier,co_inf with Théo Maledon,co_inf with Xavier Sneed
10,11,11,2022-11-07,24-280,CHO,,WAS,L (-8),0,27.383333333333333,4.0,9.0,.444,1.0,4.0,.250,0,1,.000,2,5,7,1,3,2,1,3,9,9.7,+5,5.0,3.0,0.6,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
11,12,12,2022-11-09,24-282,CHO,,POR,L (-10),0,20.45,3.0,7.0,.429,1.0,3.0,.333,0,0,,2,1,3,1,1,0,0,2,7,5.9,-16,4.0,2.0,0.5,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
12,13,13,2022-11-10,24-283,CHO,@,MIA,L (-5),0,34.166666666666664,6.0,10.0,.600,3.0,5.0,.600,1,2,.500,1,3,4,4,0,0,3,4,16,10.8,-5,5.0,3.0,0.6,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
13,14,14,2022-11-12,24-285,CHO,@,MIA,L (-17),0,27.633333333333333,3.0,6.0,.500,1.0,2.0,.500,2,2,1.000,0,4,4,4,0,0,1,2,9,8.2,-6,4.0,2.0,0.5,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
14,15,15,2022-11-14,24-287,CHO,@,ORL,W (+7),0,25.966666666666665,4.0,7.0,.571,0.0,1.0,.000,2,2,1.000,1,3,4,0,1,2,1,2,10,8.9,-1,6.0,4.0,0.6666666666666666,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
15,16,16,2022-11-16,24-289,CHO,,IND,L (-12),0,20.066666666666666,1.0,5.0,.200,0.0,2.0,.000,1,2,.500,1,3,4,4,2,1,3,5,3,1.6,+4,3.0,1.0,0.3333333333333333,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
16,17,17,2022-11-18,24-291,CHO,@,CLE,L (-10),0,23.466666666666665,0.0,2.0,.000,0.0,2.0,.000,2,2,1.000,1,1,2,1,0,1,1,5,2,0.0,-14,0.0,0.0,,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
17,18,18,2022-11-20,24-293,CHO,@,WAS,L (-4),0,21.1,3.0,10.0,.300,2.0,5.0,.400,0,0,,1,5,6,1,0,0,1,2,8,3.3,+7,5.0,1.0,0.2,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
18,19,19,2022-11-23,24-296,CHO,,PHI,W (+6),0,21.116666666666667,4.0,8.0,.500,1.0,4.0,.250,2,3,.667,1,2,3,1,1,0,0,1,11,9.2,+2,4.0,3.0,0.75,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
19,20,20,2022-11-25,24-298,CHO,,MIN,W (+2),1,31.216666666666665,3.0,9.0,.333,0.0,3.0,.000,2,2,1.000,0,6,6,3,0,0,1,2,8,5.0,-6,6.0,3.0,0.5,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
21,21,21,2022-11-28,24-301,CHO,@,BOS,L (-35),1,29.983333333333334,9.0,12.0,.750,4.0,6.0,.667,2,2,1.000,0,1,1,2,0,0,3,5,24,15.9,-29,6.0,5.0,0.8333333333333334,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
22,22,22,2022-12-02,24-305,CHO,,WAS,W (+1),1,25.3,3.0,9.0,.333,1.0,4.0,.250,2,2,1.000,2,3,5,1,0,0,1,5,9,3.9,-1,5.0,2.0,0.4,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
23,23,23,2022-12-03,24-306,CHO,,MIL,L (-9),1,33.016666666666666,8.0,15.0,.533,2.0,5.0,.400,3,4,.750,0,5,5,2,1,1,2,4,21,14.3,-5,10.0,6.0,0.6,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
24,24,24,2022-12-05,24-308,CHO,,LAC,L (-2),1,34.25,3.0,8.0,.375,0.0,4.0,.000,3,3,1.000,0,4,4,6,3,0,0,2,9,12.2,+12,4.0,3.0,0.75,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
25,25,25,2022-12-07,24-310,CHO,@,BRK,L (-6),1,35.71666666666667,8.0,14.0,.571,1.0,4.0,.250,2,2,1.000,0,7,7,3,1,1,1,5,19,15.3,+4,10.0,7.0,0.7,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
26,26,26,2022-12-09,24-312,CHO,,NYK,L (-19),1,21.433333333333334,1.0,5.0,.200,0.0,2.0,.000,2,2,1.000,0,4,4,3,0,0,1,4,4,1.6,-13,3.0,1.0,0.3333333333333333,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
27,27,27,2022-12-11,24-314,CHO,@,PHI,L (-18),1,30.533333333333335,6.0,13.0,.462,1.0,4.0,.250,2,2,1.000,1,4,5,3,3,0,3,5,15,10.3,-22,9.0,5.0,0.5555555555555556,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
28,28,28,2022-12-14,24-317,CHO,,DET,L (-7),0,35.11666666666667,7.0,9.0,.778,3.0,3.0,1.000,4,4,1.000,1,5,6,1,1,1,0,0,21,22.1,-9,6.0,4.0,0.6666666666666666,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
29,29,29,2022-12-16,24-319,CHO,,ATL,L (-19),1,16.733333333333334,3.0,8.0,.375,0.0,2.0,.000,1,1,1.000,0,1,1,2,1,0,2,5,7,1.3,-7,6.0,3.0,0.5,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
30,30,30,2022-12-18,24-321,CHO,@,DEN,L (-4),0,19.833333333333332,5.0,8.0,.625,2.0,4.0,.500,2,2,1.000,1,4,5,2,1,1,1,4,14,12.8,+12,4.0,3.0,0.75,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
31,31,31,2022-12-19,24-322,CHO,@,SAC,W (+6),0,25.833333333333332,1.0,5.0,.200,0.0,4.0,.000,4,4,1.000,1,2,3,2,0,2,2,2,6,4.2,+3,1.0,1.0,1.0,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
32,32,32,2022-12-21,24-324,CHO,@,LAC,L (-21),0,29.383333333333333,5.0,15.0,.333,2.0,4.0,.500,4,4,1.000,1,8,9,0,2,0,1,3,16,10.4,+1,11.0,3.0,0.2727272727272727,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
33,33,33,2022-12-23,24-326,CHO,@,LAL,W (+4),0,18.666666666666668,3.0,5.0,.600,1.0,1.0,1.000,0,0,,1,0,1,3,2,0,1,2,7,7.7,+13,4.0,2.0,0.5,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
34,34,34,2022-12-26,24-329,CHO,@,POR,L (-11),0,15.466666666666667,3.0,7.0,.429,1.0,2.0,.500,0,0,,1,1,2,1,1,0,2,2,7,3.2,-2,5.0,2.0,0.4,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
35,35,35,2022-12-27,24-330,CHO,@,GSW,L (-5),0,25.916666666666668,3.0,6.0,.500,3.0,6.0,.500,3,4,.750,0,7,7,3,0,0,1,3,12,10.6,+4,0.0,0.0,,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
