Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with Kendrick Nunn,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Patrick Beverley,Shared Games with Russell Westbrook,Shared Games with Scotty Pippen Jr.,Shared Games with Thomas Bryant,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Anthony Davis,Austin Reaves,Cole Swider,Damian Jones,Dennis Schröder,Juan Toscano-Anderson,Kendrick Nunn,Lonnie Walker IV,Matt Ryan,Max Christie,Patrick Beverley,Russell Westbrook,Scotty Pippen Jr.,Sterling Brown,Thomas Bryant,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Damian Jones,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with Kendrick Nunn,co_inf with Lonnie Walker IV,co_inf with Matt Ryan,co_inf with Max Christie,co_inf with Patrick Beverley,co_inf with Russell Westbrook,co_inf with Scotty Pippen Jr.,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel,Shared Games with Davon Reed,Shared Games with D'Angelo Russell,Shared Games with Jarred Vanderbilt,Shared Games with Malik Beasley,Shared Games with Mo Bamba,D'Angelo Russell,Davon Reed,Jarred Vanderbilt,Malik Beasley,Mo Bamba,Onyeka Okongwu,Shaquille Harrison,co_inf with Davon Reed,co_inf with D'Angelo Russell,co_inf with Jarred Vanderbilt,co_inf with Malik Beasley,co_inf with Mo Bamba,co_inf with Onyeka Okongwu,co_inf with Shaquille Harrison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,10,2022-11-09,37-314,LAL,@,LAC,L (-13),1,32:21,12.0,22.0,.545,4.0,9.0,.444,2,4.0,.500,1.0,7.0,8.0,5.0,2.0,0.0,3.0,2.0,30.0,23.1,-17,13.0,8.0,0.6153846153846154,36,40,5,15,42,23,30,37,9,28,36,42,3,33,50,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.6428571428571429,0.625,0.7142857142857143,0.3658536585365853,0.6363636363636364,0.4423076923076923,0.4285714285714285,0.6607142857142857,0.2647058823529412,0.6829268292682927,0.5373134328358209,0.5753424657534246,0.5,0.0,0.559322033898305,,0.6578947368421053,0.6176470588235294,6,7,11,11,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.0985915492957746,0.141025641025641,0.1358024691358024,0.0612244897959183,0.0,0.0,21,16.0,65.0,3.095238095238096,22.3,62.09999999999999,2.9571428571428564
11,12,,2022-11-11,37-316,LAL,,SAC,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,36,40,5,15,42,23,30,37,9,28,36,42,3,33,50,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.6428571428571429,0.625,0.7142857142857143,0.3658536585365853,0.6363636363636364,0.4423076923076923,0.4285714285714285,0.6607142857142857,0.2647058823529412,0.6829268292682927,0.5373134328358209,0.5753424657534246,0.5,0.0,0.559322033898305,,0.6578947368421053,0.6176470588235294,6,7,11,11,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.0985915492957746,0.141025641025641,0.1358024691358024,0.0612244897959183,0.0,0.0,21,,84.0,4.0,0.0,93.09999999999998,4.433333333333333
12,13,,2022-11-13,37-318,LAL,,BRK,W (+13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,36,40,5,15,42,23,30,37,9,28,36,42,3,33,50,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.6428571428571429,0.625,0.7142857142857143,0.3658536585365853,0.6363636363636364,0.4423076923076923,0.4285714285714285,0.6607142857142857,0.2647058823529412,0.6829268292682927,0.5373134328358209,0.5753424657534246,0.5,0.0,0.559322033898305,,0.6578947368421053,0.6176470588235294,6,7,11,11,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.0985915492957746,0.141025641025641,0.1358024691358024,0.0612244897959183,0.0,0.0,21,,90.0,4.285714285714286,0.0,104.89999999999998,4.995238095238094
13,14,,2022-11-18,37-323,LAL,,DET,W (+7),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,36,40,5,15,42,23,30,37,9,28,36,42,3,33,50,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.6428571428571429,0.625,0.7142857142857143,0.3658536585365853,0.6363636363636364,0.4423076923076923,0.4285714285714285,0.6607142857142857,0.2647058823529412,0.6829268292682927,0.5373134328358209,0.5753424657534246,0.5,0.0,0.559322033898305,,0.6578947368421053,0.6176470588235294,6,7,11,11,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.0985915492957746,0.141025641025641,0.1358024691358024,0.0612244897959183,0.0,0.0,21,,123.0,5.857142857142857,0.0,141.6,6.742857142857143
14,15,,2022-11-20,37-325,LAL,,SAS,W (+31),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,36,40,5,15,42,23,30,37,9,28,36,42,3,33,50,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.6428571428571429,0.625,0.7142857142857143,0.3658536585365853,0.6363636363636364,0.4423076923076923,0.4285714285714285,0.6607142857142857,0.2647058823529412,0.6829268292682927,0.5373134328358209,0.5753424657534246,0.5,0.0,0.559322033898305,,0.6578947368421053,0.6176470588235294,6,7,11,11,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.0985915492957746,0.141025641025641,0.1358024691358024,0.0612244897959183,0.0,0.0,21,,113.0,5.380952380952381,0.0,109.4,5.20952380952381
15,16,,2022-11-22,37-327,LAL,@,PHO,L (-10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,36,40,5,15,42,23,30,37,9,28,36,42,3,33,50,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.6428571428571429,0.625,0.7142857142857143,0.3658536585365853,0.6363636363636364,0.4423076923076923,0.4285714285714285,0.6607142857142857,0.2647058823529412,0.6829268292682927,0.5373134328358209,0.5753424657534246,0.5,0.0,0.559322033898305,,0.6578947368421053,0.6176470588235294,6,7,11,11,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.0985915492957746,0.141025641025641,0.1358024691358024,0.0612244897959183,0.0,0.0,21,,75.0,3.571428571428572,0.0,92.1,4.385714285714285
16,17,11,2022-11-25,37-330,LAL,@,SAS,W (+11),1,33:15,8.0,17.0,.471,1.0,4.0,.250,4,4.0,1.000,0.0,8.0,8.0,5.0,3.0,1.0,9.0,2.0,21.0,12.1,+16,13.0,7.0,0.5384615384615384,36,40,5,15,42,23,30,37,9,28,36,42,3,33,50,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.6428571428571429,0.625,0.7142857142857143,0.3658536585365853,0.6363636363636364,0.4423076923076923,0.4285714285714285,0.6607142857142857,0.2647058823529412,0.6829268292682927,0.5373134328358209,0.5753424657534246,0.5,0.0,0.559322033898305,,0.6578947368421053,0.6176470588235294,6,7,11,11,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.0985915492957746,0.141025641025641,0.1358024691358024,0.0612244897959183,0.0,0.0,21,8.0,121.0,5.761904761904762,10.499999999999996,114.4,5.447619047619048
17,18,12,2022-11-26,37-331,LAL,@,SAS,W (+5),1,35:28,11.0,21.0,.524,7.0,12.0,.583,10,10.0,1.000,0.0,11.0,11.0,3.0,1.0,1.0,4.0,3.0,39.0,30.6,-3,9.0,4.0,0.4444444444444444,36,40,5,15,42,23,30,37,9,28,36,42,3,33,50,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.6428571428571429,0.625,0.7142857142857143,0.3658536585365853,0.6363636363636364,0.4423076923076923,0.4285714285714285,0.6607142857142857,0.2647058823529412,0.6829268292682927,0.5373134328358209,0.5753424657534246,0.5,0.0,0.559322033898305,,0.6578947368421053,0.6176470588235294,6,7,11,11,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.0985915492957746,0.141025641025641,0.1358024691358024,0.0612244897959183,0.0,0.0,21,20.0,105.0,5.0,26.6,115.79999999999998,5.514285714285713
18,19,13,2022-11-28,37-333,LAL,,IND,L (-1),1,36:10,8.0,22.0,.364,3.0,10.0,.300,2,3.0,.667,1.0,6.0,7.0,3.0,1.0,0.0,1.0,1.0,21.0,12.6,-7,12.0,5.0,0.4166666666666667,36,40,5,15,42,23,30,37,9,28,36,42,3,33,50,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.6428571428571429,0.625,0.7142857142857143,0.3658536585365853,0.6363636363636364,0.4423076923076923,0.4285714285714285,0.6607142857142857,0.2647058823529412,0.6829268292682927,0.5373134328358209,0.5753424657534246,0.5,0.0,0.559322033898305,,0.6578947368421053,0.6176470588235294,6,7,11,11,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.0985915492957746,0.141025641025641,0.1358024691358024,0.0612244897959183,0.0,0.0,21,6.0,100.0,4.761904761904762,11.8,85.7,4.080952380952381
19,20,14,2022-11-30,37-335,LAL,,POR,W (+19),1,32:30,12.0,18.0,.667,6.0,8.0,.750,1,3.0,.333,2.0,5.0,7.0,8.0,0.0,1.0,2.0,1.0,31.0,29.2,+8,10.0,6.0,0.6,36,40,5,15,42,23,30,37,9,28,36,42,3,33,50,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.6428571428571429,0.625,0.7142857142857143,0.3658536585365853,0.6363636363636364,0.4423076923076923,0.4285714285714285,0.6607142857142857,0.2647058823529412,0.6829268292682927,0.5373134328358209,0.5753424657534246,0.5,0.0,0.559322033898305,,0.6578947368421053,0.6176470588235294,6,7,11,11,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.0985915492957746,0.141025641025641,0.1358024691358024,0.0612244897959183,0.0,0.0,21,24.0,89.0,4.238095238095238,28.8,104.1,4.957142857142857
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,36,40,5,15,42,23,30,37,9,28,36,42,3,33,50,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.6428571428571429,0.625,0.7142857142857143,0.3658536585365853,0.6363636363636364,0.4423076923076923,0.4285714285714285,0.6607142857142857,0.2647058823529412,0.6829268292682927,0.5373134328358209,0.5753424657534246,0.5,0.0,0.559322033898305,,0.6578947368421053,0.6176470588235294,6,7,11,11,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.0985915492957746,0.141025641025641,0.1358024691358024,0.0612244897959183,0.0,0.0,21,,0.0,0.0,0.0,0.0,0.0
21,21,15,2022-12-02,37-337,LAL,@,MIL,W (+4),1,37:11,12.0,27.0,.444,3.0,6.0,.500,1,2.0,.500,1.0,7.0,8.0,11.0,2.0,0.0,0.0,2.0,28.0,25.2,+6,21.0,9.0,0.4285714285714285,36,40,5,15,42,23,30,37,9,28,36,42,3,33,50,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.6428571428571429,0.625,0.7142857142857143,0.3658536585365853,0.6363636363636364,0.4423076923076923,0.4285714285714285,0.6607142857142857,0.2647058823529412,0.6829268292682927,0.5373134328358209,0.5753424657534246,0.5,0.0,0.559322033898305,,0.6578947368421053,0.6176470588235294,6,7,11,11,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.0985915492957746,0.141025641025641,0.1358024691358024,0.0612244897959183,0.0,0.0,21,20.0,82.0,3.9047619047619047,24.8,100.9,4.8047619047619055
22,22,16,2022-12-04,37-339,LAL,@,WAS,W (+11),1,34:26,12.0,26.0,.462,2.0,7.0,.286,3,4.0,.750,1.0,7.0,8.0,6.0,1.0,0.0,5.0,3.0,29.0,17.0,+13,19.0,10.0,0.5263157894736842,36,40,5,15,42,23,30,37,9,28,36,42,3,33,50,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.6428571428571429,0.625,0.7142857142857143,0.3658536585365853,0.6363636363636364,0.4423076923076923,0.4285714285714285,0.6607142857142857,0.2647058823529412,0.6829268292682927,0.5373134328358209,0.5753424657534246,0.5,0.0,0.559322033898305,,0.6578947368421053,0.6176470588235294,6,7,11,11,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.0985915492957746,0.141025641025641,0.1358024691358024,0.0612244897959183,0.0,0.0,21,9.0,108.0,5.142857142857143,15.799999999999995,109.39999999999998,5.209523809523809
23,23,17,2022-12-06,37-341,LAL,@,CLE,L (-14),1,35:37,8.0,17.0,.471,2.0,6.0,.333,3,4.0,.750,4.0,13.0,17.0,4.0,1.0,1.0,3.0,0.0,21.0,20.1,-14,11.0,6.0,0.5454545454545454,36,40,5,15,42,23,30,37,9,28,36,42,3,33,50,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.6428571428571429,0.625,0.7142857142857143,0.3658536585365853,0.6363636363636364,0.4423076923076923,0.4285714285714285,0.6607142857142857,0.2647058823529412,0.6829268292682927,0.5373134328358209,0.5753424657534246,0.5,0.0,0.559322033898305,,0.6578947368421053,0.6176470588235294,6,7,11,11,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.0985915492957746,0.141025641025641,0.1358024691358024,0.0612244897959183,0.0,0.0,21,20.0,43.0,2.0476190476190474,18.9,54.1,2.5761904761904764
