Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with Kendrick Nunn,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Patrick Beverley,Shared Games with Russell Westbrook,Shared Games with Scotty Pippen Jr.,Shared Games with Thomas Bryant,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Austin Reaves,Cole Swider,Damian Jones,Dennis Schröder,Juan Toscano-Anderson,Kendrick Nunn,LeBron James,Lonnie Walker IV,Matt Ryan,Max Christie,Patrick Beverley,Russell Westbrook,Scotty Pippen Jr.,Sterling Brown,Thomas Bryant,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Damian Jones,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Matt Ryan,co_inf with Max Christie,co_inf with Patrick Beverley,co_inf with Russell Westbrook,co_inf with Scotty Pippen Jr.,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel,Shared Games with Davon Reed,Shared Games with D'Angelo Russell,Shared Games with Jarred Vanderbilt,Shared Games with Malik Beasley,Shared Games with Mo Bamba,D'Angelo Russell,Davon Reed,Jarred Vanderbilt,Malik Beasley,Mo Bamba,Onyeka Okongwu,Shaquille Harrison,co_inf with Davon Reed,co_inf with D'Angelo Russell,co_inf with Jarred Vanderbilt,co_inf with Malik Beasley,co_inf with Mo Bamba,co_inf with Onyeka Okongwu,co_inf with Shaquille Harrison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,10,2022-11-09,29-243,LAL,@,LAC,L (-13),1,35:21,9.0,16.0,.563,0.0,1.0,.000,3,4.0,.750,1.0,8.0,9.0,3.0,0.0,1.0,3.0,5.0,21.0,13.9,-10,15.0,9.0,0.6,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,11.0,70.0,3.333333333333333,12.699999999999996,71.69999999999999,3.4142857142857137
11,12,11,2022-11-11,29-245,LAL,,SAC,L (-6),1,34:11,8.0,17.0,.471,0.0,1.0,.000,8,11.0,.727,6.0,8.0,14.0,3.0,2.0,3.0,2.0,2.0,24.0,24.1,-7,16.0,8.0,0.5,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,16.0,68.0,3.238095238095238,20.9,72.19999999999999,3.4380952380952374
12,13,12,2022-11-13,29-247,LAL,,BRK,W (+13),1,33:38,15.0,25.0,.600,0.0,0.0,,7,7.0,1.000,10.0,8.0,18.0,2.0,0.0,0.0,1.0,5.0,37.0,33.3,+15,25.0,15.0,0.6,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,24.0,66.0,3.142857142857143,30.5,74.39999999999998,3.542857142857142
13,14,13,2022-11-18,29-252,LAL,,DET,W (+7),1,34:02,10.0,16.0,.625,0.0,1.0,.000,18,21.0,.857,2.0,14.0,16.0,2.0,1.0,4.0,4.0,3.0,38.0,35.2,+4,15.0,10.0,0.6666666666666666,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,20.0,103.0,4.904761904761905,28.0,113.6,5.409523809523809
14,15,14,2022-11-20,29-254,LAL,,SAS,W (+31),1,27:46,12.0,19.0,.632,0.0,2.0,.000,6,6.0,1.000,3.0,15.0,18.0,2.0,3.0,1.0,2.0,1.0,30.0,30.8,+34,17.0,12.0,0.7058823529411765,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,27.0,86.0,4.095238095238095,28.40000000000001,81.0,3.857142857142857
15,16,15,2022-11-22,29-256,LAL,@,PHO,L (-10),1,38:23,11.0,17.0,.647,0.0,0.0,,15,16.0,.938,3.0,18.0,21.0,2.0,5.0,5.0,6.0,2.0,37.0,39.7,-3,17.0,11.0,0.6470588235294118,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,31.0,44.0,2.095238095238096,33.7,58.39999999999999,2.7809523809523804
16,17,16,2022-11-25,29-259,LAL,@,SAS,W (+11),1,35:04,10.0,13.0,.769,0.0,0.0,,5,7.0,.714,4.0,11.0,15.0,4.0,1.0,3.0,3.0,4.0,25.0,26.5,+16,13.0,10.0,0.7692307692307693,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,25.0,104.0,4.9523809523809526,24.5,100.4,4.780952380952381
17,18,,2022-11-26,29-260,LAL,@,SAS,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,,125.0,5.9523809523809526,0.0,142.39999999999998,6.78095238095238
18,19,17,2022-11-28,29-262,LAL,,IND,L (-1),1,36:30,9.0,15.0,.600,0.0,0.0,,7,10.0,.700,3.0,10.0,13.0,6.0,0.0,4.0,2.0,4.0,25.0,25.4,-1,15.0,9.0,0.6,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,21.0,85.0,4.047619047619048,22.6,74.9,3.566666666666667
19,20,18,2022-11-30,29-264,LAL,,POR,W (+19),1,29:08,9.0,17.0,.529,1.0,2.0,.500,8,9.0,.889,5.0,7.0,12.0,1.0,1.0,3.0,2.0,3.0,27.0,24.5,+8,15.0,8.0,0.5333333333333333,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,16.0,97.0,4.619047619047619,21.300000000000008,111.6,5.314285714285714
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,,0.0,0.0,0.0,0.0,0.0
21,21,19,2022-12-02,29-266,LAL,@,MIL,W (+4),1,39:37,18.0,27.0,.667,2.0,3.0,.667,6,7.0,.857,2.0,8.0,10.0,4.0,0.0,3.0,0.0,2.0,44.0,39.8,+5,24.0,16.0,0.6666666666666666,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,27.0,75.0,3.571428571428572,37.400000000000006,88.29999999999997,4.204761904761903
22,22,20,2022-12-04,29-268,LAL,@,WAS,W (+11),1,37:32,22.0,30.0,.733,2.0,3.0,.667,9,9.0,1.000,3.0,14.0,17.0,1.0,0.0,3.0,2.0,1.0,55.0,49.5,+17,27.0,20.0,0.7407407407407407,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,35.0,82.0,3.9047619047619047,45.89999999999999,79.3,3.776190476190476
