Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Clarke,Shared Games with David Roddy,Shared Games with Desmond Bane,Shared Games with Dillon Brooks,Shared Games with Ja Morant,Shared Games with Jake LaRavia,Shared Games with Jaren Jackson Jr.,Shared Games with John Konchar,Shared Games with Kennedy Chandler,Shared Games with Santi Aldama,Shared Games with Steven Adams,Shared Games with Tyus Jones,Shared Games with Vince Williams Jr.,Shared Games with Xavier Tillman Sr.,Shared Games with Ziaire Williams,Brandon Clarke,Danny Green,David Roddy,Desmond Bane,Dillon Brooks,Ja Morant,Jacob Gilyard,Jake LaRavia,Jaren Jackson Jr.,John Konchar,Kennedy Chandler,Santi Aldama,Steven Adams,Tyus Jones,Vince Williams Jr.,Xavier Tillman Sr.,Ziaire Williams,co_inf with Brandon Clarke,co_inf with Danny Green,co_inf with David Roddy,co_inf with Desmond Bane,co_inf with Dillon Brooks,co_inf with Ja Morant,co_inf with Jacob Gilyard,co_inf with Jake LaRavia,co_inf with Jaren Jackson Jr.,co_inf with John Konchar,co_inf with Kennedy Chandler,co_inf with Santi Aldama,co_inf with Steven Adams,co_inf with Tyus Jones,co_inf with Vince Williams Jr.,co_inf with Xavier Tillman Sr.,co_inf with Ziaire Williams,Shared Games with Luke Kennard,Luke Kennard,Trae Young,co_inf with Luke Kennard,co_inf with Trae Young,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-07,20-085,MEM,,BOS,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,81.0,5.0625,0.0,80.89999999999999,5.0562499999999995
11,12,,2022-11-09,20-087,MEM,@,SAS,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,87.0,5.4375,0.0,99.3,6.20625
12,13,,2022-11-11,20-089,MEM,,MIN,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,75.0,4.6875,0.0,90.39999999999998,5.649999999999999
13,14,,2022-11-13,20-091,MEM,@,WAS,L (-10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,66.0,4.125,0.0,61.79999999999999,3.8624999999999994
14,15,,2022-11-15,20-093,MEM,@,NOP,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,69.0,4.3125,0.0,69.60000000000001,4.3500000000000005
15,16,,2022-11-18,20-096,MEM,,OKC,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,89.0,5.5625,0.0,90.3,5.64375
16,17,,2022-11-20,20-098,MEM,@,BRK,L (-12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,64.0,4.0,0.0,86.7,5.41875
17,18,,2022-11-22,20-100,MEM,,SAC,L (-4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,78.0,4.875,0.0,79.6,4.975
18,19,4,2022-11-25,20-103,MEM,,NOP,W (+21),0,4:43,1.0,3.0,.333,0.0,0.0,,0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,-10,3.0,1.0,0.3333333333333333,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,1.0,81.0,5.0625,1.0,97.3,6.08125
19,20,,2022-11-27,20-105,MEM,@,NYK,W (+4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,89.0,5.5625,0.0,96.5,6.03125
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-30,20-108,MEM,@,MIN,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,55.0,3.4375,0.0,58.29999999999998,3.643749999999999
22,22,,2022-12-02,20-110,MEM,,PHI,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,94.0,5.875,0.0,91.3,5.70625
23,23,,2022-12-04,20-112,MEM,@,DET,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,76.0,4.75,0.0,92.5,5.78125
24,24,,2022-12-05,20-113,MEM,,MIA,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,72.0,4.5,0.0,78.1,4.88125
25,25,,2022-12-07,20-115,MEM,,OKC,W (+21),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,113.0,7.0625,0.0,117.4,7.3375
26,26,,2022-12-09,20-117,MEM,,DET,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,80.0,5.0,0.0,90.3,5.64375
27,27,5,2022-12-12,20-120,MEM,,ATL,W (+25),0,4:07,2.0,2.0,1.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.4,-5,2.0,2.0,1.0,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,4.0,112.0,7.0,4.4,112.4,7.025
28,28,,2022-12-15,20-123,MEM,,MIL,W (+41),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,118.0,7.375,0.0,132.1,8.25625
29,29,,2022-12-17,20-125,MEM,@,OKC,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,67.0,4.1875,0.0,74.5,4.65625
