Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Clarke,Shared Games with Danny Green,Shared Games with David Roddy,Shared Games with Desmond Bane,Shared Games with Dillon Brooks,Shared Games with Ja Morant,Shared Games with Jacob Gilyard,Shared Games with Jake LaRavia,Shared Games with Jaren Jackson Jr.,Shared Games with Kennedy Chandler,Shared Games with Kenneth Lofton Jr.,Shared Games with Santi Aldama,Shared Games with Steven Adams,Shared Games with Tyus Jones,Shared Games with Vince Williams Jr.,Shared Games with Xavier Tillman Sr.,Shared Games with Ziaire Williams,Brandon Clarke,Danny Green,David Roddy,Desmond Bane,Dillon Brooks,Ja Morant,Jacob Gilyard,Jake LaRavia,Jaren Jackson Jr.,Kennedy Chandler,Kenneth Lofton Jr.,Santi Aldama,Steven Adams,Tyus Jones,Vince Williams Jr.,Xavier Tillman Sr.,Ziaire Williams,co_inf with Brandon Clarke,co_inf with Danny Green,co_inf with David Roddy,co_inf with Desmond Bane,co_inf with Dillon Brooks,co_inf with Ja Morant,co_inf with Jacob Gilyard,co_inf with Jake LaRavia,co_inf with Jaren Jackson Jr.,co_inf with Kennedy Chandler,co_inf with Kenneth Lofton Jr.,co_inf with Santi Aldama,co_inf with Steven Adams,co_inf with Tyus Jones,co_inf with Vince Williams Jr.,co_inf with Xavier Tillman Sr.,co_inf with Ziaire Williams,Shared Games with Luke Kennard,Luke Kennard,Trae Young,co_inf with Luke Kennard,co_inf with Trae Young,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,10,2022-11-07,26-230,MEM,,BOS,L (-3),0,26:19,4.0,8.0,.500,4.0,7.0,.571,0,0.0,,3.0,4.0,7.0,1.0,0.0,1.0,2.0,2.0,12.0,9.9,+12,1.0,0.0,0.0,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,11.0,70.0,3.888888888888889,9.899999999999997,71.0,3.9444444444444446
11,12,11,2022-11-09,26-232,MEM,@,SAS,W (+2),0,28:20,2.0,6.0,.333,0.0,2.0,.000,0,0.0,,1.0,4.0,5.0,2.0,0.0,0.0,0.0,1.0,4.0,3.5,-4,4.0,2.0,0.5,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,5.0,82.0,4.555555555555555,3.5000000000000004,95.8,5.322222222222222
12,13,12,2022-11-11,26-234,MEM,,MIN,W (+11),0,22:31,0.0,2.0,.000,0.0,2.0,.000,0,0.0,,2.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,2.2,+1,0.0,0.0,,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,6.0,69.0,3.8333333333333335,2.2,88.19999999999999,4.8999999999999995
13,14,13,2022-11-13,26-236,MEM,@,WAS,L (-10),1,36:33,3.0,9.0,.333,1.0,3.0,.333,0,0.0,,0.0,9.0,9.0,1.0,1.0,0.0,0.0,3.0,7.0,5.1,-7,6.0,2.0,0.3333333333333333,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,9.0,57.0,3.1666666666666665,5.099999999999998,56.7,3.1500000000000004
14,15,14,2022-11-15,26-238,MEM,@,NOP,L (-11),1,36:31,4.0,6.0,.667,1.0,3.0,.333,0,0.0,,2.0,6.0,8.0,2.0,1.0,0.0,1.0,4.0,9.0,9.4,-6,3.0,3.0,1.0,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,13.0,56.0,3.111111111111111,9.4,60.2,3.3444444444444446
15,16,15,2022-11-18,26-241,MEM,,OKC,W (+11),1,28:51,7.0,10.0,.700,5.0,7.0,.714,0,0.0,,1.0,9.0,10.0,2.0,0.0,1.0,1.0,0.0,19.0,19.3,+17,3.0,2.0,0.6666666666666666,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,21.0,68.0,3.7777777777777777,19.3,71.0,3.9444444444444446
16,17,16,2022-11-20,26-243,MEM,@,BRK,L (-12),1,33:16,4.0,11.0,.364,2.0,7.0,.286,6,6.0,1.000,2.0,7.0,9.0,7.0,2.0,0.0,1.0,3.0,16.0,18.1,-4,4.0,2.0,0.5,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,16.0,48.0,2.6666666666666665,15.7,71.0,3.9444444444444446
17,18,17,2022-11-22,26-245,MEM,,SAC,L (-4),1,30:35,3.0,8.0,.375,2.0,6.0,.333,2,2.0,1.000,1.0,8.0,9.0,2.0,1.0,2.0,4.0,3.0,10.0,7.3,-1,2.0,1.0,0.5,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,10.0,68.0,3.7777777777777777,6.4999999999999964,73.1,4.061111111111111
18,19,18,2022-11-25,26-248,MEM,,NOP,W (+21),1,25:23,3.0,6.0,.500,3.0,5.0,.600,0,0.0,,2.0,4.0,6.0,0.0,1.0,0.0,1.0,1.0,9.0,8.2,+28,1.0,0.0,0.0,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,9.0,73.0,4.055555555555555,8.2,90.1,5.0055555555555555
19,20,19,2022-11-27,26-250,MEM,@,NYK,W (+4),1,29:10,4.0,6.0,.667,1.0,2.0,.500,1,1.0,1.000,1.0,7.0,8.0,2.0,0.0,0.0,0.0,3.0,10.0,10.4,+7,4.0,3.0,0.75,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,13.0,76.0,4.222222222222222,10.0,86.49999999999999,4.8055555555555545
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,,0.0,0.0,0.0,0.0,0.0
21,21,20,2022-11-30,26-253,MEM,@,MIN,L (-8),1,30:29,3.0,7.0,.429,1.0,5.0,.200,0,0.0,,1.0,8.0,9.0,2.0,1.0,0.0,1.0,1.0,7.0,7.4,+3,2.0,2.0,1.0,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,11.0,44.0,2.4444444444444446,7.4,50.89999999999999,2.8277777777777775
22,22,21,2022-12-02,26-255,MEM,,PHI,W (+8),1,32:05,2.0,8.0,.250,2.0,4.0,.500,2,2.0,1.000,1.0,5.0,6.0,0.0,1.0,0.0,1.0,1.0,8.0,5.0,-4,4.0,0.0,0.0,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,4.0,90.0,5.0,4.2,87.1,4.838888888888889
23,23,22,2022-12-04,26-257,MEM,@,DET,W (+10),1,31:39,4.0,6.0,.667,1.0,3.0,.333,2,3.0,.667,0.0,5.0,5.0,0.0,4.0,0.0,1.0,2.0,11.0,11.7,+15,3.0,3.0,1.0,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,10.0,66.0,3.6666666666666665,10.900000000000002,81.60000000000001,4.533333333333334
24,24,,2022-12-05,26-258,MEM,,MIA,W (+8),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,,72.0,4.0,0.0,78.1,4.338888888888889
25,25,23,2022-12-07,26-260,MEM,,OKC,W (+21),1,27:47,3.0,9.0,.333,0.0,4.0,.000,1,1.0,1.000,1.0,3.0,4.0,1.0,2.0,0.0,1.0,2.0,7.0,4.4,+11,5.0,3.0,0.6,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,3.0,110.0,6.111111111111111,3.9999999999999982,113.4,6.300000000000001
26,26,24,2022-12-09,26-262,MEM,,DET,W (+11),1,24:53,4.0,8.0,.500,0.0,2.0,.000,0,0.0,,0.0,4.0,4.0,1.0,1.0,0.0,0.0,2.0,8.0,6.1,+19,6.0,4.0,0.6666666666666666,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,6.0,74.0,4.111111111111111,6.099999999999999,84.19999999999999,4.677777777777777
27,27,25,2022-12-12,26-265,MEM,,ATL,W (+25),1,23:53,4.0,5.0,.800,1.0,1.0,1.000,0,0.0,,1.0,6.0,7.0,5.0,1.0,0.0,0.0,2.0,9.0,13.3,+22,4.0,3.0,0.75,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,17.0,99.0,5.5,13.299999999999995,103.5,5.75
