Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Caruso,Shared Games with Andre Drummond,Shared Games with Ayo Dosunmu,Shared Games with Carlik Jones,Shared Games with Coby White,Shared Games with Dalen Terry,Shared Games with DeMar DeRozan,Shared Games with Derrick Jones Jr.,Shared Games with Goran Dragić,Shared Games with Javonte Green,Shared Games with Malcolm Hill,Shared Games with Marko Simonovic,Shared Games with Nikola Vučević,Shared Games with Tony Bradley,Shared Games with Zach LaVine,Alex Caruso,Andre Drummond,Ayo Dosunmu,Carlik Jones,Coby White,Dalen Terry,DeMar DeRozan,Derrick Jones Jr.,Goran Dragić,Javonte Green,Kostas Antetokounmpo,Lonzo Ball,Malcolm Hill,Marko Simonovic,Nikola Vučević,Tony Bradley,Zach LaVine,co_inf with Alex Caruso,co_inf with Andre Drummond,co_inf with Ayo Dosunmu,co_inf with Carlik Jones,co_inf with Coby White,co_inf with Dalen Terry,co_inf with DeMar DeRozan,co_inf with Derrick Jones Jr.,co_inf with Goran Dragić,co_inf with Javonte Green,co_inf with Kostas Antetokounmpo,co_inf with Lonzo Ball,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Nikola Vučević,co_inf with Tony Bradley,co_inf with Zach LaVine,Shared Games with Terry Taylor,Shared Games with Patrick Beverley,Clint Capela,Patrick Beverley,Robert Williams,Terry Taylor,co_inf with Terry Taylor,co_inf with Clint Capela,co_inf with Patrick Beverley,co_inf with Robert Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-06,21-072,CHI,@,TOR,L (-9),1,28:32,5.0,16.0,.313,3.0,6.0,.500,0,0.0,,5.0,2.0,7.0,1.0,0.0,2.0,0.0,4.0,13.0,8.4,-1,10.0,2.0,0.2,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,7.0,83.0,4.882352941176471,8.4,80.59999999999998,4.741176470588234
11,12,12,2022-11-07,21-073,CHI,,TOR,W (+14),1,24:47,4.0,8.0,.500,0.0,2.0,.000,2,2.0,1.000,3.0,3.0,6.0,2.0,0.0,1.0,1.0,4.0,10.0,8.5,+2,6.0,4.0,0.6666666666666666,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,8.0,94.0,5.529411764705882,7.699999999999999,93.1,5.476470588235294
12,13,13,2022-11-09,21-075,CHI,,NOP,L (-4),1,26:19,3.0,7.0,.429,1.0,2.0,.500,0,0.0,,1.0,3.0,4.0,1.0,1.0,4.0,2.0,1.0,7.0,7.0,-5,5.0,2.0,0.4,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,8.0,67.0,3.941176470588236,6.999999999999998,69.3,4.076470588235294
13,14,14,2022-11-13,21-079,CHI,,DEN,L (-23),1,30:18,6.0,9.0,.667,2.0,3.0,.667,1,1.0,1.000,1.0,3.0,4.0,1.0,1.0,2.0,1.0,0.0,15.0,14.8,-24,6.0,4.0,0.6666666666666666,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,12.0,57.0,3.3529411764705883,14.399999999999991,55.8,3.2823529411764705
14,15,15,2022-11-16,21-082,CHI,@,NOP,L (-14),1,23:02,2.0,4.0,.500,1.0,2.0,.500,0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,2.0,2.0,5.0,2.1,-21,2.0,1.0,0.5,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,4.0,63.0,3.7058823529411766,2.1000000000000005,73.6,4.329411764705882
15,16,16,2022-11-18,21-084,CHI,,ORL,L (-1),1,32:34,3.0,5.0,.600,2.0,4.0,.500,4,4.0,1.000,2.0,5.0,7.0,1.0,1.0,0.0,1.0,0.0,12.0,13.3,+4,1.0,1.0,1.0,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,11.0,87.0,5.117647058823529,11.7,85.0,5.0
16,17,17,2022-11-21,21-087,CHI,,BOS,W (+14),1,25:40,6.0,9.0,.667,3.0,4.0,.750,2,2.0,1.000,0.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,17.0,13.9,+9,5.0,3.0,0.6,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,10.0,97.0,5.705882352941177,13.099999999999996,88.2,5.188235294117647
17,18,18,2022-11-23,21-089,CHI,@,MIL,W (+5),1,26:05,3.0,7.0,.429,2.0,4.0,.500,3,4.0,.750,0.0,3.0,3.0,3.0,1.0,2.0,3.0,4.0,11.0,7.7,-9,3.0,1.0,0.3333333333333333,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,6.0,99.0,5.823529411764706,6.5,101.2,5.952941176470588
18,19,19,2022-11-25,21-091,CHI,@,OKC,L (-4),1,31:58,4.0,7.0,.571,3.0,3.0,1.000,0,0.0,,2.0,4.0,6.0,1.0,0.0,2.0,2.0,4.0,11.0,8.8,+7,4.0,1.0,0.25,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,11.0,56.0,3.294117647058824,8.799999999999999,69.5,4.088235294117647
19,20,20,2022-11-28,21-094,CHI,@,UTA,W (+7),1,24:32,1.0,4.0,.250,1.0,2.0,.500,2,2.0,1.000,1.0,4.0,5.0,0.0,1.0,0.0,2.0,2.0,5.0,2.7,-4,2.0,0.0,0.0,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,3.0,66.0,3.882352941176471,1.9000000000000008,70.79999999999998,4.164705882352941
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,,0.0,0.0,0.0,0.0,0.0
21,21,21,2022-11-30,21-096,CHI,@,PHO,L (-19),1,28:05,0.0,8.0,.000,0.0,3.0,.000,2,2.0,1.000,1.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,-0.9,-14,5.0,0.0,0.0,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,-3.0,79.0,4.647058823529412,-1.6999999999999995,82.19999999999999,4.8352941176470585
22,22,22,2022-12-02,21-098,CHI,@,GSW,L (-8),0,18:54,3.0,9.0,.333,1.0,4.0,.250,0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,7.0,-0.7,-10,5.0,2.0,0.4,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,-2.0,75.0,4.411764705882353,-0.7000000000000006,83.6,4.917647058823529
23,23,23,2022-12-04,21-100,CHI,@,SAC,L (-9),1,32:44,4.0,8.0,.500,1.0,3.0,.333,1,1.0,1.000,2.0,4.0,6.0,0.0,1.0,2.0,2.0,4.0,10.0,7.4,+5,5.0,3.0,0.6,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,8.0,54.0,3.176470588235294,6.999999999999998,71.29999999999998,4.194117647058823
24,24,24,2022-12-07,21-103,CHI,,WAS,W (+4),1,29:59,5.0,8.0,.625,1.0,1.0,1.000,0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,1.0,4.0,11.0,6.8,+5,7.0,4.0,0.5714285714285714,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,6.0,86.0,5.0588235294117645,6.799999999999999,90.0,5.294117647058823
25,25,25,2022-12-10,21-106,CHI,,DAL,W (+29),1,30:30,6.0,10.0,.600,4.0,5.0,.800,0,0.0,,0.0,3.0,3.0,3.0,0.0,2.0,0.0,0.0,16.0,15.8,+16,5.0,2.0,0.4,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,14.0,124.0,7.294117647058823,15.799999999999995,121.3,7.135294117647058
26,26,26,2022-12-11,21-107,CHI,@,ATL,L (-1),1,25:04,4.0,10.0,.400,0.0,3.0,.000,0,0.0,,2.0,5.0,7.0,1.0,0.0,2.0,2.0,1.0,8.0,5.2,-5,7.0,4.0,0.5714285714285714,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,6.0,93.0,5.470588235294118,5.199999999999999,89.69999999999999,5.276470588235293
27,27,27,2022-12-14,21-110,CHI,,NYK,L (-8),1,40:11,4.0,6.0,.667,2.0,3.0,.667,1,1.0,1.000,1.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,11.0,12.8,-1,3.0,2.0,0.6666666666666666,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,12.0,81.0,4.764705882352941,12.4,92.9,5.464705882352941
28,28,28,2022-12-16,21-112,CHI,,NYK,L (-23),1,29:45,4.0,9.0,.444,2.0,4.0,.500,0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,10.0,6.3,-30,5.0,2.0,0.4,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,4.0,61.0,3.588235294117647,6.3,53.79999999999999,3.1647058823529406
29,29,29,2022-12-18,21-114,CHI,@,MIN,L (-24),1,32:15,4.0,9.0,.444,2.0,5.0,.400,3,3.0,1.000,0.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,13.0,10.5,-19,4.0,2.0,0.5,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,7.0,71.0,4.176470588235294,9.3,95.09999999999998,5.594117647058822
30,30,30,2022-12-20,21-116,CHI,@,MIA,W (+10),1,31:48,2.0,8.0,.250,1.0,4.0,.250,1,2.0,.500,0.0,3.0,3.0,4.0,1.0,0.0,3.0,3.0,6.0,1.3,+13,4.0,1.0,0.25,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,1.0,78.0,4.588235294117647,0.9000000000000004,92.8,5.458823529411765
31,31,31,2022-12-21,21-117,CHI,@,ATL,W (+2),1,37:00,5.0,11.0,.455,1.0,5.0,.200,0,0.0,,1.0,7.0,8.0,1.0,0.0,2.0,2.0,1.0,11.0,7.8,-3,6.0,4.0,0.6666666666666666,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,9.0,81.0,4.764705882352941,7.799999999999999,90.7,5.335294117647059
32,32,32,2022-12-23,21-119,CHI,@,NYK,W (+1),1,36:52,3.0,8.0,.375,1.0,2.0,.500,0,0.0,,2.0,5.0,7.0,2.0,1.0,1.0,1.0,1.0,7.0,7.2,+3,6.0,2.0,0.3333333333333333,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,9.0,94.0,5.529411764705882,7.199999999999999,96.7,5.688235294117647
