Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Gordon,Shared Games with Bruce Brown,Shared Games with Christian Braun,Shared Games with Collin Gillespie,Shared Games with Davon Reed,Shared Games with DeAndre Jordan,Shared Games with Ish Smith,Shared Games with Jack White,Shared Games with Jamal Murray,Shared Games with Jeff Green,Shared Games with Kentavious Caldwell-Pope,Shared Games with Michael Porter Jr.,Shared Games with Nikola Jokić,Shared Games with Peyton Watson,Shared Games with Vlatko Čančar,Shared Games with Zeke Nnaji,Aaron Gordon,Bruce Brown,Christian Braun,Collin Gillespie,Davon Reed,DeAndre Jordan,Ish Smith,Jack White,Jamal Murray,Jeff Green,Kentavious Caldwell-Pope,Michael Porter Jr.,Nikola Jokić,Peyton Watson,Vlatko Čančar,Zeke Nnaji,co_inf with Aaron Gordon,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Collin Gillespie,co_inf with Davon Reed,co_inf with DeAndre Jordan,co_inf with Ish Smith,co_inf with Jack White,co_inf with Jamal Murray,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Michael Porter Jr.,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Vlatko Čančar,co_inf with Zeke Nnaji
69,67,,2023-03-11,22-178,LAC,,NYK,W (+11),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,37,41,37,0,23,27,18,7,35,25,40,30,35,5,29,33,68.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.5441176470588235,0.5125,0.4868421052631579,,0.5348837209302325,0.6923076923076923,0.4186046511627907,0.4117647058823529,0.5384615384615384,0.4464285714285714,0.5263157894736842,0.4838709677419355,0.5072463768115942,0.217391304347826,0.4833333333333333,0.6226415094339622
70,68,,2023-03-15,22-182,LAC,,GSW,W (+8),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,37,41,37,0,23,27,18,7,35,25,40,30,35,5,29,33,68.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.5441176470588235,0.5125,0.4868421052631579,,0.5348837209302325,0.6923076923076923,0.4186046511627907,0.4117647058823529,0.5384615384615384,0.4464285714285714,0.5263157894736842,0.4838709677419355,0.5072463768115942,0.217391304347826,0.4833333333333333,0.6226415094339622
71,69,,2023-03-18,22-185,LAC,,ORL,L (-5),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,37,41,37,0,23,27,18,7,35,25,40,30,35,5,29,33,68.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.5441176470588235,0.5125,0.4868421052631579,,0.5348837209302325,0.6923076923076923,0.4186046511627907,0.4117647058823529,0.5384615384615384,0.4464285714285714,0.5263157894736842,0.4838709677419355,0.5072463768115942,0.217391304347826,0.4833333333333333,0.6226415094339622
72,70,,2023-03-19,22-186,LAC,@,POR,W (+15),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,37,41,37,0,23,27,18,7,35,25,40,30,35,5,29,33,68.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.5441176470588235,0.5125,0.4868421052631579,,0.5348837209302325,0.6923076923076923,0.4186046511627907,0.4117647058823529,0.5384615384615384,0.4464285714285714,0.5263157894736842,0.4838709677419355,0.5072463768115942,0.217391304347826,0.4833333333333333,0.6226415094339622
73,71,,2023-03-21,22-188,LAC,,OKC,L (-1),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,37,41,37,0,23,27,18,7,35,25,40,30,35,5,29,33,68.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.5441176470588235,0.5125,0.4868421052631579,,0.5348837209302325,0.6923076923076923,0.4186046511627907,0.4117647058823529,0.5384615384615384,0.4464285714285714,0.5263157894736842,0.4838709677419355,0.5072463768115942,0.217391304347826,0.4833333333333333,0.6226415094339622
74,72,48,2023-03-23,22-190,LAC,,OKC,W (+22),0,25.8,6.0,13.0,.462,4.0,7.0,.571,0,1,.000,1,3,4,7,1,1,1,0,16,16.1,+32,6.0,2.0,0.3333333333333333,37,41,37,0,23,27,18,7,35,25,40,30,35,5,29,33,68.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.5441176470588235,0.5125,0.4868421052631579,,0.5348837209302325,0.6923076923076923,0.4186046511627907,0.4117647058823529,0.5384615384615384,0.4464285714285714,0.5263157894736842,0.4838709677419355,0.5072463768115942,0.217391304347826,0.4833333333333333,0.6226415094339622
75,73,49,2023-03-25,22-192,LAC,,NOP,L (-21),0,23.85,7.0,12.0,.583,3.0,8.0,.375,1,1,1.000,0,2,2,7,0,0,5,2,18,12.1,-12,4.0,4.0,1.0,37,41,37,0,23,27,18,7,35,25,40,30,35,5,29,33,68.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.5441176470588235,0.5125,0.4868421052631579,,0.5348837209302325,0.6923076923076923,0.4186046511627907,0.4117647058823529,0.5384615384615384,0.4464285714285714,0.5263157894736842,0.4838709677419355,0.5072463768115942,0.217391304347826,0.4833333333333333,0.6226415094339622
76,74,50,2023-03-27,22-194,LAC,,CHI,W (+12),0,23.766666666666666,5.0,11.0,.455,2.0,7.0,.286,1,2,.500,0,2,2,8,3,0,1,2,13,14.3,+2,4.0,3.0,0.75,37,41,37,0,23,27,18,7,35,25,40,30,35,5,29,33,68.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.5441176470588235,0.5125,0.4868421052631579,,0.5348837209302325,0.6923076923076923,0.4186046511627907,0.4117647058823529,0.5384615384615384,0.4464285714285714,0.5263157894736842,0.4838709677419355,0.5072463768115942,0.217391304347826,0.4833333333333333,0.6226415094339622
77,75,51,2023-03-29,22-196,LAC,@,MEM,W (+9),0,21.6,8.0,14.0,.571,4.0,6.0,.667,0,0,,1,4,5,6,1,1,1,1,20,19.8,+11,8.0,4.0,0.5,37,41,37,0,23,27,18,7,35,25,40,30,35,5,29,33,68.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.5441176470588235,0.5125,0.4868421052631579,,0.5348837209302325,0.6923076923076923,0.4186046511627907,0.4117647058823529,0.5384615384615384,0.4464285714285714,0.5263157894736842,0.4838709677419355,0.5072463768115942,0.217391304347826,0.4833333333333333,0.6226415094339622
78,76,52,2023-03-31,22-198,LAC,@,MEM,L (-14),0,23.533333333333335,4.0,14.0,.286,2.0,7.0,.286,0,0,,1,3,4,1,0,0,0,2,10,3.3,,7.0,2.0,0.2857142857142857,37,41,37,0,23,27,18,7,35,25,40,30,35,5,29,33,68.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.5441176470588235,0.5125,0.4868421052631579,,0.5348837209302325,0.6923076923076923,0.4186046511627907,0.4117647058823529,0.5384615384615384,0.4464285714285714,0.5263157894736842,0.4838709677419355,0.5072463768115942,0.217391304347826,0.4833333333333333,0.6226415094339622
79,77,53,2023-04-01,22-199,LAC,@,NOP,L (-8),0,15.183333333333334,2.0,7.0,.286,1.0,4.0,.250,0,0,,0,1,1,1,1,0,1,2,5,1.1,-10,3.0,1.0,0.3333333333333333,37,41,37,0,23,27,18,7,35,25,40,30,35,5,29,33,68.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.5441176470588235,0.5125,0.4868421052631579,,0.5348837209302325,0.6923076923076923,0.4186046511627907,0.4117647058823529,0.5384615384615384,0.4464285714285714,0.5263157894736842,0.4838709677419355,0.5072463768115942,0.217391304347826,0.4833333333333333,0.6226415094339622
80,78,54,2023-04-05,22-203,LAC,,LAL,W (+7),0,20.85,4.0,7.0,.571,3.0,6.0,.500,3,4,.750,0,2,2,4,1,0,1,3,14,12.5,+6,1.0,1.0,1.0,37,41,37,0,23,27,18,7,35,25,40,30,35,5,29,33,68.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.5441176470588235,0.5125,0.4868421052631579,,0.5348837209302325,0.6923076923076923,0.4186046511627907,0.4117647058823529,0.5384615384615384,0.4464285714285714,0.5263157894736842,0.4838709677419355,0.5072463768115942,0.217391304347826,0.4833333333333333,0.6226415094339622
81,79,55,2023-04-08,22-206,LAC,,POR,W (+11),0,21.666666666666668,3.0,11.0,.273,1.0,7.0,.143,2,2,1.000,1,5,6,3,1,0,0,1,9,7.4,+6,4.0,2.0,0.5,37,41,37,0,23,27,18,7,35,25,40,30,35,5,29,33,68.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.5441176470588235,0.5125,0.4868421052631579,,0.5348837209302325,0.6923076923076923,0.4186046511627907,0.4117647058823529,0.5384615384615384,0.4464285714285714,0.5263157894736842,0.4838709677419355,0.5072463768115942,0.217391304347826,0.4833333333333333,0.6226415094339622
82,80,56,2023-04-09,22-207,LAC,@,PHO,W (+5),0,17.833333333333332,5.0,11.0,.455,1.0,4.0,.250,0,0,,0,5,5,2,0,0,2,1,11,5.8,+6,7.0,4.0,0.5714285714285714,37,41,37,0,23,27,18,7,35,25,40,30,35,5,29,33,68.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.5441176470588235,0.5125,0.4868421052631579,,0.5348837209302325,0.6923076923076923,0.4186046511627907,0.4117647058823529,0.5384615384615384,0.4464285714285714,0.5263157894736842,0.4838709677419355,0.5072463768115942,0.217391304347826,0.4833333333333333,0.6226415094339622
