Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Gordon,Shared Games with Bones Hyland,Shared Games with Bruce Brown,Shared Games with Christian Braun,Shared Games with Davon Reed,Shared Games with DeAndre Jordan,Shared Games with Ish Smith,Shared Games with Jack White,Shared Games with Jamal Murray,Shared Games with Jeff Green,Shared Games with Kentavious Caldwell-Pope,Shared Games with Michael Porter Jr.,Shared Games with Nikola Jokić,Shared Games with Peyton Watson,Shared Games with Vlatko Čančar,Aaron Gordon,Bones Hyland,Bruce Brown,Christian Braun,Collin Gillespie,Davon Reed,DeAndre Jordan,Ish Smith,Jack White,Jamal Murray,Jeff Green,Kentavious Caldwell-Pope,Michael Porter Jr.,Nikola Jokić,Peyton Watson,Vlatko Čančar,co_inf with Aaron Gordon,co_inf with Bones Hyland,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Collin Gillespie,co_inf with Davon Reed,co_inf with DeAndre Jordan,co_inf with Ish Smith,co_inf with Jack White,co_inf with Jamal Murray,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Michael Porter Jr.,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Vlatko Čančar,Shared Games with Reggie Jackson,Shared Games with Thomas Bryant,Donovan Williams,Reggie Jackson,Thomas Bryant,co_inf with Reggie Jackson,co_inf with Donovan Williams,co_inf with Thomas Bryant,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2022-11-09,21-304,DEN,IND,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,,84.0,4.941176470588236,0.0,96.4,5.670588235294118,12.5,1.6,-3.7,-2.7,-0.9,0.0291732490784623,0.62,0.332,0.316,-0.3,0.9,W (+3),W (+3)
12.0,7.0,2022-11-11,21-306,DEN,BOS,0,2.033333333333333,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.4,-1,0.0,0.0,,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,0.0,62.0,3.647058823529412,-0.3999999999999999,85.5,5.029411764705882,12.5,1.6,-3.7,-2.7,-0.9,0.0291732490784623,0.62,0.332,0.316,-0.3,0.9,L (-19),L (-19)
13.0,8.0,2022-11-13,21-308,DEN,CHI,0,3.4166666666666665,2.0,2.0,1.000,0.0,0.0,,0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,3.7,-1,2.0,2.0,1.0,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,3.0,100.0,5.882352941176471,3.7,108.89999999999998,6.405882352941175,12.5,1.6,-3.7,-2.7,-0.9,0.0291732490784623,0.62,0.332,0.316,-0.3,0.9,W (+23),W (+23)
14.0,9.0,2022-11-16,21-311,DEN,NYK,0,26.28333333333333,5.0,7.0,.714,1.0,3.0,.333,2,3.0,.667,2.0,1.0,3.0,0.0,1.0,0.0,2.0,5.0,13.0,8.4,+2,4.0,4.0,1.0,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,5.0,56.0,3.294117647058824,7.600000000000001,59.6,3.5058823529411764,12.5,1.6,-3.7,-2.7,-0.9,0.0291732490784623,0.62,0.332,0.316,-0.3,0.9,L (-3),L (-3)
15.0,10.0,2022-11-18,21-313,DEN,DAL,0,21.28333333333333,2.0,2.0,1.000,0.0,0.0,,0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,4.4,-18,2.0,2.0,1.0,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,4.0,52.0,3.0588235294117645,4.4,66.0,3.882352941176471,12.5,1.6,-3.7,-2.7,-0.9,0.0291732490784623,0.62,0.332,0.316,-0.3,0.9,L (-28),L (-28)
16.0,11.0,2022-11-20,21-315,DEN,DAL,0,15.75,2.0,4.0,.500,1.0,1.0,1.000,0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,5.0,2.2,+6,3.0,1.0,0.3333333333333333,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,2.0,61.0,3.588235294117647,2.2,62.2,3.658823529411765,12.5,1.6,-3.7,-2.7,-0.9,0.0291732490784623,0.62,0.332,0.316,-0.3,0.9,W (+1),W (+1)
17.0,12.0,2022-11-22,21-317,DEN,DET,0,19.45,4.0,6.0,.667,0.0,0.0,,0,0.0,,3.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,8.0,6.4,-23,6.0,4.0,0.6666666666666666,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,5.0,77.0,4.529411764705882,6.4,95.0,5.588235294117647,12.5,1.6,-3.7,-2.7,-0.9,0.0291732490784623,0.62,0.332,0.316,-0.3,0.9,L (-2),L (-2)
18.0,13.0,2022-11-23,21-318,DEN,OKC,0,15.35,3.0,5.0,.600,0.0,0.0,,2,2.0,1.000,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,8.0,5.9,-1,5.0,3.0,0.6,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,3.0,101.0,5.941176470588236,5.1,124.7,7.335294117647059,12.5,1.6,-3.7,-2.7,-0.9,0.0291732490784623,0.62,0.332,0.316,-0.3,0.9,W (+5),W (+5)
19.0,14.0,2022-11-25,21-320,DEN,LAC,0,15.6,2.0,5.0,.400,0.0,2.0,.000,2,2.0,1.000,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,3.9,-9,3.0,2.0,0.6666666666666666,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,1.0,77.0,4.529411764705882,3.1,92.9,5.464705882352941,12.5,1.6,-3.7,-2.7,-0.9,0.0291732490784623,0.62,0.332,0.316,-0.3,0.9,W (+10),W (+10)
20.0,15.0,2022-11-28,21-323,DEN,HOU,0,17.733333333333334,7.0,12.0,.583,1.0,4.0,.250,0,1.0,.000,2.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,15.0,8.9,+9,8.0,6.0,0.75,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,4.0,105.0,6.176470588235294,8.9,111.6,6.564705882352941,12.5,1.6,-3.7,-2.7,-0.9,0.0291732490784623,0.62,0.332,0.316,-0.3,0.9,W (+16),W (+16)
21.0,16.0,2022-11-30,21-325,DEN,HOU,0,3.1,0.0,0.0,,0.0,0.0,,0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.3,-3,0.0,0.0,,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,0.0,93.0,5.470588235294118,-0.3,102.2,6.011764705882353,12.5,1.6,-3.7,-2.7,-0.9,0.0291732490784623,0.62,0.332,0.316,-0.3,0.9,,
22.0,,2022-12-02,21-327,DEN,ATL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,,77.0,4.529411764705882,0.0,95.20000000000002,5.600000000000001,12.5,1.6,-3.7,-2.7,-0.9,0.0291732490784623,0.62,0.332,0.316,-0.3,0.9,W (+20),W (+20)
23.0,17.0,2022-12-04,21-329,DEN,NOP,0,2.05,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,+2,0.0,0.0,,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,2.0,75.0,4.411764705882353,1.0,92.3,5.429411764705883,12.5,1.6,-3.7,-2.7,-0.9,0.0291732490784623,0.62,0.332,0.316,-0.3,0.9,L (-8),L (-8)
24.0,18.0,2022-12-06,21-331,DEN,DAL,0,13.916666666666666,1.0,1.0,1.000,0.0,0.0,,0,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.4,-3,1.0,1.0,1.0,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,3.0,50.0,2.9411764705882355,2.4,70.80000000000001,4.1647058823529415,12.5,1.6,-3.7,-2.7,-0.9,0.0291732490784623,0.62,0.332,0.316,-0.3,0.9,L (-15),L (-15)
25.0,,2022-12-08,21-333,DEN,POR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,,73.0,4.294117647058823,0.0,91.9,5.405882352941177,12.5,1.6,-3.7,-2.7,-0.9,0.0291732490784623,0.62,0.332,0.316,-0.3,0.9,L (-1),L (-1)
