Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alondes Williams,Shared Games with Ben Simmons,Shared Games with Cam Thomas,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kevin Durant,Shared Games with Markieff Morris,Shared Games with Nic Claxton,Shared Games with Patty Mills,Shared Games with RaiQuan Gray,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with T.J. Warren,Shared Games with Yuta Watanabe,Alondes Williams,Ben Simmons,Cam Thomas,David Duke Jr.,Day'Ron Sharpe,Edmond Sumner,Joe Harris,Kessler Edwards,Kevin Durant,Markieff Morris,Nic Claxton,Patty Mills,RaiQuan Gray,Royce O'Neale,Seth Curry,T.J. Warren,Yuta Watanabe,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Kessler Edwards,co_inf with Kevin Durant,co_inf with Markieff Morris,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with RaiQuan Gray,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with T.J. Warren,co_inf with Yuta Watanabe
10,11,,2022-11-07,30-229,BRK,@,DAL,L (-2),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,30,23,6,18,32,34,8,30,24,38,20,1,38,30,22,29,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.7142857142857143,0.4035087719298245,0.2608695652173913,0.375,0.6037735849056604,0.4594594594594595,0.2222222222222222,0.6382978723404256,0.6857142857142857,0.5,0.5,1.0,0.5,0.4918032786885246,0.5238095238095238,0.5
11,12,,2022-11-09,30-231,BRK,,NYK,W (+27),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,30,23,6,18,32,34,8,30,24,38,20,1,38,30,22,29,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.7142857142857143,0.4035087719298245,0.2608695652173913,0.375,0.6037735849056604,0.4594594594594595,0.2222222222222222,0.6382978723404256,0.6857142857142857,0.5,0.5,1.0,0.5,0.4918032786885246,0.5238095238095238,0.5
12,13,,2022-11-12,30-234,BRK,@,LAC,W (+15),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,30,23,6,18,32,34,8,30,24,38,20,1,38,30,22,29,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.7142857142857143,0.4035087719298245,0.2608695652173913,0.375,0.6037735849056604,0.4594594594594595,0.2222222222222222,0.6382978723404256,0.6857142857142857,0.5,0.5,1.0,0.5,0.4918032786885246,0.5238095238095238,0.5
13,14,,2022-11-13,30-235,BRK,@,LAL,L (-13),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,30,23,6,18,32,34,8,30,24,38,20,1,38,30,22,29,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.7142857142857143,0.4035087719298245,0.2608695652173913,0.375,0.6037735849056604,0.4594594594594595,0.2222222222222222,0.6382978723404256,0.6857142857142857,0.5,0.5,1.0,0.5,0.4918032786885246,0.5238095238095238,0.5
14,15,,2022-11-15,30-237,BRK,@,SAC,L (-32),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,30,23,6,18,32,34,8,30,24,38,20,1,38,30,22,29,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.7142857142857143,0.4035087719298245,0.2608695652173913,0.375,0.6037735849056604,0.4594594594594595,0.2222222222222222,0.6382978723404256,0.6857142857142857,0.5,0.5,1.0,0.5,0.4918032786885246,0.5238095238095238,0.5
15,16,,2022-11-17,30-239,BRK,@,POR,W (+2),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,30,23,6,18,32,34,8,30,24,38,20,1,38,30,22,29,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.7142857142857143,0.4035087719298245,0.2608695652173913,0.375,0.6037735849056604,0.4594594594594595,0.2222222222222222,0.6382978723404256,0.6857142857142857,0.5,0.5,1.0,0.5,0.4918032786885246,0.5238095238095238,0.5
16,17,9,2022-11-20,30-242,BRK,,MEM,W (+12),1,26.033333333333335,5.0,12.0,.417,2.0,5.0,.400,2,2,1.000,0,5,5,0,1,1,4,3,14,5.6,+16,7.0,3.0,0.4285714285714285,0,30,23,6,18,32,34,8,30,24,38,20,1,38,30,22,29,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.7142857142857143,0.4035087719298245,0.2608695652173913,0.375,0.6037735849056604,0.4594594594594595,0.2222222222222222,0.6382978723404256,0.6857142857142857,0.5,0.5,1.0,0.5,0.4918032786885246,0.5238095238095238,0.5
17,18,10,2022-11-22,30-244,BRK,@,PHI,L (-9),1,30.533333333333335,10.0,18.0,.556,2.0,8.0,.250,1,1,1.000,0,2,2,2,1,2,2,0,23,16.8,-9,10.0,8.0,0.8,0,30,23,6,18,32,34,8,30,24,38,20,1,38,30,22,29,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.7142857142857143,0.4035087719298245,0.2608695652173913,0.375,0.6037735849056604,0.4594594594594595,0.2222222222222222,0.6382978723404256,0.6857142857142857,0.5,0.5,1.0,0.5,0.4918032786885246,0.5238095238095238,0.5
18,19,11,2022-11-23,30-245,BRK,@,TOR,W (+14),1,28.266666666666666,11.0,16.0,.688,5.0,8.0,.625,2,2,1.000,0,1,1,3,0,0,1,3,29,22.4,+16,8.0,6.0,0.75,0,30,23,6,18,32,34,8,30,24,38,20,1,38,30,22,29,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.7142857142857143,0.4035087719298245,0.2608695652173913,0.375,0.6037735849056604,0.4594594594594595,0.2222222222222222,0.6382978723404256,0.6857142857142857,0.5,0.5,1.0,0.5,0.4918032786885246,0.5238095238095238,0.5
19,20,12,2022-11-25,30-247,BRK,@,IND,L (-11),1,38.13333333333333,8.0,17.0,.471,3.0,9.0,.333,1,1,1.000,0,4,4,4,0,0,1,4,20,12.7,+1,8.0,5.0,0.625,0,30,23,6,18,32,34,8,30,24,38,20,1,38,30,22,29,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.7142857142857143,0.4035087719298245,0.2608695652173913,0.375,0.6037735849056604,0.4594594594594595,0.2222222222222222,0.6382978723404256,0.6857142857142857,0.5,0.5,1.0,0.5,0.4918032786885246,0.5238095238095238,0.5
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,0,30,23,6,18,32,34,8,30,24,38,20,1,38,30,22,29,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.7142857142857143,0.4035087719298245,0.2608695652173913,0.375,0.6037735849056604,0.4594594594594595,0.2222222222222222,0.6382978723404256,0.6857142857142857,0.5,0.5,1.0,0.5,0.4918032786885246,0.5238095238095238,0.5
21,21,13,2022-11-27,30-249,BRK,,POR,W (+14),1,37.95,8.0,17.0,.471,4.0,10.0,.400,2,3,.667,1,4,5,6,0,0,0,3,22,17.8,+2,7.0,4.0,0.5714285714285714,0,30,23,6,18,32,34,8,30,24,38,20,1,38,30,22,29,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.7142857142857143,0.4035087719298245,0.2608695652173913,0.375,0.6037735849056604,0.4594594594594595,0.2222222222222222,0.6382978723404256,0.6857142857142857,0.5,0.5,1.0,0.5,0.4918032786885246,0.5238095238095238,0.5
22,22,14,2022-11-28,30-250,BRK,,ORL,W (+7),1,38.71666666666667,9.0,17.0,.529,2.0,5.0,.400,0,0,,0,2,2,3,0,1,4,5,20,9.1,+6,12.0,7.0,0.5833333333333334,0,30,23,6,18,32,34,8,30,24,38,20,1,38,30,22,29,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.7142857142857143,0.4035087719298245,0.2608695652173913,0.375,0.6037735849056604,0.4594594594594595,0.2222222222222222,0.6382978723404256,0.6857142857142857,0.5,0.5,1.0,0.5,0.4918032786885246,0.5238095238095238,0.5
23,23,15,2022-11-30,30-252,BRK,,WAS,W (+6),1,38.166666666666664,9.0,21.0,.429,2.0,6.0,.333,7,8,.875,0,1,1,5,1,2,2,3,27,18.5,+5,15.0,7.0,0.4666666666666667,0,30,23,6,18,32,34,8,30,24,38,20,1,38,30,22,29,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.7142857142857143,0.4035087719298245,0.2608695652173913,0.375,0.6037735849056604,0.4594594594594595,0.2222222222222222,0.6382978723404256,0.6857142857142857,0.5,0.5,1.0,0.5,0.4918032786885246,0.5238095238095238,0.5
24,24,16,2022-12-02,30-254,BRK,,TOR,W (+9),1,39.233333333333334,10.0,17.0,.588,2.0,5.0,.400,5,7,.714,1,4,5,5,2,0,4,3,27,20.5,+7,12.0,8.0,0.6666666666666666,0,30,23,6,18,32,34,8,30,24,38,20,1,38,30,22,29,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.7142857142857143,0.4035087719298245,0.2608695652173913,0.375,0.6037735849056604,0.4594594594594595,0.2222222222222222,0.6382978723404256,0.6857142857142857,0.5,0.5,1.0,0.5,0.4918032786885246,0.5238095238095238,0.5
25,25,17,2022-12-04,30-256,BRK,,BOS,L (-11),1,40.016666666666666,7.0,21.0,.333,1.0,5.0,.200,3,3,1.000,3,5,8,5,0,1,2,2,18,11.1,-16,16.0,6.0,0.375,0,30,23,6,18,32,34,8,30,24,38,20,1,38,30,22,29,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.7142857142857143,0.4035087719298245,0.2608695652173913,0.375,0.6037735849056604,0.4594594594594595,0.2222222222222222,0.6382978723404256,0.6857142857142857,0.5,0.5,1.0,0.5,0.4918032786885246,0.5238095238095238,0.5
26,26,18,2022-12-07,30-259,BRK,,CHO,W (+6),1,34.333333333333336,14.0,24.0,.583,1.0,7.0,.143,4,4,1.000,0,5,5,9,0,4,1,0,33,31.4,+3,17.0,13.0,0.7647058823529411,0,30,23,6,18,32,34,8,30,24,38,20,1,38,30,22,29,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.7142857142857143,0.4035087719298245,0.2608695652173913,0.375,0.6037735849056604,0.4594594594594595,0.2222222222222222,0.6382978723404256,0.6857142857142857,0.5,0.5,1.0,0.5,0.4918032786885246,0.5238095238095238,0.5
27,27,19,2022-12-09,30-261,BRK,,ATL,W (+4),1,39.35,11.0,21.0,.524,5.0,9.0,.556,6,6,1.000,5,6,11,3,0,0,6,2,33,23.3,+13,12.0,6.0,0.5,0,30,23,6,18,32,34,8,30,24,38,20,1,38,30,22,29,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.7142857142857143,0.4035087719298245,0.2608695652173913,0.375,0.6037735849056604,0.4594594594594595,0.2222222222222222,0.6382978723404256,0.6857142857142857,0.5,0.5,1.0,0.5,0.4918032786885246,0.5238095238095238,0.5
28,28,,2022-12-10,30-262,BRK,@,IND,W (+3),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,30,23,6,18,32,34,8,30,24,38,20,1,38,30,22,29,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.7142857142857143,0.4035087719298245,0.2608695652173913,0.375,0.6037735849056604,0.4594594594594595,0.2222222222222222,0.6382978723404256,0.6857142857142857,0.5,0.5,1.0,0.5,0.4918032786885246,0.5238095238095238,0.5
29,29,20,2022-12-12,30-264,BRK,@,WAS,W (+12),1,36.2,7.0,17.0,.412,3.0,10.0,.300,7,7,1.000,1,5,6,5,1,2,1,1,24,21.6,+9,7.0,4.0,0.5714285714285714,0,30,23,6,18,32,34,8,30,24,38,20,1,38,30,22,29,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.7142857142857143,0.4035087719298245,0.2608695652173913,0.375,0.6037735849056604,0.4594594594594595,0.2222222222222222,0.6382978723404256,0.6857142857142857,0.5,0.5,1.0,0.5,0.4918032786885246,0.5238095238095238,0.5
30,30,21,2022-12-16,30-268,BRK,@,TOR,W (+3),1,35.2,13.0,22.0,.591,3.0,9.0,.333,3,3,1.000,0,3,3,5,0,0,1,3,32,24.0,+2,13.0,10.0,0.7692307692307693,0,30,23,6,18,32,34,8,30,24,38,20,1,38,30,22,29,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.7142857142857143,0.4035087719298245,0.2608695652173913,0.375,0.6037735849056604,0.4594594594594595,0.2222222222222222,0.6382978723404256,0.6857142857142857,0.5,0.5,1.0,0.5,0.4918032786885246,0.5238095238095238,0.5
31,31,22,2022-12-18,30-270,BRK,@,DET,W (+3),1,34.38333333333333,13.0,23.0,.565,5.0,10.0,.500,7,8,.875,1,5,6,3,1,0,4,4,38,26.4,-3,13.0,8.0,0.6153846153846154,0,30,23,6,18,32,34,8,30,24,38,20,1,38,30,22,29,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.7142857142857143,0.4035087719298245,0.2608695652173913,0.375,0.6037735849056604,0.4594594594594595,0.2222222222222222,0.6382978723404256,0.6857142857142857,0.5,0.5,1.0,0.5,0.4918032786885246,0.5238095238095238,0.5
32,32,,2022-12-21,30-273,BRK,,GSW,W (+30),Did Not Dress,0.0,,,Did Not Dress,,,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,,,,0,30,23,6,18,32,34,8,30,24,38,20,1,38,30,22,29,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.7142857142857143,0.4035087719298245,0.2608695652173913,0.375,0.6037735849056604,0.4594594594594595,0.2222222222222222,0.6382978723404256,0.6857142857142857,0.5,0.5,1.0,0.5,0.4918032786885246,0.5238095238095238,0.5
33,33,23,2022-12-23,30-275,BRK,,MIL,W (+18),1,35.28333333333333,6.0,18.0,.333,3.0,7.0,.429,3,3,1.000,1,8,9,6,0,0,2,2,18,12.3,+21,11.0,3.0,0.2727272727272727,0,30,23,6,18,32,34,8,30,24,38,20,1,38,30,22,29,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.7142857142857143,0.4035087719298245,0.2608695652173913,0.375,0.6037735849056604,0.4594594594594595,0.2222222222222222,0.6382978723404256,0.6857142857142857,0.5,0.5,1.0,0.5,0.4918032786885246,0.5238095238095238,0.5
34,34,24,2022-12-26,30-278,BRK,@,CLE,W (+8),1,39.5,11.0,19.0,.579,7.0,11.0,.636,3,4,.750,0,4,4,5,0,0,3,3,32,23.2,+18,8.0,4.0,0.5,0,30,23,6,18,32,34,8,30,24,38,20,1,38,30,22,29,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.7142857142857143,0.4035087719298245,0.2608695652173913,0.375,0.6037735849056604,0.4594594594594595,0.2222222222222222,0.6382978723404256,0.6857142857142857,0.5,0.5,1.0,0.5,0.4918032786885246,0.5238095238095238,0.5
35,35,25,2022-12-28,30-280,BRK,@,ATL,W (+1),1,37.38333333333333,11.0,22.0,.500,5.0,11.0,.455,1,1,1.000,2,3,5,8,0,0,2,4,28,21.3,+7,11.0,6.0,0.5454545454545454,0,30,23,6,18,32,34,8,30,24,38,20,1,38,30,22,29,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.7142857142857143,0.4035087719298245,0.2608695652173913,0.375,0.6037735849056604,0.4594594594594595,0.2222222222222222,0.6382978723404256,0.6857142857142857,0.5,0.5,1.0,0.5,0.4918032786885246,0.5238095238095238,0.5
36,36,26,2022-12-31,30-283,BRK,@,CHO,W (+17),1,33.233333333333334,11.0,19.0,.579,4.0,9.0,.444,2,2,1.000,0,6,6,4,1,0,2,2,28,21.9,+11,10.0,7.0,0.7,0,30,23,6,18,32,34,8,30,24,38,20,1,38,30,22,29,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.7142857142857143,0.4035087719298245,0.2608695652173913,0.375,0.6037735849056604,0.4594594594594595,0.2222222222222222,0.6382978723404256,0.6857142857142857,0.5,0.5,1.0,0.5,0.4918032786885246,0.5238095238095238,0.5
