Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alondes Williams,Shared Games with Ben Simmons,Shared Games with Cam Thomas,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with Nic Claxton,Shared Games with Patty Mills,Shared Games with RaiQuan Gray,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with T.J. Warren,Shared Games with Yuta Watanabe,Alondes Williams,Ben Simmons,Cam Thomas,David Duke Jr.,Day'Ron Sharpe,Edmond Sumner,Joe Harris,Kessler Edwards,Kyrie Irving,Markieff Morris,Nic Claxton,Patty Mills,RaiQuan Gray,Royce O'Neale,Seth Curry,T.J. Warren,Yuta Watanabe,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Kessler Edwards,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with RaiQuan Gray,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with T.J. Warren,co_inf with Yuta Watanabe
10,11,11,2022/11/7,34-039,BRK,@,DAL,L (-2),1,38.66666667,10,20,0.5,1,3,0.333,5,7,0.714,1,3,4,4,2,1,3,5,26,17.3,1,17,9,0.529411765,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
11,12,12,2022/11/9,34-041,BRK,,NYK,W (+27),1,34.53333333,10,19,0.526,1,5,0.2,8,10,0.8,1,11,12,12,1,2,1,1,29,32.3,32,14,9,0.642857143,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
12,13,13,2022/11/12,34-044,BRK,@,LAC,W (+15),1,34.53333333,10,16,0.625,3,5,0.6,4,4,1,0,6,6,3,2,2,3,4,27,22.5,16,11,7,0.636363636,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
13,14,14,2022/11/13,34-045,BRK,@,LAL,L (-13),1,37.83333333,8,16,0.5,2,3,0.667,13,15,0.867,0,9,9,7,0,2,3,2,31,27.4,-15,13,6,0.461538462,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
14,15,15,2022/11/15,34-047,BRK,@,SAC,L (-32),1,30.65,8,15,0.533,0,1,0,11,11,1,0,4,4,6,0,1,2,2,27,23,-31,14,8,0.571428571,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
15,16,16,2022/11/17,34-049,BRK,@,POR,W (+2),1,38.8,13,22,0.591,1,4,0.25,8,10,0.8,0,8,8,3,0,1,4,4,35,23.6,15,18,12,0.666666667,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
16,17,17,2022/11/20,34-052,BRK,,MEM,W (+12),1,35.68333333,9,16,0.563,0,3,0,8,8,1,0,7,7,7,1,1,4,3,26,21.9,5,13,9,0.692307692,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
17,18,18,2022/11/22,34-054,BRK,@,PHI,L (-9),1,36.76666667,9,14,0.643,0,1,0,2,2,1,0,5,5,5,0,2,3,0,20,17.2,-10,13,9,0.692307692,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
18,19,19,2022/11/23,34-055,BRK,@,TOR,W (+14),1,32.8,5,10,0.5,2,5,0.4,0,0,,0,7,7,5,0,3,4,2,12,9.9,30,5,3,0.6,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
19,20,20,2022/11/25,34-057,BRK,@,IND,L (-11),1,38.83333333,15,31,0.484,3,12,0.25,3,4,0.75,2,7,9,8,0,2,5,4,36,23.8,0,19,12,0.631578947,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
20,Rk,G,Date,Age,Tm,,Opp,,GS,0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
21,21,21,2022/11/27,34-059,BRK,,POR,W (+14),1,36.68333333,12,20,0.6,3,6,0.5,4,4,1,0,5,5,5,0,0,1,4,31,24.2,21,14,9,0.642857143,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
22,22,22,2022/11/28,34-060,BRK,,ORL,W (+7),1,38.96666667,19,24,0.792,3,5,0.6,4,4,1,1,6,7,5,2,2,6,4,45,37.6,11,19,16,0.842105263,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
23,23,23,2022/11/30,34-062,BRK,,WAS,W (+6),1,36.86666667,13,20,0.65,2,3,0.667,11,11,1,0,5,5,5,0,1,1,4,39,33.3,-1,17,11,0.647058824,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
24,24,24,2022/12/2,34-064,BRK,,TOR,W (+9),1,37.66666667,6,10,0.6,0,3,0,5,6,0.833,0,9,9,7,0,2,2,0,17,19,1,7,6,0.857142857,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
25,25,25,2022/12/4,34-066,BRK,,BOS,L (-11),1,39.75,13,24,0.542,1,5,0.2,4,5,0.8,0,7,7,5,2,2,8,0,31,20,-19,19,12,0.631578947,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
26,26,26,2022/12/7,34-069,BRK,,CHO,W (+6),1,36.46666667,12,19,0.632,2,5,0.4,3,3,1,0,9,9,8,0,0,3,2,29,25,4,14,10,0.714285714,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
27,27,27,2022/12/9,34-071,BRK,,ATL,W (+4),1,36.2,14,25,0.56,2,7,0.286,4,4,1,0,4,4,4,1,2,4,0,34,24.5,8,18,12,0.666666667,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
28,28,,2022/12/10,34-072,BRK,@,IND,W (+3),Inactive,0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
29,29,28,2022/12/12,34-074,BRK,@,WAS,W (+12),1,33.43333333,11,17,0.647,3,6,0.5,5,5,1,0,9,9,6,1,1,3,1,30,27.7,11,11,8,0.727272727,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
30,30,29,2022/12/16,34-078,BRK,@,TOR,W (+3),1,37.11666667,10,15,0.667,2,3,0.667,6,6,1,0,4,4,3,1,0,5,3,28,19.6,9,12,8,0.666666667,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
31,31,30,2022/12/18,34-080,BRK,@,DET,W (+3),1,36.38333333,14,22,0.636,3,5,0.6,12,13,0.923,1,5,6,2,1,2,6,3,43,31.6,-3,17,11,0.647058824,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
32,32,31,2022/12/21,34-083,BRK,,GSW,W (+30),1,29.1,9,17,0.529,1,3,0.333,4,4,1,0,7,7,5,4,0,2,2,23,21.5,29,14,8,0.571428571,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
33,33,32,2022/12/23,34-085,BRK,,MIL,W (+18),1,34.23333333,9,17,0.529,2,6,0.333,4,4,1,0,5,5,6,1,1,3,2,24,19.3,17,11,7,0.636363636,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
34,34,33,2022/12/26,34-088,BRK,@,CLE,W (+8),1,36.45,10,18,0.556,5,8,0.625,7,8,0.875,1,8,9,5,0,0,4,6,32,23.2,10,10,5,0.5,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
35,35,34,2022/12/28,34-090,BRK,@,ATL,W (+1),1,36.45,8,17,0.471,1,4,0.25,9,9,1,1,15,16,8,0,2,4,3,26,24.3,9,13,7,0.538461538,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
36,36,35,2022/12/31,34-093,BRK,@,CHO,W (+17),1,29.8,9,15,0.6,1,6,0.167,4,4,1,0,5,5,4,0,0,3,3,23,16.2,21,9,8,0.888888889,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
37,37,36,2023/1/2,34-095,BRK,,SAS,W (+36),1,28.66666667,10,14,0.714,0,1,0,5,5,1,0,3,3,11,3,1,2,1,25,29.1,21,13,10,0.769230769,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
38,38,37,2023/1/4,34-097,BRK,@,CHI,L (-9),1,38.48333333,15,22,0.682,5,10,0.5,9,9,1,0,4,4,5,1,2,3,2,44,37.9,-3,12,10,0.833333333,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
39,39,38,2023/1/6,34-099,BRK,@,NOP,W (+6),1,37.86666667,9,26,0.346,4,7,0.571,11,11,1,1,9,10,3,0,2,4,1,33,20.9,20,19,5,0.263157895,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
40,40,39,2023/1/8,34-101,BRK,@,MIA,W (+1),1,30.15,5,11,0.455,1,3,0.333,6,7,0.857,1,4,5,2,1,0,4,1,17,10.8,-2,8,4,0.5,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
41,Rk,G,Date,Age,Tm,,Opp,,GS,0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
42,41,,2023/1/12,34-105,BRK,,BOS,L (-11),Inactive,0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
43,42,,2023/1/15,34-108,BRK,,OKC,L (-10),Inactive,0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
44,43,,2023/1/17,34-110,BRK,@,SAS,L (-8),Inactive,0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
45,44,,2023/1/19,34-112,BRK,@,PHO,L (-5),Inactive,0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
46,45,,2023/1/20,34-113,BRK,@,UTA,W (+11),Inactive,0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
47,46,,2023/1/22,34-115,BRK,@,GSW,W (+4),Inactive,0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862
