Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Collin Sexton,Shared Games with Jarred Vanderbilt,Shared Games with Jordan Clarkson,Shared Games with Kelly Olynyk,Shared Games with Lauri Markkanen,Shared Games with Leandro Bolmaro,Shared Games with Luka Šamanić,Shared Games with Malik Beasley,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Talen Horton-Tucker,Shared Games with Udoka Azubuike,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarred Vanderbilt,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kelly Olynyk,Lauri Markkanen,Leandro Bolmaro,Luka Šamanić,Malik Beasley,Micah Potter,Mike Conley,Nickeil Alexander-Walker,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Talen Horton-Tucker,Udoka Azubuike,Walker Kessler,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarred Vanderbilt,co_inf with Jarrell Brantley,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kelly Olynyk,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Luka Šamanić,co_inf with Malik Beasley,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Udoka Azubuike,co_inf with Walker Kessler,Damian Jones,Juan Toscano-Anderson,Malcolm Brogdon,co_inf with Damian Jones,co_inf with Juan Toscano-Anderson,co_inf with Malcolm Brogdon,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2023-03-20,29-002,UTA,,SAC,W (+8),0,31:13,7.0,12.0,.583,2.0,2.0,1.000,2,2.0,1.000,0.0,2.0,2.0,10.0,1.0,1.0,0.0,5.0,18.0,19.7,+11,10.0,5.0,0.5,22,20,22,22,22,3,7,22,2,17,12,6,12,12,22,6,19,48.0,1.0,78.0,4.0,18.0,61.0,68.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.4583333333333333,0.0,0.2564102564102564,0.0,0.0,0.360655737704918,0.3235294117647059,0.3333333333333333,0.2142857142857142,1.0,0.2716049382716049,0.2857142857142857,0.2537313432835821,0.2033898305084746,0.1016949152542373,0.2142857142857142,0.2307692307692307,0.3384615384615385,0.1666666666666666,0.2567567567567567,41.0,52.0,67.0,0.0,0.0,0.0,17,18.0,45.0,2.647058823529412,18.9,53.89999999999999,3.170588235294117
11,12,12,2023-03-22,29-004,UTA,,POR,L (-12),0,23:05,5.0,11.0,.455,0.0,1.0,.000,5,7.0,.714,0.0,6.0,6.0,3.0,1.0,0.0,1.0,1.0,15.0,12.0,-9,10.0,5.0,0.5,22,20,22,22,22,3,7,22,2,17,12,6,12,12,22,6,19,48.0,1.0,78.0,4.0,18.0,61.0,68.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.4583333333333333,0.0,0.2564102564102564,0.0,0.0,0.360655737704918,0.3235294117647059,0.3333333333333333,0.2142857142857142,1.0,0.2716049382716049,0.2857142857142857,0.2537313432835821,0.2033898305084746,0.1016949152542373,0.2142857142857142,0.2307692307692307,0.3384615384615385,0.1666666666666666,0.2567567567567567,41.0,52.0,67.0,0.0,0.0,0.0,17,6.0,83.0,4.882352941176471,9.999999999999998,88.7,5.2176470588235295
12,13,13,2023-03-24,29-006,UTA,,MIL,L (-28),0,27:14,1.0,8.0,.125,0.0,3.0,.000,0,0.0,,0.0,2.0,2.0,6.0,0.0,0.0,1.0,3.0,2.0,-0.6,-2,5.0,1.0,0.2,22,20,22,22,22,3,7,22,2,17,12,6,12,12,22,6,19,48.0,1.0,78.0,4.0,18.0,61.0,68.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.4583333333333333,0.0,0.2564102564102564,0.0,0.0,0.360655737704918,0.3235294117647059,0.3333333333333333,0.2142857142857142,1.0,0.2716049382716049,0.2857142857142857,0.2537313432835821,0.2033898305084746,0.1016949152542373,0.2142857142857142,0.2307692307692307,0.3384615384615385,0.1666666666666666,0.2567567567567567,41.0,52.0,67.0,0.0,0.0,0.0,17,1.0,45.0,2.647058823529412,-0.6000000000000005,61.49999999999999,3.617647058823529
13,14,14,2023-03-25,29-007,UTA,@,SAC,L (-8),0,25:46,5.0,11.0,.455,1.0,2.0,.500,1,3.0,.333,0.0,4.0,4.0,5.0,0.0,0.0,3.0,1.0,12.0,6.8,+2,9.0,4.0,0.4444444444444444,22,20,22,22,22,3,7,22,2,17,12,6,12,12,22,6,19,48.0,1.0,78.0,4.0,18.0,61.0,68.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.4583333333333333,0.0,0.2564102564102564,0.0,0.0,0.360655737704918,0.3235294117647059,0.3333333333333333,0.2142857142857142,1.0,0.2716049382716049,0.2857142857142857,0.2537313432835821,0.2033898305084746,0.1016949152542373,0.2142857142857142,0.2307692307692307,0.3384615384615385,0.1666666666666666,0.2567567567567567,41.0,52.0,67.0,0.0,0.0,0.0,17,4.0,48.0,2.823529411764706,6.4,59.99999999999999,3.529411764705882
14,15,15,2023-03-27,29-009,UTA,,PHO,L (-14),0,22:28,4.0,6.0,.667,0.0,0.0,,1,2.0,.500,1.0,2.0,3.0,5.0,0.0,0.0,0.0,1.0,9.0,10.4,-14,6.0,4.0,0.6666666666666666,22,20,22,22,22,3,7,22,2,17,12,6,12,12,22,6,19,48.0,1.0,78.0,4.0,18.0,61.0,68.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.4583333333333333,0.0,0.2564102564102564,0.0,0.0,0.360655737704918,0.3235294117647059,0.3333333333333333,0.2142857142857142,1.0,0.2716049382716049,0.2857142857142857,0.2537313432835821,0.2033898305084746,0.1016949152542373,0.2142857142857142,0.2307692307692307,0.3384615384615385,0.1666666666666666,0.2567567567567567,41.0,52.0,67.0,0.0,0.0,0.0,17,9.0,24.0,1.411764705882353,9.999999999999998,37.1,2.182352941176471
15,16,16,2023-03-29,29-011,UTA,@,SAS,W (+11),0,28:28,6.0,11.0,.545,1.0,1.0,1.000,4,5.0,.800,1.0,3.0,4.0,5.0,2.0,0.0,2.0,2.0,17.0,15.6,-2,10.0,5.0,0.5,22,20,22,22,22,3,7,22,2,17,12,6,12,12,22,6,19,48.0,1.0,78.0,4.0,18.0,61.0,68.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.4583333333333333,0.0,0.2564102564102564,0.0,0.0,0.360655737704918,0.3235294117647059,0.3333333333333333,0.2142857142857142,1.0,0.2716049382716049,0.2857142857142857,0.2537313432835821,0.2033898305084746,0.1016949152542373,0.2142857142857142,0.2307692307692307,0.3384615384615385,0.1666666666666666,0.2567567567567567,41.0,52.0,67.0,0.0,0.0,0.0,17,10.0,46.0,2.7058823529411766,13.999999999999996,54.7,3.2176470588235295
16,17,17,2023-03-31,29-013,UTA,@,BOS,L (-8),0,23:04,8.0,13.0,.615,0.0,0.0,,0,1.0,.000,0.0,4.0,4.0,4.0,0.0,2.0,2.0,2.0,16.0,12.3,-7,13.0,8.0,0.6153846153846154,22,20,22,22,22,3,7,22,2,17,12,6,12,12,22,6,19,48.0,1.0,78.0,4.0,18.0,61.0,68.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.4583333333333333,0.0,0.2564102564102564,0.0,0.0,0.360655737704918,0.3235294117647059,0.3333333333333333,0.2142857142857142,1.0,0.2716049382716049,0.2857142857142857,0.2537313432835821,0.2033898305084746,0.1016949152542373,0.2142857142857142,0.2307692307692307,0.3384615384615385,0.1666666666666666,0.2567567567567567,41.0,52.0,67.0,0.0,0.0,0.0,17,10.0,49.0,2.8823529411764706,12.299999999999995,56.9,3.347058823529412
17,18,18,2023-04-02,29-015,UTA,@,BRK,L (-1),0,27:48,5.0,7.0,.714,1.0,1.0,1.000,2,3.0,.667,0.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,13.0,12.0,+2,6.0,4.0,0.6666666666666666,22,20,22,22,22,3,7,22,2,17,12,6,12,12,22,6,19,48.0,1.0,78.0,4.0,18.0,61.0,68.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.4583333333333333,0.0,0.2564102564102564,0.0,0.0,0.360655737704918,0.3235294117647059,0.3333333333333333,0.2142857142857142,1.0,0.2716049382716049,0.2857142857142857,0.2537313432835821,0.2033898305084746,0.1016949152542373,0.2142857142857142,0.2307692307692307,0.3384615384615385,0.1666666666666666,0.2567567567567567,41.0,52.0,67.0,0.0,0.0,0.0,17,8.0,50.0,2.9411764705882355,11.2,55.69999999999999,3.2764705882352936
18,19,19,2023-04-04,29-017,UTA,,LAL,L (-2),0,26:35,4.0,8.0,.500,0.0,1.0,.000,2,2.0,1.000,0.0,4.0,4.0,4.0,1.0,0.0,1.0,5.0,10.0,8.0,+2,7.0,4.0,0.5714285714285714,22,20,22,22,22,3,7,22,2,17,12,6,12,12,22,6,19,48.0,1.0,78.0,4.0,18.0,61.0,68.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.4583333333333333,0.0,0.2564102564102564,0.0,0.0,0.360655737704918,0.3235294117647059,0.3333333333333333,0.2142857142857142,1.0,0.2716049382716049,0.2857142857142857,0.2537313432835821,0.2033898305084746,0.1016949152542373,0.2142857142857142,0.2307692307692307,0.3384615384615385,0.1666666666666666,0.2567567567567567,41.0,52.0,67.0,0.0,0.0,0.0,17,8.0,61.0,3.588235294117647,7.1999999999999975,74.79999999999998,4.399999999999999
19,20,20,2023-04-06,29-019,UTA,,OKC,L (-16),1,34:40,9.0,10.0,.900,2.0,2.0,1.000,2,2.0,1.000,0.0,7.0,7.0,8.0,1.0,0.0,3.0,4.0,22.0,22.7,+1,8.0,7.0,0.875,22,20,22,22,22,3,7,22,2,17,12,6,12,12,22,6,19,48.0,1.0,78.0,4.0,18.0,61.0,68.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.4583333333333333,0.0,0.2564102564102564,0.0,0.0,0.360655737704918,0.3235294117647059,0.3333333333333333,0.2142857142857142,1.0,0.2716049382716049,0.2857142857142857,0.2537313432835821,0.2033898305084746,0.1016949152542373,0.2142857142857142,0.2307692307692307,0.3384615384615385,0.1666666666666666,0.2567567567567567,41.0,52.0,67.0,0.0,0.0,0.0,17,23.0,63.0,3.7058823529411766,21.9,56.6,3.3294117647058825
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,22,20,22,22,22,3,7,22,2,17,12,6,12,12,22,6,19,48.0,1.0,78.0,4.0,18.0,61.0,68.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.4583333333333333,0.0,0.2564102564102564,0.0,0.0,0.360655737704918,0.3235294117647059,0.3333333333333333,0.2142857142857142,1.0,0.2716049382716049,0.2857142857142857,0.2537313432835821,0.2033898305084746,0.1016949152542373,0.2142857142857142,0.2307692307692307,0.3384615384615385,0.1666666666666666,0.2567567567567567,41.0,52.0,67.0,0.0,0.0,0.0,17,,0.0,0.0,0.0,0.0,0.0
21,21,21,2023-04-08,29-021,UTA,,DEN,W (+4),1,36:56,6.0,13.0,.462,0.0,0.0,,7,8.0,.875,1.0,7.0,8.0,14.0,3.0,1.0,3.0,2.0,19.0,24.4,+20,13.0,6.0,0.4615384615384615,22,20,22,22,22,3,7,22,2,17,12,6,12,12,22,6,19,48.0,1.0,78.0,4.0,18.0,61.0,68.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.4583333333333333,0.0,0.2564102564102564,0.0,0.0,0.360655737704918,0.3235294117647059,0.3333333333333333,0.2142857142857142,1.0,0.2716049382716049,0.2857142857142857,0.2537313432835821,0.2033898305084746,0.1016949152542373,0.2142857142857142,0.2307692307692307,0.3384615384615385,0.1666666666666666,0.2567567567567567,41.0,52.0,67.0,0.0,0.0,0.0,17,21.0,69.0,4.0588235294117645,21.6,68.0,4.0
22,22,22,2023-04-09,29-022,UTA,@,LAL,L (-11),1,40:16,11.0,18.0,.611,2.0,3.0,.667,2,2.0,1.000,0.0,10.0,10.0,8.0,1.0,0.0,3.0,2.0,26.0,23.6,-12,15.0,9.0,0.6,22,20,22,22,22,3,7,22,2,17,12,6,12,12,22,6,19,48.0,1.0,78.0,4.0,18.0,61.0,68.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.4583333333333333,0.0,0.2564102564102564,0.0,0.0,0.360655737704918,0.3235294117647059,0.3333333333333333,0.2142857142857142,1.0,0.2716049382716049,0.2857142857142857,0.2537313432835821,0.2033898305084746,0.1016949152542373,0.2142857142857142,0.2307692307692307,0.3384615384615385,0.1666666666666666,0.2567567567567567,41.0,52.0,67.0,0.0,0.0,0.0,17,22.0,50.0,2.9411764705882355,22.8,53.8,3.164705882352941
