Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Collin Sexton,Shared Games with Jarred Vanderbilt,Shared Games with Johnny Juzang,Shared Games with Jordan Clarkson,Shared Games with Kelly Olynyk,Shared Games with Kris Dunn,Shared Games with Lauri Markkanen,Shared Games with Leandro Bolmaro,Shared Games with Luka Šamanić,Shared Games with Malik Beasley,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Talen Horton-Tucker,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarred Vanderbilt,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kelly Olynyk,Kris Dunn,Lauri Markkanen,Leandro Bolmaro,Luka Šamanić,Malik Beasley,Micah Potter,Mike Conley,Nickeil Alexander-Walker,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Talen Horton-Tucker,Walker Kessler,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarred Vanderbilt,co_inf with Jarrell Brantley,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kelly Olynyk,co_inf with Kris Dunn,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Luka Šamanić,co_inf with Malik Beasley,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Walker Kessler,Shared Games with Damian Jones,Shared Games with Juan Toscano-Anderson,Damian Jones,Juan Toscano-Anderson,Malcolm Brogdon,co_inf with Damian Jones,co_inf with Juan Toscano-Anderson,co_inf with Malcolm Brogdon,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-06,23-050,UTA,@,LAC,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,63.0,3.15,0.0,72.69999999999999,3.6349999999999993
11,12,4,2022-11-07,23-051,UTA,,LAL,W (+23),0,4:17,2.0,2.0,1.000,0.0,0.0,,0,0.0,,2.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,4.0,6.5,+2,2.0,2.0,1.0,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,7.0,82.0,4.1,6.5,100.29999999999998,5.014999999999999
12,13,,2022-11-09,23-053,UTA,@,ATL,W (+6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,46.0,2.3,0.0,62.19999999999998,3.109999999999999
13,14,5,2022-11-12,23-056,UTA,@,WAS,L (-9),0,2:28,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,+3,1.0,1.0,1.0,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,1.0,51.0,2.55,0.9999999999999998,65.39999999999998,3.2699999999999987
14,15,,2022-11-13,23-057,UTA,@,PHI,L (-7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,33.0,1.65,0.0,48.1,2.4050000000000002
15,16,,2022-11-15,23-059,UTA,,NYK,L (-7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,56.0,2.8,0.0,68.69999999999999,3.4349999999999996
16,17,,2022-11-18,23-062,UTA,,PHO,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,59.0,2.95,0.0,69.2,3.46
17,18,,2022-11-19,23-063,UTA,@,POR,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,58.0,2.9,0.0,66.89999999999999,3.3449999999999998
18,19,,2022-11-21,23-065,UTA,@,LAC,L (-7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,69.0,3.45,0.0,81.99999999999997,4.099999999999999
19,20,6,2022-11-23,23-067,UTA,,DET,L (-9),0,1:17,0.0,0.0,,0.0,0.0,,0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-4,0.0,0.0,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,1.0,85.0,4.25,0.7,79.1,3.9549999999999996
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-25,23-069,UTA,@,GSW,L (-11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,90.0,4.5,0.0,89.60000000000002,4.480000000000001
22,22,,2022-11-26,23-070,UTA,@,PHO,L (-1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,72.0,3.6,0.0,76.60000000000001,3.8300000000000005
23,23,7,2022-11-28,23-072,UTA,,CHI,L (-7),0,9:25,1.0,1.0,1.000,0.0,0.0,,0,4.0,.000,1.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,1.6,+5,1.0,1.0,1.0,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,2.0,58.0,2.9,1.5999999999999996,65.1,3.255
24,24,8,2022-11-30,23-074,UTA,,LAC,W (+13),0,1:51,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-2,0.0,0.0,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,1.0,89.0,4.45,0.7,82.5,4.125
25,25,9,2022-12-02,23-076,UTA,,IND,W (+20),0,2:44,1.0,1.0,1.000,0.0,0.0,,2,2.0,1.000,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.7,+5,1.0,1.0,1.0,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,3.0,62.0,3.1,3.9,76.1,3.8049999999999997
