Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Collin Sexton,Shared Games with Jarred Vanderbilt,Shared Games with Johnny Juzang,Shared Games with Jordan Clarkson,Shared Games with Kelly Olynyk,Shared Games with Kris Dunn,Shared Games with Leandro Bolmaro,Shared Games with Luka Šamanić,Shared Games with Malik Beasley,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Talen Horton-Tucker,Shared Games with Udoka Azubuike,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarred Vanderbilt,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kelly Olynyk,Kris Dunn,Leandro Bolmaro,Luka Šamanić,Malik Beasley,Micah Potter,Mike Conley,Nickeil Alexander-Walker,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Talen Horton-Tucker,Udoka Azubuike,Walker Kessler,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarred Vanderbilt,co_inf with Jarrell Brantley,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kelly Olynyk,co_inf with Kris Dunn,co_inf with Leandro Bolmaro,co_inf with Luka Šamanić,co_inf with Malik Beasley,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Udoka Azubuike,co_inf with Walker Kessler,Shared Games with Damian Jones,Shared Games with Juan Toscano-Anderson,Damian Jones,Juan Toscano-Anderson,Malcolm Brogdon,co_inf with Damian Jones,co_inf with Juan Toscano-Anderson,co_inf with Malcolm Brogdon,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-06,25-168,UTA,@,LAC,W (+8),1,33:21,5.0,9.0,.556,1.0,3.0,.333,7,7.0,1.000,2.0,7.0,9.0,3.0,1.0,1.0,2.0,3.0,18.0,17.8,+8,6.0,4.0,0.6666666666666666,44,47,9,55,56,22,13,7,50,3,40,31,43,50,39,53,27,62,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9166666666666666,0.0,0.6025641025641025,0.0,0.5,0.9016393442622952,0.8235294117647058,1.0,0.9285714285714286,1.0,0.6172839506172839,0.4285714285714285,0.5970149253731343,0.5254237288135594,0.7288135593220338,0.8928571428571429,0.75,0.8153846153846154,0.75,0.8378378378378378,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,14.0,49.0,2.45,15.0,57.69999999999999,2.8849999999999993
11,12,12,2022-11-07,25-169,UTA,,LAL,W (+23),1,27:44,10.0,15.0,.667,1.0,4.0,.250,2,3.0,.667,1.0,2.0,3.0,2.0,0.0,1.0,1.0,2.0,23.0,17.7,+14,11.0,9.0,0.8181818181818182,44,47,9,55,56,22,13,7,50,3,40,31,43,50,39,53,27,62,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9166666666666666,0.0,0.6025641025641025,0.0,0.5,0.9016393442622952,0.8235294117647058,1.0,0.9285714285714286,1.0,0.6172839506172839,0.4285714285714285,0.5970149253731343,0.5254237288135594,0.7288135593220338,0.8928571428571429,0.75,0.8153846153846154,0.75,0.8378378378378378,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,10.0,79.0,3.95,16.9,89.89999999999999,4.494999999999999
12,13,13,2022-11-09,25-171,UTA,@,ATL,W (+6),1,31:21,9.0,18.0,.500,6.0,8.0,.750,8,8.0,1.000,2.0,6.0,8.0,0.0,0.0,1.0,3.0,2.0,32.0,23.1,-12,10.0,3.0,0.3,44,47,9,55,56,22,13,7,50,3,40,31,43,50,39,53,27,62,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9166666666666666,0.0,0.6025641025641025,0.0,0.5,0.9016393442622952,0.8235294117647058,1.0,0.9285714285714286,1.0,0.6172839506172839,0.4285714285714285,0.5970149253731343,0.5254237288135594,0.7288135593220338,0.8928571428571429,0.75,0.8153846153846154,0.75,0.8378378378378378,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,12.0,34.0,1.7,19.9,42.29999999999998,2.1149999999999993
13,14,14,2022-11-12,25-174,UTA,@,WAS,L (-9),1,31:13,8.0,14.0,.571,1.0,3.0,.333,0,0.0,,1.0,4.0,5.0,1.0,0.0,2.0,1.0,0.0,17.0,13.4,-23,11.0,7.0,0.6363636363636364,44,47,9,55,56,22,13,7,50,3,40,31,43,50,39,53,27,62,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9166666666666666,0.0,0.6025641025641025,0.0,0.5,0.9016393442622952,0.8235294117647058,1.0,0.9285714285714286,1.0,0.6172839506172839,0.4285714285714285,0.5970149253731343,0.5254237288135594,0.7288135593220338,0.8928571428571429,0.75,0.8153846153846154,0.75,0.8378378378378378,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,10.0,42.0,2.1,13.399999999999997,52.99999999999999,2.6499999999999995
14,15,15,2022-11-13,25-175,UTA,@,PHI,L (-7),1,34:08,6.0,13.0,.462,2.0,5.0,.400,1,4.0,.250,3.0,7.0,10.0,0.0,0.0,0.0,4.0,1.0,15.0,6.9,-15,8.0,4.0,0.5,44,47,9,55,56,22,13,7,50,3,40,31,43,50,39,53,27,62,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9166666666666666,0.0,0.6025641025641025,0.0,0.5,0.9016393442622952,0.8235294117647058,1.0,0.9285714285714286,1.0,0.6172839506172839,0.4285714285714285,0.5970149253731343,0.5254237288135594,0.7288135593220338,0.8928571428571429,0.75,0.8153846153846154,0.75,0.8378378378378378,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,4.0,29.0,1.45,6.500000000000002,41.6,2.08
15,16,16,2022-11-15,25-177,UTA,,NYK,L (-7),1,29:32,5.0,11.0,.455,2.0,5.0,.400,1,2.0,.500,4.0,2.0,6.0,4.0,0.0,2.0,2.0,4.0,13.0,10.9,+16,6.0,3.0,0.5,44,47,9,55,56,22,13,7,50,3,40,31,43,50,39,53,27,62,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9166666666666666,0.0,0.6025641025641025,0.0,0.5,0.9016393442622952,0.8235294117647058,1.0,0.9285714285714286,1.0,0.6172839506172839,0.4285714285714285,0.5970149253731343,0.5254237288135594,0.7288135593220338,0.8928571428571429,0.75,0.8153846153846154,0.75,0.8378378378378378,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,10.0,46.0,2.3,10.500000000000002,58.19999999999999,2.9099999999999993
16,17,17,2022-11-18,25-180,UTA,,PHO,W (+1),1,34:36,15.0,18.0,.833,2.0,3.0,.667,6,8.0,.750,1.0,5.0,6.0,3.0,1.0,0.0,1.0,2.0,38.0,34.1,+5,15.0,13.0,0.8666666666666667,44,47,9,55,56,22,13,7,50,3,40,31,43,50,39,53,27,62,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9166666666666666,0.0,0.6025641025641025,0.0,0.5,0.9016393442622952,0.8235294117647058,1.0,0.9285714285714286,1.0,0.6172839506172839,0.4285714285714285,0.5970149253731343,0.5254237288135594,0.7288135593220338,0.8928571428571429,0.75,0.8153846153846154,0.75,0.8378378378378378,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,21.0,38.0,1.9,31.700000000000003,37.49999999999999,1.8749999999999996
17,18,18,2022-11-19,25-181,UTA,@,POR,W (+5),1,32:28,7.0,13.0,.538,3.0,5.0,.600,6,8.0,.750,3.0,7.0,10.0,2.0,1.0,0.0,3.0,4.0,23.0,17.9,-2,8.0,4.0,0.5,44,47,9,55,56,22,13,7,50,3,40,31,43,50,39,53,27,62,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9166666666666666,0.0,0.6025641025641025,0.0,0.5,0.9016393442622952,0.8235294117647058,1.0,0.9285714285714286,1.0,0.6172839506172839,0.4285714285714285,0.5970149253731343,0.5254237288135594,0.7288135593220338,0.8928571428571429,0.75,0.8153846153846154,0.75,0.8378378378378378,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,12.0,46.0,2.3,15.499999999999996,51.39999999999999,2.5699999999999994
18,19,19,2022-11-21,25-183,UTA,@,LAC,L (-7),1,38:49,10.0,21.0,.476,1.0,5.0,.200,4,4.0,1.000,7.0,3.0,10.0,3.0,1.0,1.0,2.0,1.0,25.0,21.5,+14,16.0,9.0,0.5625,44,47,9,55,56,22,13,7,50,3,40,31,43,50,39,53,27,62,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9166666666666666,0.0,0.6025641025641025,0.0,0.5,0.9016393442622952,0.8235294117647058,1.0,0.9285714285714286,1.0,0.6172839506172839,0.4285714285714285,0.5970149253731343,0.5254237288135594,0.7288135593220338,0.8928571428571429,0.75,0.8153846153846154,0.75,0.8378378378378378,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,13.0,56.0,2.8,19.9,62.09999999999998,3.104999999999999
19,20,20,2022-11-23,25-185,UTA,,DET,L (-9),1,34:22,4.0,13.0,.308,3.0,7.0,.429,2,2.0,1.000,0.0,8.0,8.0,2.0,0.0,0.0,3.0,3.0,13.0,5.1,-3,6.0,1.0,0.1666666666666666,44,47,9,55,56,22,13,7,50,3,40,31,43,50,39,53,27,62,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9166666666666666,0.0,0.6025641025641025,0.0,0.5,0.9016393442622952,0.8235294117647058,1.0,0.9285714285714286,1.0,0.6172839506172839,0.4285714285714285,0.5970149253731343,0.5254237288135594,0.7288135593220338,0.8928571428571429,0.75,0.8153846153846154,0.75,0.8378378378378378,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,5.0,81.0,4.05,4.299999999999998,75.5,3.775
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,44,47,9,55,56,22,13,7,50,3,40,31,43,50,39,53,27,62,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9166666666666666,0.0,0.6025641025641025,0.0,0.5,0.9016393442622952,0.8235294117647058,1.0,0.9285714285714286,1.0,0.6172839506172839,0.4285714285714285,0.5970149253731343,0.5254237288135594,0.7288135593220338,0.8928571428571429,0.75,0.8153846153846154,0.75,0.8378378378378378,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,,0.0,0.0,0.0,0.0,0.0
21,21,21,2022-11-25,25-187,UTA,@,GSW,L (-11),1,37:12,9.0,17.0,.529,5.0,11.0,.455,1,1.0,1.000,3.0,3.0,6.0,1.0,0.0,0.0,4.0,3.0,24.0,14.2,+12,6.0,4.0,0.6666666666666666,44,47,9,55,56,22,13,7,50,3,40,31,43,50,39,53,27,62,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9166666666666666,0.0,0.6025641025641025,0.0,0.5,0.9016393442622952,0.8235294117647058,1.0,0.9285714285714286,1.0,0.6172839506172839,0.4285714285714285,0.5970149253731343,0.5254237288135594,0.7288135593220338,0.8928571428571429,0.75,0.8153846153846154,0.75,0.8378378378378378,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,9.0,81.0,4.05,13.800000000000004,75.80000000000001,3.7900000000000005
22,22,22,2022-11-26,25-188,UTA,@,PHO,L (-1),1,35:37,4.0,13.0,.308,2.0,8.0,.250,5,7.0,.714,1.0,9.0,10.0,2.0,0.0,0.0,2.0,3.0,15.0,8.3,+2,5.0,2.0,0.4,44,47,9,55,56,22,13,7,50,3,40,31,43,50,39,53,27,62,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9166666666666666,0.0,0.6025641025641025,0.0,0.5,0.9016393442622952,0.8235294117647058,1.0,0.9285714285714286,1.0,0.6172839506172839,0.4285714285714285,0.5970149253731343,0.5254237288135594,0.7288135593220338,0.8928571428571429,0.75,0.8153846153846154,0.75,0.8378378378378378,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,5.0,67.0,3.35,6.299999999999997,70.30000000000001,3.5150000000000006
23,23,23,2022-11-28,25-190,UTA,,CHI,L (-7),1,37:54,12.0,18.0,.667,7.0,11.0,.636,1,2.0,.500,2.0,7.0,9.0,1.0,0.0,0.0,2.0,1.0,32.0,25.6,-3,7.0,5.0,0.7142857142857143,44,47,9,55,56,22,13,7,50,3,40,31,43,50,39,53,27,62,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9166666666666666,0.0,0.6025641025641025,0.0,0.5,0.9016393442622952,0.8235294117647058,1.0,0.9285714285714286,1.0,0.6172839506172839,0.4285714285714285,0.5970149253731343,0.5254237288135594,0.7288135593220338,0.8928571428571429,0.75,0.8153846153846154,0.75,0.8378378378378378,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,20.0,40.0,2.0,25.2,41.49999999999999,2.0749999999999997
24,24,24,2022-11-30,25-192,UTA,,LAC,W (+13),1,36:21,7.0,11.0,.636,4.0,7.0,.571,5,5.0,1.000,1.0,8.0,9.0,2.0,0.0,0.0,1.0,3.0,23.0,20.4,+6,4.0,3.0,0.75,44,47,9,55,56,22,13,7,50,3,40,31,43,50,39,53,27,62,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9166666666666666,0.0,0.6025641025641025,0.0,0.5,0.9016393442622952,0.8235294117647058,1.0,0.9285714285714286,1.0,0.6172839506172839,0.4285714285714285,0.5970149253731343,0.5254237288135594,0.7288135593220338,0.8928571428571429,0.75,0.8153846153846154,0.75,0.8378378378378378,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,17.0,73.0,3.65,18.4,64.80000000000001,3.2400000000000007
25,25,25,2022-12-02,25-194,UTA,,IND,W (+20),1,33:13,8.0,15.0,.533,5.0,9.0,.556,3,4.0,.750,2.0,11.0,13.0,3.0,1.0,0.0,1.0,1.0,24.0,22.7,+19,6.0,3.0,0.5,44,47,9,55,56,22,13,7,50,3,40,31,43,50,39,53,27,62,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9166666666666666,0.0,0.6025641025641025,0.0,0.5,0.9016393442622952,0.8235294117647058,1.0,0.9285714285714286,1.0,0.6172839506172839,0.4285714285714285,0.5970149253731343,0.5254237288135594,0.7288135593220338,0.8928571428571429,0.75,0.8153846153846154,0.75,0.8378378378378378,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,21.0,44.0,2.2,21.5,58.5,2.925
