Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Jordan Clarkson,Shared Games with Kelly Olynyk,Shared Games with Lauri Markkanen,Shared Games with Micah Potter,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Talen Horton-Tucker,Shared Games with Udoka Azubuike,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarred Vanderbilt,Jarrell Brantley,Jordan Clarkson,Kelly Olynyk,Kris Dunn,Lauri Markkanen,Leandro Bolmaro,Luka Šamanić,Malik Beasley,Micah Potter,Mike Conley,Nickeil Alexander-Walker,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Talen Horton-Tucker,Udoka Azubuike,Walker Kessler,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarred Vanderbilt,co_inf with Jarrell Brantley,co_inf with Jordan Clarkson,co_inf with Kelly Olynyk,co_inf with Kris Dunn,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Luka Šamanić,co_inf with Malik Beasley,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Udoka Azubuike,co_inf with Walker Kessler,Shared Games with Damian Jones,Shared Games with Juan Toscano-Anderson,Damian Jones,Juan Toscano-Anderson,Malcolm Brogdon,co_inf with Damian Jones,co_inf with Juan Toscano-Anderson,co_inf with Malcolm Brogdon,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-06,21-234,UTA,@,LAC,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,16,9,4,18,10,17,15,9,14,48.0,1.0,78.0,4.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.0,0.0,0.0,0.0163934426229508,0.2352941176470588,0.0,0.1363636363636363,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.3050847457627119,0.1785714285714285,0.3269230769230769,0.2307692307692307,0.25,0.1891891891891892,15,16,41.0,52.0,67.0,0.3658536585365853,0.3076923076923077,0.0,12,,63.0,5.25,0.0,42.2,3.516666666666667
11,12,,2022-11-07,21-235,UTA,,LAL,W (+23),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,16,9,4,18,10,17,15,9,14,48.0,1.0,78.0,4.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.0,0.0,0.0,0.0163934426229508,0.2352941176470588,0.0,0.1363636363636363,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.3050847457627119,0.1785714285714285,0.3269230769230769,0.2307692307692307,0.25,0.1891891891891892,15,16,41.0,52.0,67.0,0.3658536585365853,0.3076923076923077,0.0,12,,89.0,7.416666666666667,0.0,84.6,7.05
12,13,,2022-11-09,21-237,UTA,@,ATL,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,16,9,4,18,10,17,15,9,14,48.0,1.0,78.0,4.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.0,0.0,0.0,0.0163934426229508,0.2352941176470588,0.0,0.1363636363636363,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.3050847457627119,0.1785714285714285,0.3269230769230769,0.2307692307692307,0.25,0.1891891891891892,15,16,41.0,52.0,67.0,0.3658536585365853,0.3076923076923077,0.0,12,,46.0,3.8333333333333335,0.0,64.79999999999998,5.399999999999999
13,14,,2022-11-12,21-240,UTA,@,WAS,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,16,9,4,18,10,17,15,9,14,48.0,1.0,78.0,4.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.0,0.0,0.0,0.0163934426229508,0.2352941176470588,0.0,0.1363636363636363,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.3050847457627119,0.1785714285714285,0.3269230769230769,0.2307692307692307,0.25,0.1891891891891892,15,16,41.0,52.0,67.0,0.3658536585365853,0.3076923076923077,0.0,12,,52.0,4.333333333333333,0.0,48.7,4.058333333333334
14,15,,2022-11-13,21-241,UTA,@,PHI,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,16,9,4,18,10,17,15,9,14,48.0,1.0,78.0,4.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.0,0.0,0.0,0.0163934426229508,0.2352941176470588,0.0,0.1363636363636363,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.3050847457627119,0.1785714285714285,0.3269230769230769,0.2307692307692307,0.25,0.1891891891891892,15,16,41.0,52.0,67.0,0.3658536585365853,0.3076923076923077,0.0,12,,33.0,2.75,0.0,32.89999999999999,2.741666666666666
15,16,,2022-11-15,21-243,UTA,,NYK,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,16,9,4,18,10,17,15,9,14,48.0,1.0,78.0,4.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.0,0.0,0.0,0.0163934426229508,0.2352941176470588,0.0,0.1363636363636363,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.3050847457627119,0.1785714285714285,0.3269230769230769,0.2307692307692307,0.25,0.1891891891891892,15,16,41.0,52.0,67.0,0.3658536585365853,0.3076923076923077,0.0,12,,56.0,4.666666666666667,0.0,53.89999999999999,4.491666666666666
16,17,,2022-11-18,21-246,UTA,,PHO,W (+1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,16,9,4,18,10,17,15,9,14,48.0,1.0,78.0,4.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.0,0.0,0.0,0.0163934426229508,0.2352941176470588,0.0,0.1363636363636363,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.3050847457627119,0.1785714285714285,0.3269230769230769,0.2307692307692307,0.25,0.1891891891891892,15,16,41.0,52.0,67.0,0.3658536585365853,0.3076923076923077,0.0,12,,59.0,4.916666666666667,0.0,52.4,4.366666666666666
17,18,,2022-11-19,21-247,UTA,@,POR,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,16,9,4,18,10,17,15,9,14,48.0,1.0,78.0,4.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.0,0.0,0.0,0.0163934426229508,0.2352941176470588,0.0,0.1363636363636363,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.3050847457627119,0.1785714285714285,0.3269230769230769,0.2307692307692307,0.25,0.1891891891891892,15,16,41.0,52.0,67.0,0.3658536585365853,0.3076923076923077,0.0,12,,58.0,4.833333333333333,0.0,48.5,4.041666666666667
18,19,,2022-11-21,21-249,UTA,@,LAC,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,16,9,4,18,10,17,15,9,14,48.0,1.0,78.0,4.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.0,0.0,0.0,0.0163934426229508,0.2352941176470588,0.0,0.1363636363636363,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.3050847457627119,0.1785714285714285,0.3269230769230769,0.2307692307692307,0.25,0.1891891891891892,15,16,41.0,52.0,67.0,0.3658536585365853,0.3076923076923077,0.0,12,,69.0,5.75,0.0,71.39999999999999,5.949999999999999
19,20,,2022-11-23,21-251,UTA,,DET,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,16,9,4,18,10,17,15,9,14,48.0,1.0,78.0,4.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.0,0.0,0.0,0.0163934426229508,0.2352941176470588,0.0,0.1363636363636363,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.3050847457627119,0.1785714285714285,0.3269230769230769,0.2307692307692307,0.25,0.1891891891891892,15,16,41.0,52.0,67.0,0.3658536585365853,0.3076923076923077,0.0,12,,86.0,7.166666666666667,0.0,42.9,3.5749999999999997
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,1,16,9,4,18,10,17,15,9,14,48.0,1.0,78.0,4.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.0,0.0,0.0,0.0163934426229508,0.2352941176470588,0.0,0.1363636363636363,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.3050847457627119,0.1785714285714285,0.3269230769230769,0.2307692307692307,0.25,0.1891891891891892,15,16,41.0,52.0,67.0,0.3658536585365853,0.3076923076923077,0.0,12,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-25,21-253,UTA,@,GSW,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,16,9,4,18,10,17,15,9,14,48.0,1.0,78.0,4.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.0,0.0,0.0,0.0163934426229508,0.2352941176470588,0.0,0.1363636363636363,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.3050847457627119,0.1785714285714285,0.3269230769230769,0.2307692307692307,0.25,0.1891891891891892,15,16,41.0,52.0,67.0,0.3658536585365853,0.3076923076923077,0.0,12,,90.0,7.5,0.0,55.2,4.6000000000000005
22,22,,2022-11-26,21-254,UTA,@,PHO,L (-1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,16,9,4,18,10,17,15,9,14,48.0,1.0,78.0,4.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.0,0.0,0.0,0.0163934426229508,0.2352941176470588,0.0,0.1363636363636363,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.3050847457627119,0.1785714285714285,0.3269230769230769,0.2307692307692307,0.25,0.1891891891891892,15,16,41.0,52.0,67.0,0.3658536585365853,0.3076923076923077,0.0,12,,72.0,6.0,0.0,38.6,3.216666666666667
23,23,,2022-11-28,21-256,UTA,,CHI,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,16,9,4,18,10,17,15,9,14,48.0,1.0,78.0,4.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.0,0.0,0.0,0.0163934426229508,0.2352941176470588,0.0,0.1363636363636363,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.3050847457627119,0.1785714285714285,0.3269230769230769,0.2307692307692307,0.25,0.1891891891891892,15,16,41.0,52.0,67.0,0.3658536585365853,0.3076923076923077,0.0,12,,60.0,5.0,0.0,52.7,4.391666666666667
24,24,,2022-11-30,21-258,UTA,,LAC,W (+13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,16,9,4,18,10,17,15,9,14,48.0,1.0,78.0,4.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.0,0.0,0.0,0.0163934426229508,0.2352941176470588,0.0,0.1363636363636363,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.3050847457627119,0.1785714285714285,0.3269230769230769,0.2307692307692307,0.25,0.1891891891891892,15,16,41.0,52.0,67.0,0.3658536585365853,0.3076923076923077,0.0,12,,90.0,7.5,0.0,70.60000000000001,5.883333333333334
25,25,,2022-12-02,21-260,UTA,,IND,W (+20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,16,9,4,18,10,17,15,9,14,48.0,1.0,78.0,4.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.0,0.0,0.0,0.0163934426229508,0.2352941176470588,0.0,0.1363636363636363,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.3050847457627119,0.1785714285714285,0.3269230769230769,0.2307692307692307,0.25,0.1891891891891892,15,16,41.0,52.0,67.0,0.3658536585365853,0.3076923076923077,0.0,12,,65.0,5.416666666666667,0.0,70.9,5.908333333333334
26,26,,2022-12-03,21-261,UTA,,POR,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,16,9,4,18,10,17,15,9,14,48.0,1.0,78.0,4.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.0,0.0,0.0,0.0163934426229508,0.2352941176470588,0.0,0.1363636363636363,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.3050847457627119,0.1785714285714285,0.3269230769230769,0.2307692307692307,0.25,0.1891891891891892,15,16,41.0,52.0,67.0,0.3658536585365853,0.3076923076923077,0.0,12,,60.0,5.0,0.0,49.0,4.083333333333333
27,27,,2022-12-07,21-265,UTA,,GSW,W (+1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,16,9,4,18,10,17,15,9,14,48.0,1.0,78.0,4.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.0,0.0,0.0,0.0163934426229508,0.2352941176470588,0.0,0.1363636363636363,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.3050847457627119,0.1785714285714285,0.3269230769230769,0.2307692307692307,0.25,0.1891891891891892,15,16,41.0,52.0,67.0,0.3658536585365853,0.3076923076923077,0.0,12,,62.0,5.166666666666667,0.0,59.5,4.958333333333333
28,28,,2022-12-09,21-267,UTA,,MIN,L (-10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,16,9,4,18,10,17,15,9,14,48.0,1.0,78.0,4.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.0,0.0,0.0,0.0163934426229508,0.2352941176470588,0.0,0.1363636363636363,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.3050847457627119,0.1785714285714285,0.3269230769230769,0.2307692307692307,0.25,0.1891891891891892,15,16,41.0,52.0,67.0,0.3658536585365853,0.3076923076923077,0.0,12,,23.0,1.9166666666666667,0.0,21.9,1.825
