Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with De'Anthony Melton,Shared Games with Furkan Korkmaz,Shared Games with Georges Niang,Shared Games with Jaden Springer,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Matisse Thybulle,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Shake Milton,Shared Games with Tobias Harris,Danuel House Jr.,De'Anthony Melton,Furkan Korkmaz,Georges Niang,Jaden Springer,James Harden,Joel Embiid,Julian Champagnie,Louis King,Matisse Thybulle,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Paul Reed,Saben Lee,Shake Milton,Tobias Harris,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with Jaden Springer,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Julian Champagnie,co_inf with Louis King,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Saben Lee,co_inf with Shake Milton,co_inf with Tobias Harris,co_inf with Tyrese Maxey,Dewayne Dedmon,Grant Williams,Jalen McDaniels,co_inf with Dewayne Dedmon,co_inf with Grant Williams,co_inf with Jalen McDaniels,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2023-03-12,24-065,PHI,,WAS,W (+19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,78.0,6.5,0.0,63.79999999999999,5.3166666666666655
11,12,,2023-03-15,24-068,PHI,@,CLE,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,59.0,4.916666666666667,0.0,40.8,3.4
12,13,,2023-03-17,24-070,PHI,@,CHO,W (+39),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,103.0,8.583333333333334,0.0,62.80000000000001,5.233333333333334
13,14,,2023-03-18,24-071,PHI,@,IND,W (+20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,82.0,6.833333333333333,0.0,65.2,5.433333333333334
14,15,,2023-03-20,24-073,PHI,,CHI,L (-4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,80.0,6.666666666666667,0.0,51.0,4.25
15,16,,2023-03-22,24-075,PHI,@,CHI,W (+25),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,66.0,5.5,0.0,61.6,5.133333333333334
16,17,,2023-03-24,24-077,PHI,@,GSW,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,89.0,7.416666666666667,0.0,89.30000000000001,7.441666666666667
17,18,,2023-03-25,24-078,PHI,@,PHO,L (-20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,68.0,5.666666666666667,0.0,64.00000000000001,5.333333333333335
18,19,,2023-03-27,24-080,PHI,@,DEN,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,84.0,7.0,0.0,79.0,6.583333333333333
19,20,,2023-03-29,24-082,PHI,,DAL,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,122.0,10.166666666666666,0.0,104.3,8.691666666666666
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,0.0,0.0,0.0,0.0,0.0
21,21,,2023-03-31,24-084,PHI,,TOR,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,89.0,7.416666666666667,0.0,71.7,5.9750000000000005
22,22,,2023-04-02,24-086,PHI,@,MIL,L (-13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,41.0,3.4166666666666665,0.0,41.7,3.475
23,23,,2023-04-04,24-088,PHI,,BOS,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,91.0,7.583333333333333,0.0,73.89999999999999,6.158333333333332
24,24,,2023-04-06,24-090,PHI,,MIA,L (-28),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,80.0,6.666666666666667,0.0,74.0,6.166666666666667
25,25,1,2023-04-07,24-091,PHI,@,ATL,W (+5),0,7:49,1.0,3.0,.333,1.0,2.0,.500,2,2.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,1.6,-11,1.0,0.0,0.0,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,-1.0,103.0,8.583333333333334,0.8000000000000007,92.0,7.666666666666667
26,26,2,2023-04-09,24-093,PHI,@,BRK,W (+29),0,33:15,8.0,17.0,.471,3.0,9.0,.333,1,3.0,.333,3.0,6.0,9.0,9.0,0.0,0.0,1.0,3.0,20.0,18.5,+29,8.0,5.0,0.625,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,17.0,105.0,8.75,18.1,102.5,8.541666666666666
