Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anfernee Simons,Shared Games with Damian Lillard,Shared Games with Drew Eubanks,Shared Games with Gary Payton II,Shared Games with Greg Brown III,Shared Games with Jabari Walker,Shared Games with Jeenathan Williams,Shared Games with Jerami Grant,Shared Games with John Butler,Shared Games with Josh Hart,Shared Games with Justin Minaya,Shared Games with Justise Winslow,Shared Games with Jusuf Nurkić,Shared Games with Nassir Little,Shared Games with Shaedon Sharpe,Shared Games with Skylar Mays,Shared Games with Trendon Watford,Anfernee Simons,Chance Comanche,Damian Lillard,Drew Eubanks,Gary Payton II,Greg Brown III,Jabari Walker,Jeenathan Williams,Jerami Grant,John Butler,Josh Hart,Justin Minaya,Justise Winslow,Jusuf Nurkić,Nassir Little,Olivier Sarr,Shaedon Sharpe,Shaquille Harrison,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Chance Comanche,co_inf with Damian Lillard,co_inf with Drew Eubanks,co_inf with Gary Payton II,co_inf with Greg Brown III,co_inf with Jabari Walker,co_inf with Jeenathan Williams,co_inf with Jerami Grant,co_inf with John Butler,co_inf with Josh Hart,co_inf with Justin Minaya,co_inf with Justise Winslow,co_inf with Jusuf Nurkić,co_inf with Nassir Little,co_inf with Olivier Sarr,co_inf with Shaedon Sharpe,co_inf with Shaquille Harrison,co_inf with Skylar Mays,co_inf with Trendon Watford,Shared Games with Kevin Knox,Shared Games with Cam Reddish,Shared Games with Matisse Thybulle,Shared Games with Ryan Arcidiacono,Cam Reddish,Jayson Tatum,Kevin Knox,Matisse Thybulle,Ryan Arcidiacono,co_inf with Kevin Knox,co_inf with Cam Reddish,co_inf with Jayson Tatum,co_inf with Matisse Thybulle,co_inf with Ryan Arcidiacono,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2022-11-09,20-244,POR,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30,31,40,7,12,34,2,31,5,24,1,12,27,24,40,3,31,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,54.0,9.0,80.0,5.0,6,62.0,0.4838709677419355,0.0,0.5344827586206896,0.5128205128205128,0.3181818181818182,0.75,0.6071428571428571,0.4,0.492063492063492,0.2631578947368421,0.3157894736842105,0.25,0.4137931034482758,0.5192307692307693,0.4444444444444444,0.0,0.5,0.0,0.5,0.5,10,14,15,7,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.35,0.0,0.2112676056338028,0.35,21,,73.0,3.4761904761904763,0.0,72.8,3.4666666666666663,9.0,-0.5,-5.4,-3.8,-1.6,0.0203247661038821,0.482,0.455,0.23,-0.4,-0.7,W (+10),W (+10)
12.0,,2022-11-10,20-245,POR,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30,31,40,7,12,34,2,31,5,24,1,12,27,24,40,3,31,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,54.0,9.0,80.0,5.0,6,62.0,0.4838709677419355,0.0,0.5344827586206896,0.5128205128205128,0.3181818181818182,0.75,0.6071428571428571,0.4,0.492063492063492,0.2631578947368421,0.3157894736842105,0.25,0.4137931034482758,0.5192307692307693,0.4444444444444444,0.0,0.5,0.0,0.5,0.5,10,14,15,7,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.35,0.0,0.2112676056338028,0.35,21,,69.0,3.2857142857142856,0.0,66.89999999999999,3.185714285714285,9.0,-0.5,-5.4,-3.8,-1.6,0.0203247661038821,0.482,0.455,0.23,-0.4,-0.7,W (+11),W (+11)
13.0,,2022-11-12,20-247,POR,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30,31,40,7,12,34,2,31,5,24,1,12,27,24,40,3,31,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,54.0,9.0,80.0,5.0,6,62.0,0.4838709677419355,0.0,0.5344827586206896,0.5128205128205128,0.3181818181818182,0.75,0.6071428571428571,0.4,0.492063492063492,0.2631578947368421,0.3157894736842105,0.25,0.4137931034482758,0.5192307692307693,0.4444444444444444,0.0,0.5,0.0,0.5,0.5,10,14,15,7,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.35,0.0,0.2112676056338028,0.35,21,,90.0,4.285714285714286,0.0,100.5,4.785714285714286,9.0,-0.5,-5.4,-3.8,-1.6,0.0203247661038821,0.482,0.455,0.23,-0.4,-0.7,L (-5),L (-5)
14.0,,2022-11-15,20-250,POR,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30,31,40,7,12,34,2,31,5,24,1,12,27,24,40,3,31,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,54.0,9.0,80.0,5.0,6,62.0,0.4838709677419355,0.0,0.5344827586206896,0.5128205128205128,0.3181818181818182,0.75,0.6071428571428571,0.4,0.492063492063492,0.2631578947368421,0.3157894736842105,0.25,0.4137931034482758,0.5192307692307693,0.4444444444444444,0.0,0.5,0.0,0.5,0.5,10,14,15,7,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.35,0.0,0.2112676056338028,0.35,21,,81.0,3.857142857142857,0.0,95.4,4.542857142857143,9.0,-0.5,-5.4,-3.8,-1.6,0.0203247661038821,0.482,0.455,0.23,-0.4,-0.7,W (+7),W (+7)
15.0,,2022-11-17,20-252,POR,BRK,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,31,40,7,12,34,2,31,5,24,1,12,27,24,40,3,31,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,54.0,9.0,80.0,5.0,6,62.0,0.4838709677419355,0.0,0.5344827586206896,0.5128205128205128,0.3181818181818182,0.75,0.6071428571428571,0.4,0.492063492063492,0.2631578947368421,0.3157894736842105,0.25,0.4137931034482758,0.5192307692307693,0.4444444444444444,0.0,0.5,0.0,0.5,0.5,10,14,15,7,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.35,0.0,0.2112676056338028,0.35,21,,58.0,2.761904761904762,0.0,69.5,3.3095238095238093,9.0,-0.5,-5.4,-3.8,-1.6,0.0203247661038821,0.482,0.455,0.23,-0.4,-0.7,L (-2),L (-2)
16.0,,2022-11-19,20-254,POR,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30,31,40,7,12,34,2,31,5,24,1,12,27,24,40,3,31,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,54.0,9.0,80.0,5.0,6,62.0,0.4838709677419355,0.0,0.5344827586206896,0.5128205128205128,0.3181818181818182,0.75,0.6071428571428571,0.4,0.492063492063492,0.2631578947368421,0.3157894736842105,0.25,0.4137931034482758,0.5192307692307693,0.4444444444444444,0.0,0.5,0.0,0.5,0.5,10,14,15,7,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.35,0.0,0.2112676056338028,0.35,21,,77.0,3.6666666666666665,0.0,81.9,3.9,9.0,-0.5,-5.4,-3.8,-1.6,0.0203247661038821,0.482,0.455,0.23,-0.4,-0.7,L (-5),L (-5)
17.0,,2022-11-21,20-256,POR,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30,31,40,7,12,34,2,31,5,24,1,12,27,24,40,3,31,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,54.0,9.0,80.0,5.0,6,62.0,0.4838709677419355,0.0,0.5344827586206896,0.5128205128205128,0.3181818181818182,0.75,0.6071428571428571,0.4,0.492063492063492,0.2631578947368421,0.3157894736842105,0.25,0.4137931034482758,0.5192307692307693,0.4444444444444444,0.0,0.5,0.0,0.5,0.5,10,14,15,7,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.35,0.0,0.2112676056338028,0.35,21,,50.0,2.380952380952381,0.0,55.6,2.6476190476190475,9.0,-0.5,-5.4,-3.8,-1.6,0.0203247661038821,0.482,0.455,0.23,-0.4,-0.7,L (-8),L (-8)
18.0,,2022-11-23,20-258,POR,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30,31,40,7,12,34,2,31,5,24,1,12,27,24,40,3,31,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,54.0,9.0,80.0,5.0,6,62.0,0.4838709677419355,0.0,0.5344827586206896,0.5128205128205128,0.3181818181818182,0.75,0.6071428571428571,0.4,0.492063492063492,0.2631578947368421,0.3157894736842105,0.25,0.4137931034482758,0.5192307692307693,0.4444444444444444,0.0,0.5,0.0,0.5,0.5,10,14,15,7,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.35,0.0,0.2112676056338028,0.35,21,,76.0,3.619047619047619,0.0,70.69999999999999,3.3666666666666663,9.0,-0.5,-5.4,-3.8,-1.6,0.0203247661038821,0.482,0.455,0.23,-0.4,-0.7,L (-18),L (-18)
19.0,,2022-11-25,20-260,POR,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30,31,40,7,12,34,2,31,5,24,1,12,27,24,40,3,31,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,54.0,9.0,80.0,5.0,6,62.0,0.4838709677419355,0.0,0.5344827586206896,0.5128205128205128,0.3181818181818182,0.75,0.6071428571428571,0.4,0.492063492063492,0.2631578947368421,0.3157894736842105,0.25,0.4137931034482758,0.5192307692307693,0.4444444444444444,0.0,0.5,0.0,0.5,0.5,10,14,15,7,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.35,0.0,0.2112676056338028,0.35,21,,71.0,3.380952380952381,0.0,91.7,4.366666666666667,9.0,-0.5,-5.4,-3.8,-1.6,0.0203247661038821,0.482,0.455,0.23,-0.4,-0.7,W (+3),W (+3)
20.0,,2022-11-27,20-262,POR,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30,31,40,7,12,34,2,31,5,24,1,12,27,24,40,3,31,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,54.0,9.0,80.0,5.0,6,62.0,0.4838709677419355,0.0,0.5344827586206896,0.5128205128205128,0.3181818181818182,0.75,0.6071428571428571,0.4,0.492063492063492,0.2631578947368421,0.3157894736842105,0.25,0.4137931034482758,0.5192307692307693,0.4444444444444444,0.0,0.5,0.0,0.5,0.5,10,14,15,7,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.35,0.0,0.2112676056338028,0.35,21,,66.0,3.142857142857143,0.0,84.39999999999999,4.019047619047619,9.0,-0.5,-5.4,-3.8,-1.6,0.0203247661038821,0.482,0.455,0.23,-0.4,-0.7,L (-14),L (-14)
21.0,,2022-11-29,20-264,POR,LAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30,31,40,7,12,34,2,31,5,24,1,12,27,24,40,3,31,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,54.0,9.0,80.0,5.0,6,62.0,0.4838709677419355,0.0,0.5344827586206896,0.5128205128205128,0.3181818181818182,0.75,0.6071428571428571,0.4,0.492063492063492,0.2631578947368421,0.3157894736842105,0.25,0.4137931034482758,0.5192307692307693,0.4444444444444444,0.0,0.5,0.0,0.5,0.5,10,14,15,7,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.35,0.0,0.2112676056338028,0.35,21,,87.0,4.142857142857143,0.0,85.3,4.061904761904762,9.0,-0.5,-5.4,-3.8,-1.6,0.0203247661038821,0.482,0.455,0.23,-0.4,-0.7,,
22.0,,2022-11-30,20-265,POR,LAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30,31,40,7,12,34,2,31,5,24,1,12,27,24,40,3,31,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,54.0,9.0,80.0,5.0,6,62.0,0.4838709677419355,0.0,0.5344827586206896,0.5128205128205128,0.3181818181818182,0.75,0.6071428571428571,0.4,0.492063492063492,0.2631578947368421,0.3157894736842105,0.25,0.4137931034482758,0.5192307692307693,0.4444444444444444,0.0,0.5,0.0,0.5,0.5,10,14,15,7,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.35,0.0,0.2112676056338028,0.35,21,,92.0,4.380952380952381,0.0,77.00000000000001,3.6666666666666674,9.0,-0.5,-5.4,-3.8,-1.6,0.0203247661038821,0.482,0.455,0.23,-0.4,-0.7,L (-6),L (-6)
23.0,,2022-12-03,20-268,POR,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30,31,40,7,12,34,2,31,5,24,1,12,27,24,40,3,31,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,54.0,9.0,80.0,5.0,6,62.0,0.4838709677419355,0.0,0.5344827586206896,0.5128205128205128,0.3181818181818182,0.75,0.6071428571428571,0.4,0.492063492063492,0.2631578947368421,0.3157894736842105,0.25,0.4137931034482758,0.5192307692307693,0.4444444444444444,0.0,0.5,0.0,0.5,0.5,10,14,15,7,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.35,0.0,0.2112676056338028,0.35,21,,63.0,3.0,0.0,80.10000000000001,3.8142857142857145,9.0,-0.5,-5.4,-3.8,-1.6,0.0203247661038821,0.482,0.455,0.23,-0.4,-0.7,L (-19),L (-19)
