Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anfernee Simons,Shared Games with Chance Comanche,Shared Games with Damian Lillard,Shared Games with Gary Payton II,Shared Games with Greg Brown III,Shared Games with Jabari Walker,Shared Games with Jeenathan Williams,Shared Games with Jerami Grant,Shared Games with John Butler,Shared Games with Josh Hart,Shared Games with Justin Minaya,Shared Games with Justise Winslow,Shared Games with Jusuf Nurkić,Shared Games with Keon Johnson,Shared Games with Nassir Little,Shared Games with Shaedon Sharpe,Shared Games with Skylar Mays,Shared Games with Trendon Watford,Anfernee Simons,Chance Comanche,Damian Lillard,Gary Payton II,Greg Brown III,Jabari Walker,Jeenathan Williams,Jerami Grant,John Butler,Josh Hart,Justin Minaya,Justise Winslow,Jusuf Nurkić,Keon Johnson,Nassir Little,Olivier Sarr,Shaedon Sharpe,Shaquille Harrison,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Chance Comanche,co_inf with Damian Lillard,co_inf with Gary Payton II,co_inf with Greg Brown III,co_inf with Jabari Walker,co_inf with Jeenathan Williams,co_inf with Jerami Grant,co_inf with John Butler,co_inf with Josh Hart,co_inf with Justin Minaya,co_inf with Justise Winslow,co_inf with Jusuf Nurkić,co_inf with Keon Johnson,co_inf with Nassir Little,co_inf with Olivier Sarr,co_inf with Shaedon Sharpe,co_inf with Shaquille Harrison,co_inf with Skylar Mays,co_inf with Trendon Watford,Shared Games with Kevin Knox,Shared Games with Cam Reddish,Shared Games with Matisse Thybulle,Shared Games with Ryan Arcidiacono,Cam Reddish,Jayson Tatum,Kevin Knox,Matisse Thybulle,Ryan Arcidiacono,co_inf with Kevin Knox,co_inf with Cam Reddish,co_inf with Jayson Tatum,co_inf with Matisse Thybulle,co_inf with Ryan Arcidiacono,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
11.0,11.0,2022-11-09,25-281,POR,CHO,1,22.3,6.0,7.0,.857,0.0,0.0,,2,4.0,.500,3.0,5.0,8.0,2.0,0.0,3.0,3.0,2.0,14.0,14.0,-6,7.0,6.0,0.8571428571428571,60,1,58,15,15,53,5,61,18,50,4,27,50,40,53,76,6,58,62.0,1,58.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.967741935483871,1.0,1.0,0.6818181818181818,0.9375,0.9464285714285714,1.0,0.9682539682539684,0.9473684210526316,0.6578947368421053,1.0,0.9310344827586208,0.9615384615384616,1.0,0.9814814814814816,0.0,0.95,0.0,1.0,0.935483870967742,18,20,22,9,40.0,74.0,63.0,71.0,20.0,0.2857142857142857,0.5,0.0,0.3098591549295774,0.45,22,13.0,60.0,2.727272727272727,13.2,59.6,2.709090909090909,0.0557049145069362,W (+10),W (+10)
12.0,12.0,2022-11-10,25-282,POR,NOP,1,27.266666666666666,3.0,4.0,.750,0.0,0.0,,0,0.0,,1.0,7.0,8.0,3.0,0.0,0.0,0.0,3.0,6.0,8.1,+18,4.0,3.0,0.75,60,1,58,15,15,53,5,61,18,50,4,27,50,40,53,76,6,58,62.0,1,58.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.967741935483871,1.0,1.0,0.6818181818181818,0.9375,0.9464285714285714,1.0,0.9682539682539684,0.9473684210526316,0.6578947368421053,1.0,0.9310344827586208,0.9615384615384616,1.0,0.9814814814814816,0.0,0.95,0.0,1.0,0.935483870967742,18,20,22,9,40.0,74.0,63.0,71.0,20.0,0.2857142857142857,0.5,0.0,0.3098591549295774,0.45,22,13.0,56.0,2.5454545454545454,8.100000000000001,58.79999999999999,2.6727272727272724,0.0557049145069362,W (+11),W (+11)
13.0,13.0,2022-11-12,25-284,POR,DAL,1,33.483333333333334,1.0,2.0,.500,0.0,0.0,,0,0.0,,2.0,6.0,8.0,0.0,2.0,0.0,0.0,5.0,2.0,4.2,+10,2.0,1.0,0.5,60,1,58,15,15,53,5,61,18,50,4,27,50,40,53,76,6,58,62.0,1,58.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.967741935483871,1.0,1.0,0.6818181818181818,0.9375,0.9464285714285714,1.0,0.9682539682539684,0.9473684210526316,0.6578947368421053,1.0,0.9310344827586208,0.9615384615384616,1.0,0.9814814814814816,0.0,0.95,0.0,1.0,0.935483870967742,18,20,22,9,40.0,74.0,63.0,71.0,20.0,0.2857142857142857,0.5,0.0,0.3098591549295774,0.45,22,10.0,80.0,3.636363636363636,4.199999999999999,96.3,4.377272727272727,0.0557049145069362,L (-5),L (-5)
14.0,14.0,2022-11-15,25-287,POR,SAS,0,33.0,4.0,5.0,.800,0.0,0.0,,1,1.0,1.000,3.0,4.0,7.0,1.0,1.0,1.0,1.0,3.0,9.0,10.6,+28,5.0,4.0,0.8,60,1,58,15,15,53,5,61,18,50,4,27,50,40,53,76,6,58,62.0,1,58.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.967741935483871,1.0,1.0,0.6818181818181818,0.9375,0.9464285714285714,1.0,0.9682539682539684,0.9473684210526316,0.6578947368421053,1.0,0.9310344827586208,0.9615384615384616,1.0,0.9814814814814816,0.0,0.95,0.0,1.0,0.935483870967742,18,20,22,9,40.0,74.0,63.0,71.0,20.0,0.2857142857142857,0.5,0.0,0.3098591549295774,0.45,22,12.0,69.0,3.136363636363636,10.199999999999996,85.2,3.872727272727273,0.0557049145069362,W (+7),W (+7)
15.0,15.0,2022-11-17,25-289,POR,BRK,0,17.766666666666666,1.0,3.0,.333,0.0,0.0,,1,2.0,.500,2.0,5.0,7.0,0.0,1.0,1.0,1.0,1.0,3.0,4.1,-4,3.0,1.0,0.3333333333333333,60,1,58,15,15,53,5,61,18,50,4,27,50,40,53,76,6,58,62.0,1,58.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.967741935483871,1.0,1.0,0.6818181818181818,0.9375,0.9464285714285714,1.0,0.9682539682539684,0.9473684210526316,0.6578947368421053,1.0,0.9310344827586208,0.9615384615384616,1.0,0.9814814814814816,0.0,0.95,0.0,1.0,0.935483870967742,18,20,22,9,40.0,74.0,63.0,71.0,20.0,0.2857142857142857,0.5,0.0,0.3098591549295774,0.45,22,6.0,52.0,2.363636363636364,3.7,65.8,2.9909090909090907,0.0557049145069362,L (-2),L (-2)
16.0,16.0,2022-11-19,25-291,POR,UTA,0,20.866666666666667,6.0,6.0,1.000,0.0,0.0,,1,1.0,1.000,3.0,2.0,5.0,1.0,1.0,4.0,3.0,1.0,13.0,15.0,+2,6.0,6.0,1.0,60,1,58,15,15,53,5,61,18,50,4,27,50,40,53,76,6,58,62.0,1,58.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.967741935483871,1.0,1.0,0.6818181818181818,0.9375,0.9464285714285714,1.0,0.9682539682539684,0.9473684210526316,0.6578947368421053,1.0,0.9310344827586208,0.9615384615384616,1.0,0.9814814814814816,0.0,0.95,0.0,1.0,0.935483870967742,18,20,22,9,40.0,74.0,63.0,71.0,20.0,0.2857142857142857,0.5,0.0,0.3098591549295774,0.45,22,14.0,63.0,2.863636363636364,14.600000000000003,67.3,3.059090909090909,0.0557049145069362,L (-5),L (-5)
17.0,17.0,2022-11-21,25-293,POR,MIL,0,15.0,1.0,1.0,1.000,0.0,0.0,,3,4.0,.750,1.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,5.0,5.5,-9,1.0,1.0,1.0,60,1,58,15,15,53,5,61,18,50,4,27,50,40,53,76,6,58,62.0,1,58.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.967741935483871,1.0,1.0,0.6818181818181818,0.9375,0.9464285714285714,1.0,0.9682539682539684,0.9473684210526316,0.6578947368421053,1.0,0.9310344827586208,0.9615384615384616,1.0,0.9814814814814816,0.0,0.95,0.0,1.0,0.935483870967742,18,20,22,9,40.0,74.0,63.0,71.0,20.0,0.2857142857142857,0.5,0.0,0.3098591549295774,0.45,22,4.0,46.0,2.090909090909091,4.3,51.3,2.3318181818181816,0.0557049145069362,L (-8),L (-8)
18.0,18.0,2022-11-23,25-295,POR,CLE,0,17.05,5.0,5.0,1.000,0.0,0.0,,0,0.0,,3.0,3.0,6.0,1.0,0.0,3.0,0.0,2.0,10.0,13.5,-6,5.0,5.0,1.0,60,1,58,15,15,53,5,61,18,50,4,27,50,40,53,76,6,58,62.0,1,58.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.967741935483871,1.0,1.0,0.6818181818181818,0.9375,0.9464285714285714,1.0,0.9682539682539684,0.9473684210526316,0.6578947368421053,1.0,0.9310344827586208,0.9615384615384616,1.0,0.9814814814814816,0.0,0.95,0.0,1.0,0.935483870967742,18,20,22,9,40.0,74.0,63.0,71.0,20.0,0.2857142857142857,0.5,0.0,0.3098591549295774,0.45,22,15.0,61.0,2.772727272727273,13.499999999999996,57.2,2.6,0.0557049145069362,L (-18),L (-18)
19.0,,2022-11-25,25-297,POR,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,60,1,58,15,15,53,5,61,18,50,4,27,50,40,53,76,6,58,62.0,1,58.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.967741935483871,1.0,1.0,0.6818181818181818,0.9375,0.9464285714285714,1.0,0.9682539682539684,0.9473684210526316,0.6578947368421053,1.0,0.9310344827586208,0.9615384615384616,1.0,0.9814814814814816,0.0,0.95,0.0,1.0,0.935483870967742,18,20,22,9,40.0,74.0,63.0,71.0,20.0,0.2857142857142857,0.5,0.0,0.3098591549295774,0.45,22,,71.0,3.227272727272727,0.0,91.7,4.168181818181818,0.0557049145069362,W (+3),W (+3)
20.0,19.0,2022-11-27,25-299,POR,BRK,0,14.25,1.0,1.0,1.000,0.0,0.0,,1,3.0,.333,3.0,2.0,5.0,1.0,1.0,0.0,2.0,0.0,3.0,4.3,-8,1.0,1.0,1.0,60,1,58,15,15,53,5,61,18,50,4,27,50,40,53,76,6,58,62.0,1,58.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.967741935483871,1.0,1.0,0.6818181818181818,0.9375,0.9464285714285714,1.0,0.9682539682539684,0.9473684210526316,0.6578947368421053,1.0,0.9310344827586208,0.9615384615384616,1.0,0.9814814814814816,0.0,0.95,0.0,1.0,0.935483870967742,18,20,22,9,40.0,74.0,63.0,71.0,20.0,0.2857142857142857,0.5,0.0,0.3098591549295774,0.45,22,4.0,62.0,2.8181818181818183,3.9,80.49999999999999,3.659090909090908,0.0557049145069362,L (-14),L (-14)
21.0,20.0,2022-11-29,25-301,POR,LAC,0,9.183333333333334,1.0,3.0,.333,0.0,0.0,,0,0.0,,2.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,2.0,1.5,-4,3.0,1.0,0.3333333333333333,60,1,58,15,15,53,5,61,18,50,4,27,50,40,53,76,6,58,62.0,1,58.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.967741935483871,1.0,1.0,0.6818181818181818,0.9375,0.9464285714285714,1.0,0.9682539682539684,0.9473684210526316,0.6578947368421053,1.0,0.9310344827586208,0.9615384615384616,1.0,0.9814814814814816,0.0,0.95,0.0,1.0,0.935483870967742,18,20,22,9,40.0,74.0,63.0,71.0,20.0,0.2857142857142857,0.5,0.0,0.3098591549295774,0.45,22,3.0,84.0,3.8181818181818175,1.5,83.8,3.809090909090909,0.0557049145069362,,
22.0,21.0,2022-11-30,25-302,POR,LAL,0,13.983333333333333,0.0,0.0,,0.0,0.0,,3,4.0,.750,1.0,2.0,3.0,2.0,0.0,1.0,0.0,3.0,3.0,4.8,-11,0.0,0.0,,60,1,58,15,15,53,5,61,18,50,4,27,50,40,53,76,6,58,62.0,1,58.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.967741935483871,1.0,1.0,0.6818181818181818,0.9375,0.9464285714285714,1.0,0.9682539682539684,0.9473684210526316,0.6578947368421053,1.0,0.9310344827586208,0.9615384615384616,1.0,0.9814814814814816,0.0,0.95,0.0,1.0,0.935483870967742,18,20,22,9,40.0,74.0,63.0,71.0,20.0,0.2857142857142857,0.5,0.0,0.3098591549295774,0.45,22,5.0,87.0,3.954545454545455,3.5999999999999988,73.4,3.3363636363636364,0.0557049145069362,L (-6),L (-6)
23.0,,2022-12-03,25-305,POR,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,60,1,58,15,15,53,5,61,18,50,4,27,50,40,53,76,6,58,62.0,1,58.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.967741935483871,1.0,1.0,0.6818181818181818,0.9375,0.9464285714285714,1.0,0.9682539682539684,0.9473684210526316,0.6578947368421053,1.0,0.9310344827586208,0.9615384615384616,1.0,0.9814814814814816,0.0,0.95,0.0,1.0,0.935483870967742,18,20,22,9,40.0,74.0,63.0,71.0,20.0,0.2857142857142857,0.5,0.0,0.3098591549295774,0.45,22,,63.0,2.863636363636364,0.0,80.10000000000001,3.640909090909091,0.0557049145069362,L (-19),L (-19)
24.0,22.0,2022-12-04,25-306,POR,IND,0,15.883333333333333,1.0,3.0,.333,0.0,1.0,.000,0,0.0,,0.0,5.0,5.0,2.0,1.0,1.0,0.0,0.0,2.0,4.9,+13,2.0,1.0,0.5,60,1,58,15,15,53,5,61,18,50,4,27,50,40,53,76,6,58,62.0,1,58.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.967741935483871,1.0,1.0,0.6818181818181818,0.9375,0.9464285714285714,1.0,0.9682539682539684,0.9473684210526316,0.6578947368421053,1.0,0.9310344827586208,0.9615384615384616,1.0,0.9814814814814816,0.0,0.95,0.0,1.0,0.935483870967742,18,20,22,9,40.0,74.0,63.0,71.0,20.0,0.2857142857142857,0.5,0.0,0.3098591549295774,0.45,22,8.0,75.0,3.409090909090909,4.900000000000001,78.69999999999999,3.5772727272727267,0.0557049145069362,W (+5),W (+5)
25.0,23.0,2022-12-08,25-310,POR,DEN,0,16.766666666666666,3.0,5.0,.600,1.0,1.0,1.000,0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,7.0,5.9,-11,4.0,2.0,0.5,60,1,58,15,15,53,5,61,18,50,4,27,50,40,53,76,6,58,62.0,1,58.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.967741935483871,1.0,1.0,0.6818181818181818,0.9375,0.9464285714285714,1.0,0.9682539682539684,0.9473684210526316,0.6578947368421053,1.0,0.9310344827586208,0.9615384615384616,1.0,0.9814814814814816,0.0,0.95,0.0,1.0,0.935483870967742,18,20,22,9,40.0,74.0,63.0,71.0,20.0,0.2857142857142857,0.5,0.0,0.3098591549295774,0.45,22,5.0,92.0,4.181818181818182,5.9,91.7,4.168181818181818,0.0557049145069362,W (+16),W (+16)
