Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Wiggins,Shared Games with Aleksej Pokusevski,Shared Games with Darius Bazley,Shared Games with Eugene Omoruyi,Shared Games with Isaiah Joe,Shared Games with Jaylin Williams,Shared Games with Jeremiah Robinson-Earl,Shared Games with Josh Giddey,Shared Games with Kenrich Williams,Shared Games with Lindy Waters III,Shared Games with Luguentz Dort,Shared Games with Mike Muscala,Shared Games with Ousmane Dieng,Shared Games with Shai Gilgeous-Alexander,Shared Games with Tre Mann,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Darius Bazley,Eugene Omoruyi,Isaiah Joe,Jared Butler,Jaylin Williams,Jeremiah Robinson-Earl,Josh Giddey,Kenrich Williams,Lindy Waters III,Luguentz Dort,Mike Muscala,Ousmane Dieng,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Darius Bazley,co_inf with Eugene Omoruyi,co_inf with Isaiah Joe,co_inf with Jared Butler,co_inf with Jaylin Williams,co_inf with Jeremiah Robinson-Earl,co_inf with Josh Giddey,co_inf with Kenrich Williams,co_inf with Lindy Waters III,co_inf with Luguentz Dort,co_inf with Mike Muscala,co_inf with Ousmane Dieng,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann,Shared Games with Dario Šarić,Shared Games with Olivier Sarr,Danilo Gallinari,Dario Šarić,Olivier Sarr,co_inf with Danilo Gallinari,co_inf with Dario Šarić,co_inf with Olivier Sarr,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,7,2022-11-09,21-209,OKC,,MIL,L (-4),0,22:34,3.0,6.0,.500,1.0,2.0,.500,2,2.0,1.000,1.0,4.0,5.0,2.0,1.0,1.0,0.0,2.0,9.0,10.2,-4,4.0,2.0,0.5,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,10.0,77.0,4.529411764705882,9.399999999999997,90.70000000000002,5.335294117647059
11,12,8,2022-11-11,21-211,OKC,,TOR,W (+19),0,30:29,5.0,10.0,.500,0.0,5.0,.000,0,0.0,,1.0,2.0,3.0,11.0,1.0,0.0,2.0,5.0,10.0,11.0,+15,5.0,5.0,1.0,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,13.0,68.0,4.0,11.0,78.4,4.611764705882353
12,13,9,2022-11-13,21-213,OKC,@,NYK,W (+10),0,19:49,4.0,6.0,.667,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,8.0,2.2,-3,5.0,4.0,0.8,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,0.0,94.0,5.529411764705882,2.2,106.6,6.270588235294118
13,14,10,2022-11-14,21-214,OKC,@,BOS,L (-4),1,36:00,6.0,9.0,.667,2.0,5.0,.400,0,1.0,.000,0.0,6.0,6.0,2.0,0.0,1.0,1.0,3.0,14.0,11.4,-3,4.0,4.0,1.0,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,12.0,55.0,3.235294117647059,11.399999999999997,67.2,3.9529411764705884
14,15,11,2022-11-16,21-216,OKC,@,WAS,W (+1),0,27:39,4.0,11.0,.364,2.0,4.0,.500,0,0.0,,2.0,2.0,4.0,6.0,0.0,0.0,3.0,2.0,10.0,6.3,0,7.0,2.0,0.2857142857142857,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,6.0,69.0,4.0588235294117645,6.299999999999997,85.1,5.0058823529411764
15,16,12,2022-11-18,21-218,OKC,@,MEM,L (-11),1,33:33,6.0,12.0,.500,2.0,5.0,.400,2,2.0,1.000,0.0,6.0,6.0,7.0,2.0,0.0,1.0,4.0,16.0,16.1,-15,7.0,4.0,0.5714285714285714,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,16.0,65.0,3.823529411764706,15.299999999999995,68.1,4.0058823529411764
16,17,13,2022-11-21,21-221,OKC,,NYK,L (-10),0,26:12,5.0,11.0,.455,0.0,3.0,.000,3,4.0,.750,0.0,4.0,4.0,0.0,1.0,0.0,2.0,1.0,13.0,6.7,-14,8.0,5.0,0.625,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,1.0,54.0,3.176470588235294,5.5,69.9,4.111764705882353
17,18,14,2022-11-23,21-223,OKC,,DEN,L (-5),0,29:42,4.0,9.0,.444,2.0,3.0,.667,6,6.0,1.000,0.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0,16.0,8.3,-2,6.0,2.0,0.3333333333333333,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,1.0,67.0,3.941176470588236,5.899999999999999,82.80000000000001,4.870588235294118
18,19,15,2022-11-25,21-225,OKC,,CHI,W (+4),1,19:53,3.0,4.0,.750,0.0,1.0,.000,2,3.0,.667,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,8.0,6.1,-8,3.0,3.0,1.0,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,4.0,55.0,3.235294117647059,5.299999999999998,67.7,3.9823529411764707
19,20,16,2022-11-26,21-226,OKC,@,HOU,L (-13),1,29:09,4.0,12.0,.333,0.0,2.0,.000,3,3.0,1.000,3.0,2.0,5.0,4.0,0.0,0.0,3.0,1.0,11.0,6.3,-16,10.0,4.0,0.4,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,2.0,52.0,3.0588235294117645,5.1,64.1,3.770588235294117
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,,0.0,0.0,0.0,0.0,0.0
21,21,17,2022-11-28,21-228,OKC,@,NOP,L (-4),0,24:32,3.0,6.0,.500,0.0,2.0,.000,2,2.0,1.000,2.0,4.0,6.0,1.0,0.0,1.0,2.0,2.0,8.0,6.2,+4,4.0,3.0,0.75,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,6.0,39.0,2.294117647058824,5.399999999999998,54.39999999999998,3.199999999999999
22,22,18,2022-11-30,21-230,OKC,,SAS,W (+8),1,33:25,11.0,15.0,.733,2.0,3.0,.667,3,5.0,.600,1.0,5.0,6.0,2.0,0.0,0.0,3.0,3.0,27.0,19.5,+12,12.0,9.0,0.75,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,12.0,62.0,3.647058823529412,18.3,68.6,4.035294117647059
23,23,19,2022-12-03,21-233,OKC,@,MIN,W (+7),0,27:10,4.0,6.0,.667,1.0,1.0,1.000,2,4.0,.500,0.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,11.0,6.8,+18,5.0,3.0,0.6,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,3.0,76.0,4.470588235294118,6.0,101.5,5.970588235294118
24,24,20,2022-12-05,21-235,OKC,@,ATL,W (+7),1,31:18,6.0,10.0,.600,0.0,1.0,.000,0,0.0,,1.0,6.0,7.0,1.0,0.0,1.0,0.0,2.0,12.0,10.5,-7,9.0,6.0,0.6666666666666666,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,11.0,57.0,3.3529411764705883,10.499999999999996,70.89999999999999,4.170588235294117
25,25,21,2022-12-07,21-237,OKC,@,MEM,L (-21),1,25:34,3.0,11.0,.273,1.0,4.0,.250,0,0.0,,1.0,2.0,3.0,3.0,1.0,0.0,1.0,4.0,7.0,2.3,-16,7.0,2.0,0.2857142857142857,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,2.0,41.0,2.411764705882353,2.2999999999999985,51.1,3.0058823529411764
26,26,22,2022-12-10,21-240,OKC,@,CLE,L (-8),0,29:15,4.0,6.0,.667,0.0,2.0,.000,3,6.0,.500,0.0,0.0,0.0,3.0,2.0,0.0,1.0,3.0,11.0,9.1,+4,4.0,4.0,1.0,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,3.0,61.0,3.588235294117647,7.899999999999999,66.39999999999999,3.905882352941176
27,27,23,2022-12-12,21-242,OKC,@,DAL,L (-7),1,38:11,8.0,13.0,.615,1.0,4.0,.250,0,0.0,,0.0,2.0,2.0,4.0,0.0,1.0,2.0,2.0,17.0,12.4,-21,9.0,7.0,0.7777777777777778,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,9.0,47.0,2.764705882352941,12.4,60.1,3.5352941176470587
28,28,24,2022-12-14,21-244,OKC,,MIA,L (-2),1,30:44,6.0,10.0,.600,2.0,4.0,.500,0,0.0,,0.0,5.0,5.0,2.0,0.0,2.0,1.0,2.0,14.0,11.9,-1,6.0,4.0,0.6666666666666666,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,12.0,48.0,2.823529411764706,11.899999999999997,58.5,3.4411764705882355
