Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Reddish,Shared Games with Derrick Rose,Shared Games with Evan Fournier,Shared Games with Immanuel Quickley,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Julius Randle,Shared Games with Miles McBride,Shared Games with Mitchell Robinson,Shared Games with Obi Toppin,Shared Games with Quentin Grimes,Shared Games with RJ Barrett,Shared Games with Ryan Arcidiacono,Shared Games with Svi Mykhailiuk,Shared Games with Trevor Keels,Cam Reddish,DaQuan Jeffries,Derrick Rose,Evan Fournier,Feron Hunt,Immanuel Quickley,Jalen Brunson,Jericho Sims,Julius Randle,Miles McBride,Mitchell Robinson,Obi Toppin,Quentin Grimes,RJ Barrett,Ryan Arcidiacono,Svi Mykhailiuk,Trevor Keels,co_inf with Cam Reddish,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Julius Randle,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with RJ Barrett,co_inf with Ryan Arcidiacono,co_inf with Svi Mykhailiuk,co_inf with Trevor Keels,Shared Games with Moses Brown,Shared Games with Josh Hart,Blake Griffin,Duane Washington Jr.,Isaiah Roby,Josh Hart,co_inf with Blake Griffin,co_inf with Duane Washington Jr.,co_inf with Isaiah Roby,co_inf with Josh Hart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,11,2022-11-09,24-188,NYK,BRK,0,14.7,1.0,2.0,0.5,0.0,0.0,,0,0.0,,3.0,2.0,5.0,0.0,0.0,0.0,1.0,3.0,2.0,1.5,-6,2.0,1.0,0.5,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,4.0,37.0,2.176470588235294,1.4999999999999996,44.1,2.594117647058824,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,L (-27),L (-27)
12.0,12,2022-11-11,24-190,NYK,DET,1,32.516666666666666,3.0,5.0,0.6,0.0,0.0,,0,0.0,,5.0,7.0,12.0,0.0,0.0,1.0,3.0,5.0,6.0,5.0,9,5.0,3.0,0.6,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,11.0,65.0,3.823529411764706,4.999999999999998,89.30000000000001,5.252941176470589,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,W (+9),W (+9)
13.0,13,2022-11-13,24-192,NYK,OKC,1,22.883333333333333,5.0,8.0,0.625,1.0,2.0,0.5,3,4.0,0.75,5.0,2.0,7.0,1.0,1.0,0.0,2.0,1.0,14.0,13.4,-19,6.0,4.0,0.6666666666666666,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,9.0,60.0,3.5294117647058822,12.200000000000005,63.900000000000006,3.758823529411765,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,L (-10),L (-10)
14.0,14,2022-11-15,24-194,NYK,UTA,1,22.166666666666668,1.0,4.0,0.25,0.0,1.0,0.0,0,0.0,,2.0,7.0,9.0,1.0,1.0,1.0,0.0,4.0,2.0,3.9,6,3.0,1.0,0.3333333333333333,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,10.0,74.0,4.352941176470588,3.900000000000001,81.8,4.811764705882353,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,W (+7),W (+7)
15.0,15,2022-11-16,24-195,NYK,DEN,1,21.78333333333333,0.0,1.0,0.0,0.0,0.0,,0,0.0,,0.0,3.0,3.0,0.0,1.0,1.0,0.0,4.0,0.0,0.3,-6,1.0,0.0,0.0,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,4.0,69.0,4.0588235294117645,0.2999999999999996,82.4,4.847058823529412,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,W (+3),W (+3)
16.0,16,2022-11-18,24-197,NYK,GSW,1,17.4,3.0,4.0,0.75,1.0,1.0,1.0,1,1.0,1.0,2.0,3.0,5.0,0.0,1.0,1.0,1.0,3.0,8.0,8.2,-9,3.0,2.0,0.6666666666666666,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,9.0,48.0,2.823529411764706,7.799999999999997,58.400000000000006,3.435294117647059,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,L (-10),L (-10)
17.0,17,2022-11-20,24-199,NYK,PHO,1,15.366666666666667,2.0,5.0,0.4,0.0,0.0,,3,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,7.0,6.2,-11,5.0,2.0,0.4,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,4.0,65.0,3.823529411764706,4.999999999999998,73.19999999999999,4.305882352941175,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,L (-21),L (-21)
18.0,18,2022-11-21,24-200,NYK,OKC,0,15.8,1.0,4.0,0.25,0.0,1.0,0.0,0,0.0,,5.0,3.0,8.0,0.0,1.0,1.0,0.0,0.0,2.0,5.7,3,3.0,1.0,0.3333333333333333,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,8.0,93.0,5.470588235294118,5.7,97.8,5.752941176470588,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,W (+10),W (+10)
19.0,19,2022-11-25,24-204,NYK,POR,0,16.9,2.0,3.0,0.667,0.0,0.0,,2,2.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,3.0,6.0,7.5,-6,3.0,2.0,0.6666666666666666,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,7.0,86.0,5.0588235294117645,6.699999999999999,91.29999999999998,5.370588235294116,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,L (-3),L (-3)
20.0,20,2022-11-27,24-206,NYK,MEM,0,15.05,2.0,3.0,0.667,0.0,1.0,0.0,0,0.0,,2.0,2.0,4.0,0.0,0.0,1.0,1.0,2.0,4.0,3.6,-3,2.0,2.0,1.0,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,5.0,80.0,4.705882352941177,3.6,91.3,5.370588235294117,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,L (-4),L (-4)
21.0,21,2022-11-29,24-208,NYK,DET,0,14.333333333333334,3.0,4.0,0.75,0.0,0.0,,2,3.0,0.667,3.0,2.0,5.0,1.0,1.0,0.0,2.0,2.0,8.0,7.6,0,4.0,3.0,0.75,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,6.0,117.0,6.882352941176471,6.799999999999997,121.9,7.170588235294118,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,,
22.0,22,2022-11-30,24-209,NYK,MIL,0,10.0,1.0,2.0,0.5,0.0,0.0,,0,0.0,,1.0,4.0,5.0,0.0,0.0,1.0,0.0,1.0,2.0,3.2,-6,2.0,1.0,0.5,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,6.0,54.0,3.176470588235294,3.2,63.2,3.7176470588235295,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,W (+30),W (+30)
23.0,23,2022-12-03,24-212,NYK,DAL,0,12.7,1.0,2.0,0.5,0.0,0.0,,0,0.0,,1.0,3.0,4.0,0.0,2.0,0.0,1.0,2.0,2.0,2.8,-5,2.0,1.0,0.5,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,5.0,57.0,3.3529411764705883,2.8,60.1,3.5352941176470587,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,L (-6),L (-6)
24.0,24,2022-12-04,24-213,NYK,CLE,0,14.333333333333334,4.0,9.0,0.444,0.0,0.0,,2,2.0,1.0,6.0,3.0,9.0,1.0,0.0,0.0,1.0,2.0,10.0,9.3,16,9.0,4.0,0.4444444444444444,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,8.0,54.0,3.176470588235294,8.499999999999996,59.0,3.4705882352941178,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,L (-21),L (-21)
25.0,25,2022-12-07,24-216,NYK,ATL,0,19.016666666666666,2.0,4.0,0.5,0.0,1.0,0.0,0,0.0,,1.0,4.0,5.0,2.0,1.0,0.0,1.0,4.0,4.0,3.7,5,3.0,2.0,0.6666666666666666,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,7.0,96.0,5.647058823529412,3.6999999999999993,89.30000000000001,5.252941176470589,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,W (+11),W (+11)
26.0,26,2022-12-09,24-218,NYK,CHO,0,18.05,5.0,5.0,1.0,1.0,1.0,1.0,0,0.0,,4.0,4.0,8.0,2.0,0.0,2.0,1.0,1.0,11.0,14.9,13,4.0,4.0,1.0,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,17.0,91.0,5.352941176470588,14.899999999999997,88.0,5.176470588235294,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,W (+24),W (+24)
27.0,27,2022-12-11,24-220,NYK,SAC,0,25.7,2.0,4.0,0.5,0.0,2.0,0.0,0,0.0,,3.0,6.0,9.0,0.0,1.0,0.0,1.0,3.0,4.0,4.7,18,2.0,2.0,1.0,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,9.0,86.0,5.0588235294117645,4.699999999999999,81.4,4.788235294117648,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,W (+19),W (+19)
28.0,28,2022-12-14,24-223,NYK,CHI,0,15.783333333333331,2.0,5.0,0.4,1.0,1.0,1.0,1,2.0,0.5,5.0,3.0,8.0,1.0,0.0,0.0,0.0,3.0,6.0,6.8,1,4.0,1.0,0.25,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,8.0,91.0,5.352941176470588,6.4,95.3,5.605882352941176,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,W (+13),W (+13)
29.0,29,2022-12-16,24-225,NYK,CHI,0,13.65,1.0,7.0,0.143,0.0,1.0,0.0,1,2.0,0.5,6.0,4.0,10.0,0.0,0.0,0.0,1.0,2.0,3.0,1.7,7,6.0,1.0,0.1666666666666666,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,3.0,70.0,4.117647058823529,1.2999999999999998,88.50000000000001,5.2058823529411775,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,W (+8),W (+8)
