Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Reddish,Shared Games with DaQuan Jeffries,Shared Games with Derrick Rose,Shared Games with Evan Fournier,Shared Games with Feron Hunt,Shared Games with Immanuel Quickley,Shared Games with Isaiah Hartenstein,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Julius Randle,Shared Games with Miles McBride,Shared Games with Mitchell Robinson,Shared Games with Obi Toppin,Shared Games with Quentin Grimes,Shared Games with RJ Barrett,Shared Games with Ryan Arcidiacono,Shared Games with Trevor Keels,Cam Reddish,DaQuan Jeffries,Derrick Rose,Evan Fournier,Feron Hunt,Immanuel Quickley,Isaiah Hartenstein,Jalen Brunson,Jericho Sims,Julius Randle,Miles McBride,Mitchell Robinson,Obi Toppin,Quentin Grimes,RJ Barrett,Ryan Arcidiacono,Trevor Keels,co_inf with Cam Reddish,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Julius Randle,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with RJ Barrett,co_inf with Ryan Arcidiacono,co_inf with Trevor Keels
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
21,21,6,2022-11-29,25-172,NYK,@,DET,W (+30),0,2.8166666666666664,0.0,2.0,.000,0.0,0.0,,0,0,,0,1,1,0,0,0,0,0,0,-1.1,+1,2.0,0.0,0.0,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
22,22,,2022-11-30,25-173,NYK,,MIL,L (-6),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
23,23,7,2022-12-03,25-176,NYK,,DAL,L (-21),0,7.25,1.0,2.0,.500,1.0,2.0,.500,0,0,,0,1,1,0,0,0,0,0,3,2.3,+9,0.0,0.0,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
24,24,,2022-12-04,25-177,NYK,,CLE,W (+11),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
25,25,8,2022-12-07,25-180,NYK,,ATL,W (+24),0,3.6,1.0,1.0,1.000,1.0,1.0,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,-1,0.0,0.0,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
26,26,9,2022-12-09,25-182,NYK,@,CHO,W (+19),0,2.283333333333333,0.0,1.0,.000,0.0,1.0,.000,0,0,,0,1,1,0,0,0,1,1,0,-1.8,+1,0.0,0.0,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
27,27,,2022-12-11,25-184,NYK,,SAC,W (+13),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
28,28,,2022-12-14,25-187,NYK,@,CHI,W (+8),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
29,29,10,2022-12-16,25-189,NYK,@,CHI,W (+23),0,2.966666666666667,0.0,1.0,.000,0.0,1.0,.000,0,0,,0,1,1,0,1,0,0,0,0,0.6,-4,0.0,0.0,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
