Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alperen Şengün,Shared Games with Boban Marjanović,Shared Games with Bruno Fernando,Shared Games with Daishen Nix,Shared Games with Darius Days,Shared Games with Garrison Mathews,Shared Games with Jabari Smith Jr.,Shared Games with Jae'Sean Tate,Shared Games with Jalen Green,Shared Games with Josh Christopher,Shared Games with Kenyon Martin Jr.,Shared Games with Kevin Porter Jr.,Shared Games with Tari Eason,Shared Games with TyTy Washington Jr.,Shared Games with Usman Garuba,Alperen Şengün,Boban Marjanović,Bruno Fernando,Daishen Nix,Darius Days,Eric Gordon,Garrison Mathews,Jabari Smith Jr.,Jae'Sean Tate,Jalen Green,Josh Christopher,Kenyon Martin Jr.,Kevin Porter Jr.,Tari Eason,TyTy Washington Jr.,Usman Garuba,Willie Cauley-Stein,co_inf with Alperen Şengün,co_inf with Boban Marjanović,co_inf with Bruno Fernando,co_inf with Daishen Nix,co_inf with Darius Days,co_inf with Eric Gordon,co_inf with Garrison Mathews,co_inf with Jabari Smith Jr.,co_inf with Jae'Sean Tate,co_inf with Jalen Green,co_inf with Josh Christopher,co_inf with Kenyon Martin Jr.,co_inf with Kevin Porter Jr.,co_inf with Tari Eason,co_inf with TyTy Washington Jr.,co_inf with Usman Garuba,co_inf with Willie Cauley-Stein,Shared Games with Frank Kaminsky,Frank Kaminsky,Jarrett Culver,John Wall,co_inf with Frank Kaminsky,co_inf with Jarrett Culver,co_inf with John Wall,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-07,23-229,HOU,@,ORL,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,4,1,3,3,1,5,3,4,5,5,1,5,4,5,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,31.0,75.0,,0.0666666666666666,0.1290322580645161,0.0256410256410256,0.0526315789473684,0.75,0.0,0.0185185185185185,0.0632911392405063,0.0967741935483871,0.0526315789473684,0.078125,0.0609756097560975,0.0169491525423728,0.0609756097560975,0.1290322580645161,0.0666666666666666,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,16,,74.0,4.625,0.0,84.00000000000001,5.250000000000001
11,12,,2022-11-09,23-231,HOU,@,TOR,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,4,1,3,3,1,5,3,4,5,5,1,5,4,5,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,31.0,75.0,,0.0666666666666666,0.1290322580645161,0.0256410256410256,0.0526315789473684,0.75,0.0,0.0185185185185185,0.0632911392405063,0.0967741935483871,0.0526315789473684,0.078125,0.0609756097560975,0.0169491525423728,0.0609756097560975,0.1290322580645161,0.0666666666666666,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,16,,83.0,5.1875,0.0,81.89999999999998,5.118749999999999
12,13,,2022-11-12,23-234,HOU,@,NOP,L (-13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,4,1,3,3,1,5,3,4,5,5,1,5,4,5,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,31.0,75.0,,0.0666666666666666,0.1290322580645161,0.0256410256410256,0.0526315789473684,0.75,0.0,0.0185185185185185,0.0632911392405063,0.0967741935483871,0.0526315789473684,0.078125,0.0609756097560975,0.0169491525423728,0.0609756097560975,0.1290322580645161,0.0666666666666666,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,16,,65.0,4.0625,0.0,62.3,3.89375
13,14,,2022-11-14,23-236,HOU,,LAC,L (-16),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,4,1,3,3,1,5,3,4,5,5,1,5,4,5,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,31.0,75.0,,0.0666666666666666,0.1290322580645161,0.0256410256410256,0.0526315789473684,0.75,0.0,0.0185185185185185,0.0632911392405063,0.0967741935483871,0.0526315789473684,0.078125,0.0609756097560975,0.0169491525423728,0.0609756097560975,0.1290322580645161,0.0666666666666666,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,16,,50.0,3.125,0.0,69.0,4.3125
14,15,,2022-11-16,23-238,HOU,@,DAL,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,4,1,3,3,1,5,3,4,5,5,1,5,4,5,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,31.0,75.0,,0.0666666666666666,0.1290322580645161,0.0256410256410256,0.0526315789473684,0.75,0.0,0.0185185185185185,0.0632911392405063,0.0967741935483871,0.0526315789473684,0.078125,0.0609756097560975,0.0169491525423728,0.0609756097560975,0.1290322580645161,0.0666666666666666,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,16,,92.0,5.75,0.0,76.1,4.75625
15,16,,2022-11-18,23-240,HOU,,IND,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,4,1,3,3,1,5,3,4,5,5,1,5,4,5,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,31.0,75.0,,0.0666666666666666,0.1290322580645161,0.0256410256410256,0.0526315789473684,0.75,0.0,0.0185185185185185,0.0632911392405063,0.0967741935483871,0.0526315789473684,0.078125,0.0609756097560975,0.0169491525423728,0.0609756097560975,0.1290322580645161,0.0666666666666666,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,16,,20.0,1.25,0.0,26.6,1.6625
16,17,,2022-11-20,23-242,HOU,,GSW,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,4,1,3,3,1,5,3,4,5,5,1,5,4,5,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,31.0,75.0,,0.0666666666666666,0.1290322580645161,0.0256410256410256,0.0526315789473684,0.75,0.0,0.0185185185185185,0.0632911392405063,0.0967741935483871,0.0526315789473684,0.078125,0.0609756097560975,0.0169491525423728,0.0609756097560975,0.1290322580645161,0.0666666666666666,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,16,,87.0,5.4375,0.0,86.4,5.4
17,18,,2022-11-25,23-247,HOU,,ATL,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,4,1,3,3,1,5,3,4,5,5,1,5,4,5,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,31.0,75.0,,0.0666666666666666,0.1290322580645161,0.0256410256410256,0.0526315789473684,0.75,0.0,0.0185185185185185,0.0632911392405063,0.0967741935483871,0.0526315789473684,0.078125,0.0609756097560975,0.0169491525423728,0.0609756097560975,0.1290322580645161,0.0666666666666666,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,16,,69.0,4.3125,0.0,69.6,4.35
18,19,,2022-11-26,23-248,HOU,,OKC,W (+13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,4,1,3,3,1,5,3,4,5,5,1,5,4,5,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,31.0,75.0,,0.0666666666666666,0.1290322580645161,0.0256410256410256,0.0526315789473684,0.75,0.0,0.0185185185185185,0.0632911392405063,0.0967741935483871,0.0526315789473684,0.078125,0.0609756097560975,0.0169491525423728,0.0609756097560975,0.1290322580645161,0.0666666666666666,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,16,,70.0,4.375,0.0,70.5,4.40625
19,20,,2022-11-28,23-250,HOU,@,DEN,L (-16),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,4,1,3,3,1,5,3,4,5,5,1,5,4,5,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,31.0,75.0,,0.0666666666666666,0.1290322580645161,0.0256410256410256,0.0526315789473684,0.75,0.0,0.0185185185185185,0.0632911392405063,0.0967741935483871,0.0526315789473684,0.078125,0.0609756097560975,0.0169491525423728,0.0609756097560975,0.1290322580645161,0.0666666666666666,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,16,,60.0,3.75,0.0,66.69999999999999,4.168749999999999
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,5,4,1,3,3,1,5,3,4,5,5,1,5,4,5,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,31.0,75.0,,0.0666666666666666,0.1290322580645161,0.0256410256410256,0.0526315789473684,0.75,0.0,0.0185185185185185,0.0632911392405063,0.0967741935483871,0.0526315789473684,0.078125,0.0609756097560975,0.0169491525423728,0.0609756097560975,0.1290322580645161,0.0666666666666666,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,16,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-30,23-252,HOU,@,DEN,L (-20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,4,1,3,3,1,5,3,4,5,5,1,5,4,5,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,31.0,75.0,,0.0666666666666666,0.1290322580645161,0.0256410256410256,0.0526315789473684,0.75,0.0,0.0185185185185185,0.0632911392405063,0.0967741935483871,0.0526315789473684,0.078125,0.0609756097560975,0.0169491525423728,0.0609756097560975,0.1290322580645161,0.0666666666666666,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,16,,54.0,3.375,0.0,59.59999999999999,3.724999999999999
22,22,,2022-12-02,23-254,HOU,@,PHO,W (+1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,4,1,3,3,1,5,3,4,5,5,1,5,4,5,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,31.0,75.0,,0.0666666666666666,0.1290322580645161,0.0256410256410256,0.0526315789473684,0.75,0.0,0.0185185185185185,0.0632911392405063,0.0967741935483871,0.0526315789473684,0.078125,0.0609756097560975,0.0169491525423728,0.0609756097560975,0.1290322580645161,0.0666666666666666,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,16,,49.0,3.0625,0.0,61.3,3.83125
23,23,,2022-12-03,23-255,HOU,@,GSW,L (-19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,4,1,3,3,1,5,3,4,5,5,1,5,4,5,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,31.0,75.0,,0.0666666666666666,0.1290322580645161,0.0256410256410256,0.0526315789473684,0.75,0.0,0.0185185185185185,0.0632911392405063,0.0967741935483871,0.0526315789473684,0.078125,0.0609756097560975,0.0169491525423728,0.0609756097560975,0.1290322580645161,0.0666666666666666,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,16,,51.0,3.1875,0.0,57.7,3.60625
24,24,,2022-12-05,23-257,HOU,,PHI,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,4,1,3,3,1,5,3,4,5,5,1,5,4,5,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,31.0,75.0,,0.0666666666666666,0.1290322580645161,0.0256410256410256,0.0526315789473684,0.75,0.0,0.0185185185185185,0.0632911392405063,0.0967741935483871,0.0526315789473684,0.078125,0.0609756097560975,0.0169491525423728,0.0609756097560975,0.1290322580645161,0.0666666666666666,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,16,,54.0,3.375,0.0,65.29999999999998,4.081249999999999
25,25,,2022-12-08,23-260,HOU,@,SAS,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,4,1,3,3,1,5,3,4,5,5,1,5,4,5,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,31.0,75.0,,0.0666666666666666,0.1290322580645161,0.0256410256410256,0.0526315789473684,0.75,0.0,0.0185185185185185,0.0632911392405063,0.0967741935483871,0.0526315789473684,0.078125,0.0609756097560975,0.0169491525423728,0.0609756097560975,0.1290322580645161,0.0666666666666666,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,16,,58.0,3.625,0.0,61.5,3.84375
26,26,,2022-12-11,23-263,HOU,,MIL,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,4,1,3,3,1,5,3,4,5,5,1,5,4,5,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,31.0,75.0,,0.0666666666666666,0.1290322580645161,0.0256410256410256,0.0526315789473684,0.75,0.0,0.0185185185185185,0.0632911392405063,0.0967741935483871,0.0526315789473684,0.078125,0.0609756097560975,0.0169491525423728,0.0609756097560975,0.1290322580645161,0.0666666666666666,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,16,,64.0,4.0,0.0,64.69999999999999,4.043749999999999
27,27,,2022-12-13,23-265,HOU,,PHO,W (+14),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,4,1,3,3,1,5,3,4,5,5,1,5,4,5,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,31.0,75.0,,0.0666666666666666,0.1290322580645161,0.0256410256410256,0.0526315789473684,0.75,0.0,0.0185185185185185,0.0632911392405063,0.0967741935483871,0.0526315789473684,0.078125,0.0609756097560975,0.0169491525423728,0.0609756097560975,0.1290322580645161,0.0666666666666666,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,16,,64.0,4.0,0.0,63.1,3.94375
28,28,,2022-12-15,23-267,HOU,,MIA,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,4,1,3,3,1,5,3,4,5,5,1,5,4,5,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,31.0,75.0,,0.0666666666666666,0.1290322580645161,0.0256410256410256,0.0526315789473684,0.75,0.0,0.0185185185185185,0.0632911392405063,0.0967741935483871,0.0526315789473684,0.078125,0.0609756097560975,0.0169491525423728,0.0609756097560975,0.1290322580645161,0.0666666666666666,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,16,,71.0,4.4375,0.0,78.89999999999999,4.9312499999999995
