Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alperen Şengün,Shared Games with Boban Marjanović,Shared Games with Bruno Fernando,Shared Games with Daishen Nix,Shared Games with Eric Gordon,Shared Games with Garrison Mathews,Shared Games with Jabari Smith Jr.,Shared Games with Jae'Sean Tate,Shared Games with Jalen Green,Shared Games with Josh Christopher,Shared Games with Kenyon Martin Jr.,Shared Games with Tari Eason,Shared Games with Trevor Hudgins,Shared Games with TyTy Washington Jr.,Shared Games with Usman Garuba,Alperen Şengün,Boban Marjanović,Bruno Fernando,Daishen Nix,Darius Days,Eric Gordon,Garrison Mathews,Jabari Smith Jr.,Jae'Sean Tate,Jalen Green,Josh Christopher,Kenyon Martin Jr.,Tari Eason,Trevor Hudgins,TyTy Washington Jr.,Usman Garuba,Willie Cauley-Stein,co_inf with Alperen Şengün,co_inf with Boban Marjanović,co_inf with Bruno Fernando,co_inf with Daishen Nix,co_inf with Darius Days,co_inf with Eric Gordon,co_inf with Garrison Mathews,co_inf with Jabari Smith Jr.,co_inf with Jae'Sean Tate,co_inf with Jalen Green,co_inf with Josh Christopher,co_inf with Kenyon Martin Jr.,co_inf with Tari Eason,co_inf with Trevor Hudgins,co_inf with TyTy Washington Jr.,co_inf with Usman Garuba,co_inf with Willie Cauley-Stein,Shared Games with Frank Kaminsky,Shared Games with Justin Holiday,Frank Kaminsky,Jarrett Culver,John Wall,co_inf with Frank Kaminsky,co_inf with John Wall,co_inf with Jarrett Culver,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
29,29,28,2022-12-17,22-227,HOU,,POR,L (-12),1,29:17,3.0,10.0,.300,0.0,6.0,.000,7,9.0,.778,1.0,6.0,7.0,4.0,2.0,0.0,6.0,3.0,13.0,6.5,-21,4.0,3.0,0.75,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,1.0,46.0,2.7058823529411766,3.6999999999999993,50.89999999999999,2.994117647058823
30,30,29,2022-12-19,22-229,HOU,,SAS,L (-19),1,26:38,6.0,16.0,.375,1.0,5.0,.200,2,3.0,.667,3.0,1.0,4.0,4.0,2.0,1.0,1.0,4.0,15.0,11.1,-25,11.0,5.0,0.4545454545454545,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,6.0,55.0,3.235294117647059,10.300000000000002,72.0,4.235294117647059
31,31,30,2022-12-21,22-231,HOU,,ORL,L (-6),1,35:29,12.0,19.0,.632,5.0,9.0,.556,2,3.0,.667,1.0,5.0,6.0,5.0,3.0,1.0,5.0,1.0,31.0,26.1,0,10.0,7.0,0.7,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,19.0,50.0,2.9411764705882355,25.300000000000008,45.4,2.6705882352941175
32,32,31,2022-12-23,22-233,HOU,,DAL,L (-6),1,31:43,5.0,13.0,.385,1.0,7.0,.143,3,3.0,1.000,0.0,1.0,1.0,4.0,1.0,0.0,2.0,4.0,14.0,7.4,+5,6.0,4.0,0.6666666666666666,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,2.0,60.0,3.5294117647058822,6.200000000000001,68.39999999999999,4.023529411764706
33,33,32,2022-12-26,22-236,HOU,@,CHI,W (+15),1,39:20,14.0,22.0,.636,6.0,12.0,.500,2,4.0,.500,3.0,4.0,7.0,9.0,0.0,0.0,2.0,2.0,36.0,32.2,+13,10.0,8.0,0.8,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,24.0,68.0,4.0,31.40000000000001,72.3,4.252941176470588
34,34,33,2022-12-27,22-237,HOU,@,BOS,L (-24),1,35:18,8.0,18.0,.444,2.0,6.0,.333,4,5.0,.800,1.0,4.0,5.0,9.0,0.0,0.0,0.0,2.0,22.0,19.6,-18,12.0,6.0,0.5,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,13.0,40.0,2.3529411764705883,17.999999999999996,45.4,2.6705882352941175
35,35,34,2022-12-29,22-239,HOU,@,DAL,L (-15),1,34:08,4.0,12.0,.333,4.0,7.0,.571,5,6.0,.833,0.0,4.0,4.0,7.0,1.0,0.0,4.0,2.0,17.0,12.1,-21,5.0,0.0,0.0,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,7.0,58.0,3.411764705882353,10.1,58.8,3.4588235294117644
36,36,35,2022-12-31,22-241,HOU,,NYK,L (-20),1,35:08,7.0,12.0,.583,4.0,8.0,.500,5,5.0,1.000,0.0,10.0,10.0,8.0,0.0,0.0,5.0,2.0,23.0,20.2,-16,4.0,3.0,0.75,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,19.0,26.0,1.5294117647058822,18.2,26.1,1.535294117647059
37,37,36,2023-01-02,22-243,HOU,,DAL,L (-5),1,41:33,11.0,20.0,.550,2.0,9.0,.222,1,2.0,.500,0.0,6.0,6.0,6.0,3.0,1.0,3.0,1.0,25.0,21.3,-7,11.0,9.0,0.8181818181818182,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,16.0,38.0,2.235294117647059,20.90000000000001,36.9,2.1705882352941175
38,38,37,2023-01-04,22-245,HOU,@,NOP,L (-11),1,30:38,4.0,11.0,.364,2.0,7.0,.286,1,2.0,.500,3.0,0.0,3.0,5.0,1.0,0.0,2.0,2.0,11.0,8.3,-23,4.0,2.0,0.5,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,5.0,58.0,3.411764705882353,7.899999999999999,57.3,3.3705882352941177
39,39,38,2023-01-05,22-246,HOU,,UTA,L (-17),1,37:15,8.0,22.0,.364,5.0,13.0,.385,2,2.0,1.000,1.0,5.0,6.0,2.0,0.0,0.0,2.0,5.0,23.0,10.4,-22,9.0,3.0,0.3333333333333333,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,5.0,47.0,2.764705882352941,9.599999999999998,52.3,3.076470588235294
40,40,39,2023-01-08,22-249,HOU,,MIN,L (-8),1,37:41,9.0,15.0,.600,5.0,9.0,.556,2,4.0,.500,2.0,4.0,6.0,5.0,1.0,1.0,5.0,2.0,25.0,19.3,-12,6.0,4.0,0.6666666666666666,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,14.0,39.0,2.294117647058824,18.500000000000004,39.29999999999999,2.3117647058823523
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,,0.0,0.0,0.0,0.0,0.0
42,41,40,2023-01-11,22-252,HOU,@,SAC,L (-20),1,10:18,2.0,5.0,.400,1.0,2.0,.500,0,0.0,,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,5.0,6.3,-2,3.0,1.0,0.3333333333333333,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,7.0,67.0,3.941176470588236,6.299999999999999,60.5,3.5588235294117645
43,42,,2023-01-13,22-254,HOU,@,SAC,L (-25),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,,51.0,3.0,0.0,65.99999999999999,3.8823529411764697
44,43,,2023-01-15,22-256,HOU,@,LAC,L (-21),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,,42.0,2.4705882352941178,0.0,49.0,2.8823529411764706
45,44,,2023-01-16,22-257,HOU,@,LAL,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,,74.0,4.352941176470588,0.0,78.0,4.588235294117647
46,45,,2023-01-18,22-259,HOU,,CHO,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,,64.0,3.764705882352941,0.0,73.60000000000001,4.329411764705883
47,46,,2023-01-21,22-262,HOU,@,MIN,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,,49.0,2.8823529411764706,0.0,52.8,3.105882352941176
48,47,,2023-01-23,22-264,HOU,,MIN,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,,54.0,3.176470588235294,0.0,69.19999999999999,4.070588235294117
49,48,,2023-01-25,22-266,HOU,,WAS,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,,68.0,4.0,0.0,72.3,4.252941176470588
50,49,,2023-01-26,22-267,HOU,,CLE,L (-18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,,50.0,2.9411764705882355,0.0,58.99999999999999,3.4705882352941173
51,50,,2023-01-28,22-269,HOU,@,DET,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,,52.0,3.0588235294117645,0.0,57.8,3.4
52,51,,2023-02-01,22-273,HOU,,OKC,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,,57.0,3.3529411764705883,0.0,59.2,3.4823529411764707
53,52,,2023-02-03,22-275,HOU,,TOR,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,,41.0,2.411764705882353,0.0,54.39999999999999,3.1999999999999993
54,53,,2023-02-04,22-276,HOU,@,OKC,L (-32),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,,53.0,3.117647058823529,0.0,76.09999999999998,4.476470588235293
55,54,,2023-02-06,22-278,HOU,,SAC,L (-20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,,55.0,3.235294117647059,0.0,67.69999999999999,3.9823529411764698
56,55,,2023-02-08,22-280,HOU,,SAC,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,,64.0,3.764705882352941,0.0,84.4,4.964705882352941
57,56,,2023-02-10,22-282,HOU,@,MIA,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,,56.0,3.294117647058824,0.0,64.2,3.7764705882352945
58,57,,2023-02-13,22-285,HOU,@,PHI,L (-19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,,40.0,2.3529411764705883,0.0,58.99999999999999,3.4705882352941173
59,58,,2023-02-15,22-287,HOU,@,OKC,L (-37),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,,25.0,1.4705882352941178,0.0,35.39999999999999,2.0823529411764703
