Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alperen Şengün,Shared Games with Boban Marjanović,Shared Games with Bruno Fernando,Shared Games with Daishen Nix,Shared Games with Darius Days,Shared Games with Eric Gordon,Shared Games with Garrison Mathews,Shared Games with Jabari Smith Jr.,Shared Games with Jae'Sean Tate,Shared Games with Jalen Green,Shared Games with Josh Christopher,Shared Games with Kevin Porter Jr.,Shared Games with Tari Eason,Shared Games with Trevor Hudgins,Shared Games with TyTy Washington Jr.,Shared Games with Usman Garuba,Alperen Şengün,Boban Marjanović,Bruno Fernando,Daishen Nix,Darius Days,Eric Gordon,Garrison Mathews,Jabari Smith Jr.,Jae'Sean Tate,Jalen Green,Josh Christopher,Kevin Porter Jr.,Tari Eason,Trevor Hudgins,TyTy Washington Jr.,Usman Garuba,Willie Cauley-Stein,co_inf with Alperen Şengün,co_inf with Boban Marjanović,co_inf with Bruno Fernando,co_inf with Daishen Nix,co_inf with Darius Days,co_inf with Eric Gordon,co_inf with Garrison Mathews,co_inf with Jabari Smith Jr.,co_inf with Jae'Sean Tate,co_inf with Jalen Green,co_inf with Josh Christopher,co_inf with Kevin Porter Jr.,co_inf with Tari Eason,co_inf with Trevor Hudgins,co_inf with TyTy Washington Jr.,co_inf with Usman Garuba,co_inf with Willie Cauley-Stein,Shared Games with Frank Kaminsky,Shared Games with Justin Holiday,Frank Kaminsky,Jarrett Culver,John Wall,co_inf with Frank Kaminsky,co_inf with John Wall,co_inf with Jarrett Culver,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,,0.0,0.0,0.0,0.0,0.0
21,21,21,2022-11-30,21-328,HOU,@,DEN,L (-20),0,18:52,1.0,3.0,.333,0.0,1.0,.000,1,2.0,.500,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,2.9,-16,2.0,1.0,0.5,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,2.0,52.0,2.888888888888889,2.500000000000001,57.09999999999999,3.1722222222222216
22,22,22,2022-12-02,21-330,HOU,@,PHO,W (+1),0,18:18,2.0,4.0,.500,0.0,1.0,.000,3,3.0,1.000,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,7.0,4.2,+3,3.0,2.0,0.6666666666666666,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,1.0,48.0,2.6666666666666665,3.000000000000001,58.3,3.238888888888889
23,23,23,2022-12-03,21-331,HOU,@,GSW,L (-19),1,27:36,5.0,11.0,.455,0.0,3.0,.000,3,3.0,1.000,4.0,3.0,7.0,1.0,0.0,0.0,0.0,1.0,13.0,11.3,-27,8.0,5.0,0.625,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,7.0,44.0,2.4444444444444446,10.1,47.6,2.6444444444444444
24,24,24,2022-12-05,21-333,HOU,,PHI,W (+9),0,19:51,5.0,7.0,.714,1.0,1.0,1.000,3,4.0,.750,1.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,14.0,11.9,+15,6.0,4.0,0.6666666666666666,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,7.0,47.0,2.611111111111111,10.7,54.60000000000001,3.0333333333333337
25,25,25,2022-12-08,21-336,HOU,@,SAS,L (-9),0,20:51,1.0,3.0,.333,0.0,2.0,.000,1,4.0,.250,2.0,2.0,4.0,3.0,0.0,0.0,2.0,0.0,3.0,2.2,-12,1.0,1.0,1.0,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,1.0,57.0,3.1666666666666665,1.7999999999999994,59.7,3.316666666666667
26,26,26,2022-12-11,21-339,HOU,,MIL,W (+5),0,21:52,5.0,9.0,.556,0.0,1.0,.000,0,0.0,,3.0,4.0,7.0,2.0,1.0,1.0,1.0,1.0,10.0,10.7,-8,8.0,5.0,0.625,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,11.0,53.0,2.9444444444444446,10.699999999999994,54.0,3.0
27,27,27,2022-12-13,21-341,HOU,,PHO,W (+14),0,19:31,3.0,5.0,.600,1.0,1.0,1.000,0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,7.0,4.5,-1,4.0,2.0,0.5,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,5.0,59.0,3.2777777777777777,4.499999999999999,58.6,3.2555555555555555
28,28,28,2022-12-15,21-343,HOU,,MIA,L (-3),0,20:45,4.0,8.0,.500,1.0,4.0,.250,1,2.0,.500,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,10.0,6.8,+2,4.0,3.0,0.75,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,4.0,67.0,3.7222222222222223,6.4,72.49999999999999,4.027777777777777
29,29,29,2022-12-17,21-345,HOU,,POR,L (-12),0,31:00,6.0,9.0,.667,0.0,2.0,.000,1,1.0,1.000,1.0,4.0,5.0,2.0,1.0,0.0,0.0,2.0,13.0,12.6,+6,7.0,6.0,0.8571428571428571,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,11.0,36.0,2.0,12.199999999999998,42.39999999999999,2.355555555555555
