Player,SUMMARY,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS
Malik Beasley,2022-23,81,12.7,3.5,1.5,39.5,35.7,76.9,52.0,10.9,1.4
MarJon Beauchamp,2022-23,52,5.1,2.2,0.7,39.5,33.1,73.0,49.2,8.2,0.4
Dāvis Bertāns,2022-23,45,4.6,1.2,0.5,43.1,39.0,86.7,60.3,11.9,0.9
Patrick Beverley,2022-23,67,6.2,3.7,2.9,40.0,33.5,72.3,51.1,8.9,3.0
Saddiq Bey,2022-23,77,13.8,4.7,1.5,42.2,36.1,86.1,51.3,14.6,3.9
Khem Birch,2022-23,20,2.2,1.3,0.4,59.4,50.0,80.0,60.9,9.4,0.2
Goga Bitadze,2022-23,38,4.4,3.6,1.0,55.2,23.1,54.8,57.6,17.1,1.3
Bismack Biyombo,2022-23,61,4.3,4.3,0.9,57.8,-,35.7,57.8,14.4,1.9
Buddy Boeheim,2022-23,10,1.6,0.6,0.4,18.5,16.0,100.0,25.9,0.5,-0.2
Bogdan Bogdanović,2022-23,54,14.0,3.1,2.8,44.7,40.6,83.1,56.6,14.2,2.8
Bojan Bogdanović,2022-23,59,21.6,3.8,2.6,48.8,41.1,88.4,57.0,17.4,3.5
Bol Bol,2022-23,70,9.1,5.8,1.0,54.6,26.5,75.9,57.7,14.4,2.3
Leandro Bolmaro,2022-23,14,0.4,0.5,0.5,15.0,0.0,-,15.0,-5.0,-0.3
Devin Booker,2022-23,53,27.8,4.5,5.5,49.4,35.1,85.5,54.6,22.0,6.0
Brandon Boston Jr.,2022-23,22,6.5,1.4,0.9,41.8,41.4,76.3,46.7,13.4,0.2
Chris Boucher,2022-23,76,9.4,5.5,0.4,49.3,32.8,76.2,55.2,18.0,5.0
James Bouknight,2022-23,34,5.6,2.1,1.2,35.8,30.3,66.7,44.3,6.2,-0.4
Jamaree Bouyea,2022-23,5,3.0,1.2,0.8,42.9,33.3,50.0,50.0,6.5,0.0
Tony Bradley,2022-23,12,1.6,0.9,0.1,50.0,60.0,100.0,62.5,21.7,0.2
Malaki Branham,2022-23,66,10.2,2.7,1.9,44.0,30.2,82.9,50.3,9.5,-0.1
Jarrell Brantley,2022-23,4,5.5,1.5,0.8,57.1,44.4,100.0,71.4,18.5,0.1
Christian Braun,2022-23,76,4.7,2.4,0.8,49.5,35.4,62.5,55.4,10.3,1.9
Mikal Bridges,2022-23,83,20.1,4.4,3.3,46.8,38.2,89.5,53.5,16.8,7.5
Oshae Brissett,2022-23,65,6.1,3.4,0.7,38.6,31.0,71.7,46.1,10.6,1.1
Malcolm Brogdon,2022-23,67,14.9,4.2,3.7,48.4,44.4,87.0,57.4,18.2,5.8
Dillon Brooks,2022-23,73,14.3,3.3,2.6,39.6,32.6,77.9,46.8,9.4,1.6
Bruce Brown,2022-23,80,11.5,4.1,3.4,48.3,35.8,75.8,54.5,13.3,4.3
Greg Brown III,2022-23,16,1.8,1.2,0.2,39.3,14.3,41.7,41.1,5.8,-0.1
Jaylen Brown,2022-23,67,26.6,6.9,3.5,49.1,33.5,76.5,55.0,19.1,5.0
Kendall Brown,2022-23,6,1.5,1.0,0.5,57.1,0.0,50.0,57.1,9.1,0.1
Moses Brown,2022-23,36,4.3,3.9,0.1,63.5,-,45.8,63.5,22.2,1.1
Sterling Brown,2022-23,4,0.0,2.0,0.5,0.0,0.0,-,0.0,7.0,0.0
Troy Brown Jr.,2022-23,76,7.1,4.1,1.3,43.0,38.1,87.2,54.5,9.6,2.9
Jalen Brunson,2022-23,68,24.0,3.5,6.2,49.1,41.6,82.9,54.7,21.2,8.7
Thomas Bryant,2022-23,59,9.8,5.7,0.5,62.3,44.1,73.8,65.9,19.7,4.1
Reggie Bullock,2022-23,78,7.2,3.6,1.4,40.9,38.0,70.3,56.9,7.7,2.8
Alec Burks,2022-23,51,12.8,3.1,2.2,43.6,41.4,81.4,54.4,16.5,2.5
Deonte Burton,2022-23,2,0.0,0.0,0.0,0.0,0.0,-,0.0,-12.6,0.0
Jared Butler,2022-23,6,6.2,0.7,1.3,46.9,50.0,-,57.8,13.0,0.1
Jimmy Butler,2022-23,64,22.9,5.9,5.3,53.9,35.0,85.0,56.0,27.6,12.3
John Butler,2022-23,19,2.4,0.9,0.6,32.1,22.9,75.0,39.6,5.7,0.0
Jamal Cain,2022-23,18,5.4,2.9,0.7,56.1,35.0,77.3,61.4,16.5,0.8
Kentavious Caldwell-Pope,2022-23,76,10.8,2.7,2.4,46.2,42.3,82.4,56.9,11.5,4.5
Facundo Campazzo,2022-23,8,1.3,0.3,1.1,23.1,27.3,50.0,34.6,7.8,0.0
Vlatko Čančar,2022-23,60,5.0,2.1,1.3,47.6,37.4,92.7,57.0,11.0,1.7
Clint Capela,2022-23,65,12.0,11.0,0.9,65.3,0.0,60.3,65.3,22.1,7.2
Vernon Carey Jr.,2022-23,11,0.5,1.0,0.3,25.0,-,100.0,25.0,10.8,0.0
Jevon Carter,2022-23,81,8.0,2.5,2.4,42.3,42.1,81.6,54.9,10.9,3.5
Wendell Carter Jr.,2022-23,57,15.2,8.7,2.3,52.5,35.6,73.8,59.1,17.3,4.6
Michael Carter-Williams,2022-23,4,4.3,1.3,1.8,42.9,33.3,57.1,46.4,9.0,0.0
Alex Caruso,2022-23,67,5.6,2.9,2.9,45.5,36.4,80.8,55.1,11.5,3.6
Julian Champagnie,2022-23,17,9.7,3.5,0.6,45.4,40.2,82.4,58.1,13.4,0.4
Justin Champagnie,2022-23,5,2.2,1.6,0.8,33.3,20.0,-,36.7,10.3,0.0
Kennedy Chandler,2022-23,36,2.2,1.1,1.6,42.2,13.3,46.2,43.4,10.6,0.3
Max Christie,2022-23,41,3.1,1.8,0.5,41.5,41.9,87.5,53.8,7.4,0.6
Josh Christopher,2022-23,64,5.8,1.1,1.1,46.5,23.6,75.0,49.7,11.5,0.0
Brandon Clarke,2022-23,56,10.0,5.5,1.3,65.6,16.7,72.3,65.8,20.0,4.5
Jordan Clarkson,2022-23,61,20.8,4.0,4.4,44.4,33.8,81.6,51.9,14.7,1.7
Nic Claxton,2022-23,76,12.6,9.2,1.9,70.5,0.0,54.1,70.5,20.8,9.2
Amir Coffey,2022-23,50,3.4,1.1,1.1,38.6,27.5,77.8,42.4,7.0,0.4
John Collins,2022-23,71,13.1,6.5,1.2,50.8,29.2,80.3,55.7,13.6,4.2
Zach Collins,2022-23,63,11.6,6.4,2.9,51.8,37.4,76.1,56.8,16.4,2.2
Chance Comanche,2022-23,1,7.0,3.0,0.0,60.0,-,25.0,60.0,12.2,0.0
Mike Conley,2022-23,67,11.9,2.7,6.7,42.8,38.5,83.4,53.9,14.7,5.5
Pat Connaughton,2022-23,61,7.6,4.6,1.3,39.2,33.9,65.9,52.1,10.0,2.5
Xavier Cooks,2022-23,10,3.8,3.8,0.6,60.7,0.0,40.0,60.7,14.3,0.2
Robert Covington,2022-23,48,6.0,3.5,1.2,44.5,39.7,75.0,56.3,14.2,1.9
Torrey Craig,2022-23,79,7.4,5.4,1.5,45.6,39.5,71.1,55.6,11.6,4.0
Jae Crowder,2022-23,18,6.9,3.8,1.5,47.9,43.6,83.3,60.6,14.6,1.2
Jarrett Culver,2022-23,10,4.4,3.8,0.6,39.5,8.3,69.2,40.7,9.5,0.0
Cade Cunningham,2022-23,12,19.9,6.2,6.0,41.5,27.9,83.7,45.3,14.0,-0.1
Seth Curry,2022-23,61,9.2,1.6,1.6,46.3,40.5,92.7,56.8,12.3,1.8
Stephen Curry,2022-23,56,29.4,6.1,6.3,49.3,42.7,91.5,61.4,24.1,7.8
Dyson Daniels,2022-23,59,3.8,3.2,2.3,41.8,31.4,65.0,48.3,8.8,1.3
Anthony Davis,2022-23,56,25.9,12.5,2.6,56.3,25.7,78.4,57.3,27.8,9.0
Johnny Davis,2022-23,28,5.8,2.3,1.0,38.6,24.3,51.9,43.6,7.2,-0.3
Terence Davis,2022-23,64,6.7,2.2,1.0,42.3,36.6,79.1,54.5,12.9,0.9
JD Davison,2022-23,12,1.6,0.8,0.9,42.1,28.6,50.0,47.4,10.1,0.1
Darius Days,2022-23,4,3.8,1.5,0.3,41.7,30.0,100.0,54.2,18.3,0.1
DeMar DeRozan,2022-23,74,24.5,4.6,5.1,50.4,32.4,87.2,52.2,20.6,8.5
Dewayne Dedmon,2022-23,38,5.2,3.5,0.7,51.0,30.8,67.3,55.0,15.5,1.0
Matthew Dellavedova,2022-23,32,1.5,0.4,1.3,34.0,33.3,57.1,43.0,6.7,0.1
Donte DiVincenzo,2022-23,72,9.4,4.5,3.5,43.5,39.7,81.7,57.4,12.8,4.2
Moussa Diabaté,2022-23,22,2.7,2.3,0.2,51.1,50.0,62.5,52.1,14.2,0.4
Mamadi Diakite,2022-23,22,2.6,1.4,0.4,48.0,33.3,100.0,55.0,9.0,0.2
Hamidou Diallo,2022-23,56,9.3,3.5,1.0,57.3,23.8,58.8,58.0,15.7,1.3
Gorgui Dieng,2022-23,31,3.9,3.5,1.7,38.5,28.0,76.9,47.4,9.9,0.0
Ousmane Dieng,2022-23,39,4.9,2.7,1.2,42.0,26.5,65.2,49.2,9.3,0.4
Spencer Dinwiddie,2022-23,79,17.3,3.4,6.5,43.8,36.9,81.2,52.4,16.0,6.3
Luka Dončić,2022-23,66,32.4,8.6,8.0,49.6,34.2,74.2,56.0,28.7,10.2
Tyler Dorsey,2022-23,3,3.0,0.7,0.0,80.0,50.0,-,90.0,45.5,0.1
Luguentz Dort,2022-23,74,13.7,4.6,2.1,38.8,33.0,77.2,46.6,11.3,2.9
Ayo Dosunmu,2022-23,80,8.6,2.8,2.6,49.3,31.2,80.5,54.5,10.2,2.9
Devon Dotson,2022-23,6,0.5,1.7,1.3,10.0,25.0,-,15.0,4.8,0.0
Jeff Dowtin,2022-23,25,2.4,0.9,1.2,43.9,31.3,66.7,48.2,9.9,0.4
PJ Dozier,2022-23,16,1.4,0.9,0.6,30.3,12.5,-,33.3,5.2,-0.2
Goran Dragić,2022-23,58,6.3,1.4,2.6,42.1,35.9,68.9,49.9,10.3,0.4
Andre Drummond,2022-23,67,6.0,6.6,0.5,60.6,0.0,53.6,60.6,20.8,2.8
Chris Duarte,2022-23,46,7.9,2.5,1.4,36.9,31.6,84.7,45.2,8.6,0.0
David Duke Jr.,2022-23,23,3.7,1.3,0.9,46.2,8.3,70.6,46.8,8.3,-0.1
Kris Dunn,2022-23,22,13.2,4.5,5.6,53.7,47.2,77.4,57.6,19.1,1.9
Kevin Durant,2022-23,47,29.1,6.7,5.0,56.0,40.4,91.9,61.4,25.9,6.8
Jalen Duren,2022-23,67,9.1,8.9,1.1,64.8,0.0,61.1,64.8,17.3,4.5
Tari Eason,2022-23,82,9.3,6.0,1.1,44.8,34.3,75.2,49.3,15.2,2.6
Anthony Edwards,2022-23,79,24.6,5.8,4.4,45.9,36.9,75.6,52.8,17.4,3.8
Kessler Edwards,2022-23,36,2.8,1.7,0.6,38.7,30.9,73.3,47.8,8.4,0.4
Keon Ellis,2022-23,16,1.5,0.5,0.4,43.8,50.0,57.1,62.5,14.0,0.2
Joel Embiid,2022-23,66,33.1,10.2,4.2,54.8,33.0,85.7,57.3,31.4,12.3
Drew Eubanks,2022-23,78,6.6,5.4,1.3,64.1,38.9,66.4,65.1,16.2,4.4
Bruno Fernando,2022-23,39,3.9,3.5,0.8,52.7,0.0,70.0,52.7,16.6,0.9
Dorian Finney-Smith,2022-23,66,8.3,4.8,1.5,39.1,33.7,76.3,50.5,9.2,2.1
Simone Fontecchio,2022-23,52,6.3,1.7,0.8,36.9,33.0,79.5,47.0,8.0,-0.1
Michael Foster Jr.,2022-23,1,0.0,0.0,0.0,-,-,-,-,0.0,0.0
Evan Fournier,2022-23,27,6.1,1.8,1.3,33.7,30.7,85.7,44.3,6.9,0.1
De'Aaron Fox,2022-23,73,25.0,4.2,6.1,51.2,32.4,78.0,55.7,21.8,7.4
Wenyen Gabriel,2022-23,68,5.5,4.2,0.5,59.6,27.8,61.9,61.5,14.4,2.8
Josh Giddey,2022-23,76,16.6,7.9,6.2,48.2,32.5,73.1,51.6,17.1,4.0
Shai Gilgeous-Alexander,2022-23,68,31.4,4.8,5.5,51.0,34.5,90.5,53.1,27.2,11.4
Aaron Gordon,2022-23,68,16.3,6.6,3.0,56.4,34.7,60.8,60.3,19.5,6.8
Eric Gordon,2022-23,69,12.4,1.9,2.7,44.6,37.1,82.1,54.7,11.8,2.3
Devonte' Graham,2022-23,73,7.4,1.7,2.7,37.4,35.2,74.8,51.2,12.5,2.5
RaiQuan Gray,2022-23,1,16.0,9.0,7.0,50.0,40.0,100.0,58.3,15.5,0.1
A.J. Green,2022-23,35,4.4,1.3,0.6,42.4,41.9,100.0,60.0,11.5,0.8
Javonte Green,2022-23,32,5.2,2.8,0.7,56.5,37.1,66.7,62.5,14.5,1.4
Josh Green,2022-23,60,9.1,3.0,1.7,53.7,40.2,72.3,62.6,11.2,2.6
Rui Hachimura,2022-23,63,11.2,4.5,0.9,48.6,31.9,73.9,53.0,13.2,1.8
R.J. Hampton,2022-23,47,6.4,1.9,1.1,43.0,35.3,75.0,51.7,10.8,0.7
Joe Harris,2022-23,74,7.6,2.2,1.4,45.7,42.6,64.3,61.8,10.6,2.6
Jaxson Hayes,2022-23,47,5.0,2.8,0.7,55.1,10.3,69.9,56.1,13.7,1.5
Willy Hernangómez,2022-23,38,6.9,4.7,0.9,52.7,27.3,77.9,53.6,20.7,1.6
George Hill,2022-23,46,5.0,1.8,2.4,47.0,35.8,76.4,57.2,10.6,1.9
Talen Horton-Tucker,2022-23,65,10.7,3.2,3.8,41.9,28.6,75.0,46.7,13.7,0.8
Andre Iguodala,2022-23,8,2.1,2.1,2.4,46.7,11.1,66.7,50.0,7.3,0.1
Player,SUMMARY,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS
Nikola Jokic,2022-23,69,24.5,11.8,9.8,63.2,38.3,82.2,66.0,31.5,14.9
Joe Ingles,2022-23,46,6.9,2.8,3.3,43.5,40.9,85.7,60.3,10.7,2.3
Brandon Ingram,2022-23,45,24.7,5.5,5.8,48.4,39.0,88.2,52.2,19.2,3.5
Kyrie Irving,2022-23,60,27.1,5.1,5.5,49.4,37.9,90.5,57.2,22.4,7.4
Jonathan Isaac,2022-23,11,5.0,4.0,0.5,41.5,40.0,55.6,47.2,20.3,0.3
Jaden Ivey,2022-23,74,16.3,3.9,5.2,41.6,34.3,74.7,47.7,12.1,0.0
Frank Jackson,2022-23,1,0.0,2.0,1.0,0.0,0.0,-,0.0,-6.8,0.0
Isaiah Jackson,2022-23,63,7.2,4.5,0.8,56.3,14.3,65.1,56.6,17.5,2.7
Jaren Jackson Jr.,2022-23,63,18.6,6.8,1.0,50.6,35.5,78.8,56.7,21.6,6.6
Justin Jackson,2022-23,23,0.9,0.7,0.4,25.9,25.0,50.0,35.2,6.3,0.1
Quenton Jackson,2022-23,9,6.2,0.9,1.7,45.2,8.3,77.3,46.4,12.2,0.2
Reggie Jackson,2022-23,68,10.2,2.1,3.4,41.1,33.3,91.0,48.6,10.0,0.6
LeBron James,2022-23,55,28.9,8.3,6.8,50.0,32.1,76.8,54.9,23.9,5.6
Ty Jerome,2022-23,45,6.9,1.7,3.0,48.8,38.9,92.7,56.0,12.8,2.1
Isaiah Joe,2022-23,73,9.5,2.4,1.2,44.1,40.9,82.0,59.9,14.5,3.8
Alize Johnson,2022-23,4,1.8,2.5,0.3,50.0,0.0,50.0,50.0,4.3,-0.1
Cameron Johnson,2022-23,42,15.5,4.4,1.9,47.0,40.4,84.2,57.9,17.1,3.5
Jalen Johnson,2022-23,70,5.6,4.0,1.2,49.1,28.8,62.8,53.7,14.1,2.1
James Johnson,2022-23,18,2.8,1.7,0.8,44.9,20.0,50.0,48.0,8.4,0.1
Keldon Johnson,2022-23,63,22.0,5.0,2.9,45.2,32.9,74.9,51.2,15.3,1.3
Keon Johnson,2022-23,40,4.7,1.1,1.5,37.6,34.6,65.9,45.5,9.0,-0.5
Stanley Johnson,2022-23,30,5.8,3.2,2.2,53.3,45.0,66.7,60.7,13.5,0.7
Herbert Jones,2022-23,66,9.8,4.1,2.5,46.9,33.5,76.4,52.5,12.1,4.2
Kai Jones,2022-23,46,3.4,2.7,0.3,55.8,21.1,73.1,57.5,10.8,0.7
Tre Jones,2022-23,68,12.9,3.6,6.6,45.9,28.5,86.0,48.9,16.0,3.4
Tyus Jones,2022-23,80,10.3,2.5,5.2,43.8,37.1,80.0,52.3,16.0,5.7
DeAndre Jordan,2022-23,39,5.1,5.2,0.9,76.5,100.0,45.8,77.0,14.7,1.4
Cory Joseph,2022-23,62,6.9,1.7,3.5,42.7,38.9,79.2,52.7,12.1,1.8
Nikola Jović,2022-23,15,5.5,2.1,0.7,40.6,22.9,94.7,46.4,10.6,0.2
Johnny Juzang,2022-23,18,4.8,2.2,0.4,33.7,23.8,50.0,40.9,6.5,-0.2
Mfiondu Kabengele,2022-23,4,1.5,2.5,0.0,28.6,0.0,100.0,28.6,8.1,0.1
Frank Kaminsky,2022-23,36,2.5,1.4,0.9,49.2,39.4,87.5,59.5,15.3,0.7
Trevor Keels,2022-23,3,1.0,0.7,0.0,25.0,25.0,-,37.5,3.7,0.0
Luke Kennard,2022-23,59,9.3,2.7,1.5,49.2,49.4,94.9,66.6,13.0,3.4
Walker Kessler,2022-23,74,9.2,8.4,0.9,72.0,33.3,51.6,72.1,21.5,7.1
Braxton Key,2022-23,3,1.3,0.3,0.0,100.0,-,100.0,100.0,18.6,0.0
Player,SUMMARY,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS
Louis King,2022-23,1,20.0,4.0,2.0,61.5,50.0,0.0,76.9,21.3,0.1
Corey Kispert,2022-23,74,11.1,2.8,1.2,49.7,42.4,85.2,63.7,11.5,3.8
Maxi Kleber,2022-23,37,5.9,3.6,1.4,45.6,34.8,71.1,57.1,8.7,1.3
Nathan Knight,2022-23,38,3.7,1.5,0.3,56.8,36.4,68.4,61.7,14.5,0.7
Kevin Knox,2022-23,63,6.6,2.8,0.5,45.8,34.9,76.7,55.6,11.1,0.7
Christian Koloko,2022-23,58,3.1,2.9,0.5,48.0,8.3,62.7,48.3,11.4,1.7
John Konchar,2022-23,72,5.1,4.3,1.4,43.1,33.9,77.8,52.5,10.8,3.5
Furkan Korkmaz,2022-23,37,3.8,1.1,0.6,43.2,39.1,72.2,51.4,9.3,0.1
Luke Kornet,2022-23,69,3.8,2.9,0.8,66.5,23.1,82.1,67.4,16.7,3.3
Vit Krejci,2022-23,29,1.2,0.9,0.6,40.5,23.8,50.0,47.3,7.7,0.1
Jonathan Kuminga,2022-23,67,9.9,3.4,1.9,52.5,37.0,65.2,57.9,13.3,2.4
Kyle Kuzma,2022-23,64,21.2,7.2,3.7,44.8,33.3,73.0,51.8,14.3,0.9
Jake LaRavia,2022-23,35,3.0,1.8,0.6,38.9,33.8,77.8,51.6,6.7,0.5
Zach LaVine,2022-23,77,24.8,4.5,4.2,48.5,37.5,84.8,55.8,19.0,7.1
Anthony Lamb,2022-23,62,6.7,3.5,1.5,47.1,36.7,76.7,58.8,10.9,2.4
Jock Landale,2022-23,69,6.6,4.1,1.0,52.8,25.0,75.2,55.9,16.4,2.7
Romeo Langford,2022-23,43,6.9,2.7,1.2,46.7,26.2,69.6,49.8,10.4,0.5
A.J. Lawson,2022-23,15,3.7,1.4,0.1,50.0,40.0,25.0,61.4,13.9,0.1
Caris LeVert,2022-23,74,12.1,3.8,3.9,43.1,39.2,72.2,51.7,12.4,4.4
Damion Lee,2022-23,74,8.2,3.0,1.3,44.2,44.5,90.4,56.4,10.7,2.6
Saben Lee,2022-23,25,6.0,1.8,2.7,40.5,36.7,73.7,45.0,13.1,0.7
Alex Len,2022-23,26,1.7,2.3,0.5,53.3,0.0,68.8,53.3,12.8,0.3
Kawhi Leonard,2022-23,52,23.8,6.5,3.9,51.2,41.6,87.1,57.2,23.9,7.1
Meyers Leonard,2022-23,9,4.8,3.8,0.1,48.3,38.9,88.9,60.3,12.0,0.3
Kira Lewis Jr.,2022-23,25,4.6,1.3,0.9,45.5,44.1,86.4,54.0,14.5,0.6
Damian Lillard,2022-23,58,32.2,4.8,7.3,46.3,37.1,91.4,56.4,26.7,9.0
Nassir Little,2022-23,54,6.6,2.6,0.9,44.2,36.7,71.7,53.8,10.2,0.7
Isaiah Livers,2022-23,52,6.7,2.8,0.8,41.7,36.5,82.1,54.5,8.4,1.0
Kenneth Lofton Jr.,2022-23,24,5.0,2.1,0.8,52.7,35.3,59.3,55.9,20.2,0.5
Kevon Looney,2022-23,82,7.0,9.3,2.5,63.0,0.0,60.6,63.0,17.8,8.7
Brook Lopez,2022-23,78,15.9,6.7,1.3,53.1,37.4,78.4,60.6,18.4,8.0
Robin Lopez,2022-23,37,3.0,1.4,0.5,64.0,50.0,77.8,65.3,11.6,0.6
Kevin Love,2022-23,62,8.2,6.4,1.9,38.9,33.4,87.9,50.6,13.1,2.6
Kyle Lowry,2022-23,55,11.2,4.1,5.1,40.4,34.5,85.9,51.4,12.6,3.4
Trey Lyles,2022-23,74,7.6,4.1,0.9,45.8,36.3,81.5,56.5,14.2,2.6
Théo Maledon,2022-23,44,6.7,2.8,3.5,40.2,29.5,85.1,45.7,11.6,0.8
Sandro Mamukelashvili,2022-23,43,6.1,4.3,1.4,42.2,30.3,68.4,48.7,13.4,0.9
Terance Mann,2022-23,81,8.8,3.4,2.3,51.9,38.9,78.0,59.3,13.4,4.3
Tre Mann,2022-23,67,7.7,2.3,1.8,39.3,31.5,76.4,47.4,10.0,0.5
Boban Marjanović,2022-23,31,3.3,1.9,0.3,68.3,0.0,74.1,68.3,23.4,0.6
Lauri Markkanen,2022-23,66,25.6,8.6,1.9,49.9,39.1,87.5,58.6,22.1,8.2
Naji Marshall,2022-23,77,9.1,3.6,2.5,43.3,30.3,78.9,49.0,11.4,2.5
Caleb Martin,2022-23,71,9.6,4.8,1.6,46.4,35.6,80.5,54.0,11.4,3.7
Cody Martin,2022-23,7,5.0,3.4,1.6,38.9,21.4,57.1,43.1,8.7,0.1
Kenyon Martin Jr.,2022-23,82,12.7,5.5,1.5,56.9,31.5,68.0,61.7,15.4,4.9
Tyrese Martin,2022-23,16,1.3,0.8,0.1,39.1,14.3,100.0,41.3,7.7,0.0
Garrison Mathews,2022-23,54,4.8,1.4,0.5,36.3,35.0,90.6,52.0,9.7,1.0
Bennedict Mathurin,2022-23,78,16.7,4.1,1.5,43.4,32.3,82.8,48.7,13.1,1.8
Wesley Matthews,2022-23,52,3.4,2.2,0.7,36.3,31.5,85.7,48.4,7.0,1.2
Tyrese Maxey,2022-23,60,20.3,2.9,3.5,48.1,43.4,84.5,56.8,17.0,5.4
Skylar Mays,2022-23,6,15.3,3.2,8.3,50.0,46.2,92.3,58.8,19.4,0.7
Miles McBride,2022-23,64,3.5,0.8,1.1,35.8,29.9,66.7,45.1,8.4,0.7
Mac McClung,2022-23,2,12.5,5.0,4.5,45.0,36.4,60.0,55.0,19.2,0.1
CJ McCollum,2022-23,75,20.9,4.4,5.7,43.7,38.9,76.9,51.5,15.6,4.3
T.J. McConnell,2022-23,75,8.7,3.1,5.3,54.3,44.1,85.3,56.8,16.8,3.1
Jaden McDaniels,2022-23,79,12.1,3.9,1.9,51.7,39.8,73.6,59.1,12.0,4.4
Jalen McDaniels,2022-23,80,9.4,4.3,1.6,45.5,33.2,84.1,51.8,11.8,2.7
Doug McDermott,2022-23,64,10.2,2.2,1.4,45.7,41.3,75.7,57.5,11.2,1.0
JaVale McGee,2022-23,42,4.4,2.5,0.3,64.0,40.0,58.5,64.8,17.2,0.6
Bryce McGowens,2022-23,46,5.3,2.0,1.2,39.6,32.5,75.0,46.0,7.2,0.1
Rodney McGruder,2022-23,32,5.7,2.3,0.9,40.8,42.3,81.8,54.3,10.7,0.7
Jordan McLaughlin,2022-23,43,3.7,1.4,3.4,42.1,30.8,83.3,50.3,11.8,1.3
